"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityMaximumKCutId",80,6,"org.axonframework.test.fixture.AxonTestPhase$Then,org.axonframework.common.configuration.ComponentDefinition$1,org.axonframework.messaging.core.unitofwork.transaction.TransactionalExecutorProvider,org.axonframework.messaging.monitoring.configuration.DefaultMessageMonitorRegistry,org.axonframework.messaging.commandhandling.annotation.MethodCommandHandlerDefinition$MethodCommandHandlingMember,org.axonframework.modelling.SimpleStateManager","AxonTestPhase$Then,ComponentDefinition$1,TransactionalExecutorProvider,DefaultMessageMonitorRegistry,MethodCommandHandlerDefinition$MethodCommandHandlingMember,SimpleStateManager",""
"communityMaximumKCutId",2,14,"org.axonframework.test.fixture.AxonTestPhase$Then$MessageAssertions,org.axonframework.messaging.commandhandling.CommandResultMessage,org.axonframework.messaging.core.unitofwork.ProcessingContext,org.axonframework.test.fixture.AxonTestWhen$Event,org.axonframework.common.FutureUtils,org.axonframework.messaging.core.QualifiedName,org.axonframework.common.annotation.Internal,org.axonframework.common.configuration.Module,org.axonframework.eventsourcing.annotation.reflection.InjectEntityId,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine$AggregateSource,org.axonframework.messaging.core.interception.DefaultHandlerInterceptorRegistry$GenericInterceptorDefinition,org.axonframework.modelling.ConcurrencyException,org.axonframework.modelling.entity.EntityAlreadyExistsForCreationalCommandHandlerException","AxonTestPhase$Then$MessageAssertions,CommandResultMessage,ProcessingContext,AxonTestWhen$Event,FutureUtils,QualifiedName,Internal,Module,InjectEntityId,SQLErrorCodesResolver,AggregateBasedJpaEventStorageEngine$AggregateSource,DefaultHandlerInterceptorRegistry$GenericInterceptorDefinition,ConcurrencyException,EntityAlreadyExistsForCreationalCommandHandlerException",""
"communityMaximumKCutId",28,12,"org.axonframework.test.fixture.AxonTestPhase$Then$Command,org.axonframework.test.fixture.AxonTestPhase$Setup,org.axonframework.common.configuration.ComponentOverrideException,org.axonframework.conversion.converter.InputStreamToByteArrayConverter,org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory$MessageParameterResolver,org.axonframework.messaging.core.annotation.MetadataValue,org.axonframework.messaging.core.correlation.DefaultCorrelationDataProviderRegistry,org.axonframework.axonserver.connector.query.AxonServerQueryDispatchException,org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.entity.annotation.EntityMember,org.axonframework.extension.springboot.autoconfig.ConverterAutoConfiguration","AxonTestPhase$Then$Command,AxonTestPhase$Setup,ComponentOverrideException,InputStreamToByteArrayConverter,AnnotationMessageTypeResolver,DefaultParameterResolverFactory$MessageParameterResolver,MetadataValue,DefaultCorrelationDataProviderRegistry,AxonServerQueryDispatchException,TargetEntityId,EntityMember,ConverterAutoConfiguration",""
"communityMaximumKCutId",46,12,"org.axonframework.test.fixture.AxonTestPhase$Then$Message,org.axonframework.common.TypeReflectionUtils,org.axonframework.common.configuration.LifecycleHandler,org.axonframework.common.infra.FilesystemStyleComponentDescriptor$TreeRenderer$RenderContext,org.axonframework.modelling.configuration.EntityMetamodelConfigurationBuilder,org.axonframework.messaging.monitoring.configuration.MessageMonitorFactory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.TokenTableFactory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry,org.axonframework.messaging.core.EmptyApplicationContext,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$BatchProcessingEntry,org.axonframework.messaging.core.annotation.HierarchicalParameterResolverFactory,org.axonframework.messaging.core.interception.DefaultDispatchInterceptorRegistry$3","AxonTestPhase$Then$Message,TypeReflectionUtils,LifecycleHandler,FilesystemStyleComponentDescriptor$TreeRenderer$RenderContext,EntityMetamodelConfigurationBuilder,MessageMonitorFactory,TokenTableFactory,TokenEntry,EmptyApplicationContext,WorkPackage$BatchProcessingEntry,HierarchicalParameterResolverFactory,DefaultDispatchInterceptorRegistry$3",""
"communityMaximumKCutId",91,10,"org.axonframework.test.fixture.AxonTestPhase$Then$Event,org.axonframework.messaging.eventhandling.EventMessage,org.axonframework.messaging.monitoring.NoOpMessageMonitor,org.axonframework.messaging.queryhandling.NoHandlerForQueryException,org.axonframework.messaging.core.ClassBasedMessageTypeResolver,org.axonframework.messaging.core.annotation.AggregateType,org.axonframework.messaging.core.retry.NonTransientExceptionClassesPredicate,org.axonframework.messaging.core.unitofwork.annotation.ProcessingContextParameterResolverFactory,org.axonframework.modelling.entity.child.SingleEntityChildMetamodel,org.axonframework.modelling.entity.annotation.RoutingKeyUtils","AxonTestPhase$Then$Event,EventMessage,NoOpMessageMonitor,NoHandlerForQueryException,ClassBasedMessageTypeResolver,AggregateType,NonTransientExceptionClassesPredicate,ProcessingContextParameterResolverFactory,SingleEntityChildMetamodel,RoutingKeyUtils",""
"communityMaximumKCutId",0,40,"org.axonframework.test.fixture.AxonTestPhase$Then$Nothing,org.axonframework.messaging.core.unitofwork.UnitOfWorkFactory,org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.test.fixture.AxonTestFixture$Customization,org.axonframework.test.util.DefaultCallbackBehavior,org.axonframework.test.matchers.SequenceMatcher,org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken,org.axonframework.messaging.core.conversion.MessageConverter,org.axonframework.common.configuration.ComponentRegistry,org.axonframework.test.fixture.CommandValidator,org.axonframework.test.util.MessageMonitorReport,org.axonframework.common.tx.TransactionalExecutor,org.axonframework.common.AxonTransientException,org.axonframework.common.jdbc.PersistenceExceptionResolver,org.axonframework.common.configuration.Component$Identifier,org.axonframework.common.jpa.FactoryBasedEntityManagerProvider,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder,org.axonframework.messaging.eventhandling.conversion.EventConverter,org.axonframework.eventsourcing.eventstore.AppendCondition,org.axonframework.eventsourcing.eventstore.EventCoordinator$1,org.axonframework.eventsourcing.eventstore.TagResolver,org.axonframework.eventsourcing.eventstore.InterceptingEventStore$InterceptingAppender,org.axonframework.eventsourcing.configuration.EventSourcedEntityModule,org.axonframework.conversion.jackson.JacksonConverter,org.axonframework.messaging.core.MessageDispatchInterceptorChain,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfiguration,org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember,org.axonframework.messaging.core.sequencing.SequencingPolicy,org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus,org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.Segment,org.axonframework.messaging.eventhandling.DelegatingEventHandlingComponent,org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorContext,org.axonframework.messaging.queryhandling.QueryHandler,org.axonframework.messaging.queryhandling.GenericSubscriptionQueryUpdateMessage,org.axonframework.messaging.core.annotation.AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver,org.axonframework.messaging.core.retry.FilteringRetryPolicy,org.axonframework.update.api.UpdateCheckResponse,org.axonframework.axonserver.connector.AxonServerConnectionManager$Builder,org.axonframework.axonserver.connector.util.GrpcMessageSizeInterceptor$1","AxonTestPhase$Then$Nothing,UnitOfWorkFactory,MessageTypeResolver,AxonTestFixture$Customization,DefaultCallbackBehavior,SequenceMatcher,TrackingToken,MessageConverter,ComponentRegistry,CommandValidator,MessageMonitorReport,TransactionalExecutor,AxonTransientException,PersistenceExceptionResolver,Component$Identifier,FactoryBasedEntityManagerProvider,OpenTelemetrySpanFactory$Builder,EventConverter,AppendCondition,EventCoordinator$1,TagResolver,InterceptingEventStore$InterceptingAppender,EventSourcedEntityModule,JacksonConverter,MessageDispatchInterceptorChain,DistributedCommandBusConfiguration,WrappedMessageHandlingMember,SequencingPolicy,InterceptingCommandBus,CommandHandler,Segment,DelegatingEventHandlingComponent,ErrorContext,QueryHandler,GenericSubscriptionQueryUpdateMessage,AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver,FilteringRetryPolicy,UpdateCheckResponse,AxonServerConnectionManager$Builder,GrpcMessageSizeInterceptor$1",""
"communityMaximumKCutId",9,15,"org.axonframework.test.fixture.AxonTestPhase$When$Nothing,org.axonframework.messaging.core.Message,org.axonframework.test.matchers.PredicateMatcher,org.axonframework.test.fixture.RecordingEventBus,org.axonframework.common.property.UniformPropertyAccessStrategy,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$MapBackedMessageStream,org.axonframework.messaging.monitoring.configuration.DefaultMessageMonitorRegistry$3,org.axonframework.messaging.commandhandling.tracing.TracingCommandBus,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration,org.axonframework.messaging.eventhandling.processing.streaming.StreamingEventProcessor,org.axonframework.messaging.core.interception.annotation.ResultHandler,org.axonframework.axonserver.connector.event.SourcingEventMessageStream,org.axonframework.axonserver.connector.event.ConditionConverter,org.axonframework.modelling.annotation.TargetEntityIdMemberMismatchException,org.axonframework.modelling.repository.SimpleRepositoryEntityPersister","AxonTestPhase$When$Nothing,Message,PredicateMatcher,RecordingEventBus,UniformPropertyAccessStrategy,InMemoryEventStorageEngine$MapBackedMessageStream,DefaultMessageMonitorRegistry$3,TracingCommandBus,PooledStreamingEventProcessorConfiguration,StreamingEventProcessor,ResultHandler,SourcingEventMessageStream,ConditionConverter,TargetEntityIdMemberMismatchException,SimpleRepositoryEntityPersister",""
"communityMaximumKCutId",98,11,"org.axonframework.test.fixture.AxonTestPhase$When,org.axonframework.common.jdbc.JdbcUtils$SqlResultConverter,org.axonframework.common.jdbc.ConnectionWrapperFactory,org.axonframework.common.IdentifierValidator,org.axonframework.common.configuration.BaseModule,org.axonframework.messaging.core.annotation.PayloadParameterResolver,org.axonframework.conversion.avro.AvroConverterStrategyConfiguration,org.axonframework.messaging.commandhandling.tracing.CommandBusSpanFactory,org.axonframework.messaging.eventhandling.replay.annotation.ReplayParameterResolverFactory$ReplayParameterResolver,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$ProcessingEntry,org.axonframework.messaging.eventhandling.tracing.DefaultEventProcessorSpanFactory","AxonTestPhase$When,JdbcUtils$SqlResultConverter,ConnectionWrapperFactory,IdentifierValidator,BaseModule,PayloadParameterResolver,AvroConverterStrategyConfiguration,CommandBusSpanFactory,ReplayParameterResolverFactory$ReplayParameterResolver,WorkPackage$ProcessingEntry,DefaultEventProcessorSpanFactory",""
"communityMaximumKCutId",57,13,"org.axonframework.messaging.core.Metadata,org.axonframework.common.infra.FilesystemStyleComponentDescriptor$TreeRenderer,org.axonframework.common.lock.PessimisticLockFactory$DisposableLock,org.axonframework.eventsourcing.EventSourcedEntityFactory,org.axonframework.messaging.eventhandling.annotation.TimestampParameterResolverFactory,org.axonframework.messaging.eventhandling.replay.annotation.ReplayContextParameterResolverFactory$ReplayContextParameterResolver,org.axonframework.messaging.queryhandling.distributed.QueryBusConnector$Handler,org.axonframework.messaging.core.interception.DispatchInterceptorFactory,org.axonframework.messaging.queryhandling.annotation.QueryHandlingMember,org.axonframework.messaging.core.retry.AsyncRetryScheduler$RetryTask,org.axonframework.messaging.core.timeout.TaskTimeoutSettings,org.axonframework.axonserver.connector.util.ExceptionConverter,org.axonframework.extension.springboot.EventProcessorProperties$Dlq","Metadata,FilesystemStyleComponentDescriptor$TreeRenderer,PessimisticLockFactory$DisposableLock,EventSourcedEntityFactory,TimestampParameterResolverFactory,ReplayContextParameterResolverFactory$ReplayContextParameterResolver,QueryBusConnector$Handler,DispatchInterceptorFactory,QueryHandlingMember,AsyncRetryScheduler$RetryTask,TaskTimeoutSettings,ExceptionConverter,EventProcessorProperties$Dlq",""
"communityMaximumKCutId",71,12,"org.axonframework.test.fixture.AxonTestPhase$When$Command,org.axonframework.eventsourcing.eventstore.EventStoreTransaction,org.axonframework.common.caching.EhCacheAdapter$CacheEventListenerAdapter,org.axonframework.messaging.tracing.SpanUtils,org.axonframework.messaging.eventhandling.replay.ResetNotSupportedException,org.axonframework.messaging.eventhandling.gateway.DefaultEventGateway,org.axonframework.messaging.queryhandling.gateway.QueryGateway,org.axonframework.messaging.core.annotation.MessageIdentifierParameterResolverFactory,org.axonframework.messaging.core.annotation.AggregateTypeParameterResolverFactory,org.axonframework.messaging.core.interception.LoggingInterceptor,org.axonframework.messaging.core.retry.RetryOutcome,org.axonframework.extension.metrics.micrometer.MetricsConfigurationEnhancer","AxonTestPhase$When$Command,EventStoreTransaction,EhCacheAdapter$CacheEventListenerAdapter,SpanUtils,ResetNotSupportedException,DefaultEventGateway,QueryGateway,MessageIdentifierParameterResolverFactory,AggregateTypeParameterResolverFactory,LoggingInterceptor,RetryOutcome,MetricsConfigurationEnhancer",""
