"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-4.12.1","org.axonframework.messaging",3,34,158,1,""
"axon-messaging-4.12.1","org.axonframework.commandhandling",3,31,158,1,""
"axon-messaging-4.12.1","org.axonframework.util",3,3,158,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing",11,41,144,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore",11,30,144,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection",11,26,144,1,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.command",11,11,144,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga.repository.jpa",11,7,144,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.deadletter.legacyjpa",11,6,144,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.quartz",11,6,144,1,""
"axon-messaging-4.12.1","org.axonframework.serialization.upcasting",11,6,144,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.java",11,4,144,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.correlation",11,4,144,1,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.util",11,3,144,1,""
"axon-messaging-4.12.1","org.axonframework.common",10,27,131,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection",10,26,131,1,""
"axon-test-4.12.1","org.axonframework.test.matchers",10,24,131,1,""
"axon-tracing-opentelemetry-4.12.1","org.axonframework.tracing.opentelemetry",10,5,131,1,""
"axon-messaging-4.12.1","org.axonframework.common.transaction",10,4,131,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.correlation",10,4,131,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.interceptors.legacyvalidation",10,2,131,1,""
"axon-messaging-4.12.1","org.axonframework.queryhandling",5,47,121,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing",5,41,121,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig",5,41,121,1,""
"axon-messaging-4.12.1","org.axonframework.serialization",5,33,121,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.legacyjpa",5,10,121,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.jpa",5,6,121,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.annotation",2,54,120,1,""
"axon-messaging-4.12.1","org.axonframework.common",2,27,120,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection",2,26,120,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command",0,56,119,1,""
"axon-messaging-4.12.1","org.axonframework.commandhandling.gateway",0,34,119,1,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon",0,32,119,1,""
"axon-messaging-4.12.1","org.axonframework.common",0,27,119,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection",0,26,119,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.pooled",0,22,119,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.deadletter",0,19,119,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga.repository",0,15,119,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.unitofwork",0,14,119,1,""
"axon-messaging-4.12.1","org.axonframework.deadline",0,13,119,1,""
"axon-messaging-4.12.1","org.axonframework.serialization.upcasting.event",0,12,119,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.interceptors",0,8,119,1,""
"axon-messaging-4.12.1","org.axonframework.monitoring",0,6,119,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.gateway",0,5,119,1,""
"axon-messaging-4.12.1","org.axonframework.common.jpa",0,4,119,1,""
"axon-messaging-4.12.1","org.axonframework.common.legacyjpa",0,4,119,1,""
"axon-test-4.12.1","org.axonframework.test.server",0,2,119,1,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon",12,32,105,1,""
"axon-messaging-4.12.1","org.axonframework.common.transaction",12,4,105,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling",12,3,105,1,""
"axon-messaging-4.12.1","org.axonframework.queryhandling",4,47,94,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig",9,41,94,1,""
"axon-messaging-4.12.1","org.axonframework.messaging",9,34,94,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga",4,33,94,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore",4,30,94,1,""
"axon-messaging-4.12.1","org.axonframework.common",9,27,94,1,""
"axon-test-4.12.1","org.axonframework.test.matchers",4,24,94,1,""
"axon-messaging-4.12.1","org.axonframework.common.jdbc",9,18,94,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga.repository",4,15,94,1,""
"axon-messaging-4.12.1","org.axonframework.common.caching",4,14,94,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.conflictresolution",4,9,94,1,""
"axon-messaging-4.12.1","org.axonframework.lifecycle",4,9,94,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.interceptors",4,8,94,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.interceptors.legacyvalidation",4,2,94,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig.legacyjpa",9,2,94,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore",8,30,77,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.tokenstore",8,7,77,1,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.processor",8,3,77,1,""
"axon-messaging-4.12.1","org.axonframework.messaging",7,34,71,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot",7,28,71,1,""
"axon-messaging-4.12.1","org.axonframework.common",7,27,71,1,""
"axon-test-4.12.1","org.axonframework.test.saga",7,21,71,1,""
"axon-messaging-4.12.1","org.axonframework.common.jpa",7,4,71,1,""
"axon-messaging-4.12.1","org.axonframework.common.legacyjpa",7,4,71,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig.legacyjpa",7,2,71,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga",23,33,67,1,""
"axon-messaging-4.12.1","org.axonframework.commandhandling",23,31,67,1,""
"axon-messaging-4.12.1","org.axonframework.deadline.annotation",23,5,67,1,""
"axon-test-4.12.1","org.axonframework.test.utils",23,4,67,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot",14,28,65,1,""
"axon-messaging-4.12.1","org.axonframework.common",14,27,65,1,""
"axon-test-4.12.1","org.axonframework.test.server",14,2,65,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command",18,56,27,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.annotation",18,54,27,1,""
"axon-messaging-4.12.1","org.axonframework.queryhandling",18,47,27,1,""
"axon-messaging-4.12.1","org.axonframework.commandhandling",18,31,27,1,""
"axon-messaging-4.12.1","org.axonframework.commandhandling.distributed",18,26,27,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.jpa",18,6,27,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig",6,41,20,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.legacyjpa",6,10,20,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.util",15,9,17,1,""
"axon-messaging-4.12.1","org.axonframework.common.jdbc",17,18,7,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling",3,99,158,2,""
"axon-modelling-4.12.1","org.axonframework.modelling.command",3,56,158,2,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing",3,41,158,2,""
