"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-configuration-4.11.0","javax.annotation",13,105,41,"Nonnull,Nullable",""
"axon-configuration-4.11.0","org.slf4j",11,32,41,"LoggerFactory,Logger",""
"axon-disruptor-4.11.0","org.slf4j",12,22,22,"Logger,LoggerFactory",""
"axon-disruptor-4.11.0","com.lmax.disruptor",9,25,22,"BlockingWaitStrategy,WaitStrategy,RingBuffer,ExceptionHandler,LifecycleAware,EventHandler",""
"axon-disruptor-4.11.0","javax.annotation",6,23,22,"Nonnull",""
"axon-disruptor-4.11.0","com.lmax.disruptor.dsl",5,21,22,"ProducerType,Disruptor,EventHandlerGroup",""
"axon-disruptor-4.11.0","WeakValue",1,2,22,"WeakValue",""
"axon-eventsourcing-4.11.0","javax.annotation",29,99,133,"PreDestroy,Nonnull,Nullable",""
"axon-eventsourcing-4.11.0","org.slf4j",23,43,133,"Logger,LoggerFactory",""
"axon-eventsourcing-4.11.0","jakarta.persistence",11,48,133,"Table,Index,Entity,IdClass,Id,MappedSuperclass,EntityExistsException,EntityManager,TypedQuery,Query",""
"axon-eventsourcing-4.11.0","javax.persistence",11,48,133,"Table,Index,Entity,MappedSuperclass,IdClass,Id,EntityExistsException,EntityManager,Query,TypedQuery",""
"axon-messaging-4.11.0","javax.annotation",259,1253,809,"Nonnull,Nullable",""
"axon-messaging-4.11.0","org.slf4j",147,457,809,"LoggerFactory,Logger",""
"axon-messaging-4.11.0","com.fasterxml.jackson.annotation",53,81,809,"JsonIgnore,JsonProperty,JsonCreator,JsonGetter,JsonTypeInfo$Id,JsonTypeInfo,JsonTypeInfo$As",""
"axon-messaging-4.11.0","javax.persistence",44,174,809,"EntityManager,TypedQuery,MappedSuperclass,Column,Basic,Lob,Embeddable,Id,GeneratedValue,LockModeType,Entity,Table,Index,Embedded,Query,IdClass,NoResultException",""
"axon-messaging-4.11.0","jakarta.persistence",40,168,809,"Basic,MappedSuperclass,Lob,Column,Embeddable,TypedQuery,Id,GeneratedValue,LockModeType,Query,EntityManager,NoResultException,Entity,Table,Embedded,Index,IdClass",""
"axon-messaging-4.11.0","org.quartz",35,185,809,"Job,Trigger,JobDetail,JobExecutionException,Scheduler,SchedulerContext,JobKey,JobExecutionContext,JobDataMap,TriggerBuilder,SchedulerException,JobBuilder",""
"axon-messaging-4.11.0","reactor.core.publisher",35,142,809,"Mono,Flux,Signal,MonoSink,FluxSink,Sinks$EmitResult,Sinks$Many,Sinks$ManySpec,ConnectableFlux,Sinks$MulticastReplaySpec,FluxSink$OverflowStrategy,EmitterProcessor,Sinks",""
"axon-messaging-4.11.0","org.apache.avro",16,54,809,"AvroRuntimeException,Schema,SchemaCompatibility$Incompatibility,InvalidNumberEncodingException,SchemaNormalization,SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaPairCompatibility,InvalidAvroMagicException,SchemaCompatibility",""
"axon-messaging-4.11.0","com.fasterxml.jackson.databind",15,65,809,"DeserializationContext,JsonDeserializer,JsonNode,ObjectMapper,ObjectReader,ObjectWriter,ObjectMapper$DefaultTyping,DeserializationFeature",""
"axon-messaging-4.11.0","org.reactivestreams",13,37,809,"Publisher",""
"axon-messaging-4.11.0","com.github.kagkarlsson.scheduler.task",10,40,809,"TaskInstanceId,TaskWithDataDescriptor,Task,ExecutionContext,TaskInstance",""
"axon-messaging-4.11.0","com.thoughtworks.xstream.io",9,39,809,"HierarchicalStreamWriter,HierarchicalStreamReader,HierarchicalStreamDriver",""
"axon-messaging-4.11.0","javax.cache.event",8,26,809,"CacheEntryEvent,CacheEntryExpiredListener,CacheEntryListenerException,CacheEntryUpdatedListener,CacheEntryListener,CacheEntryCreatedListener,CacheEntryRemovedListener,CacheEntryEventFilter",""
"axon-messaging-4.11.0","org.ehcache.event",8,30,809,"CacheEvent,EventType,CacheEventListener,EventOrdering,EventFiring",""
"axon-messaging-4.11.0","com.github.kagkarlsson.scheduler",7,46,809,"ScheduledExecution,SchedulerState,Scheduler",""
"axon-messaging-4.11.0","org.apache.avro.generic",7,26,809,"GenericRecord,GenericDatumReader,GenericData",""
"axon-messaging-4.11.0","org.apache.avro.message",7,23,809,"SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder,BadHeaderException",""
"axon-messaging-4.11.0","com.thoughtworks.xstream.converters",6,6,809,"MarshallingContext,UnmarshallingContext",""
"axon-messaging-4.11.0","org.jobrunr.scheduling",6,31,809,"JobScheduler,JobBuilder",""
"axon-messaging-4.11.0","com.thoughtworks.xstream.mapper",5,6,809,"Mapper,CannotResolveClassException",""
"axon-messaging-4.11.0","jakarta.validation",5,15,809,"Validation,Validator,ValidatorFactory,ConstraintViolation",""
"axon-messaging-4.11.0","javax.validation",5,15,809,"ConstraintViolation,Validation,ValidatorFactory,Validator",""
"axon-messaging-4.11.0","net.sf.ehcache",5,47,809,"Ehcache,Element,CacheException",""
"axon-messaging-4.11.0","nu.xom",5,15,809,"Document,ParsingException,Builder",""
"axon-messaging-4.11.0","com.fasterxml.jackson.core",4,7,809,"JacksonException,JsonParser,JsonProcessingException",""
"axon-messaging-4.11.0","com.thoughtworks.xstream",4,42,809,"XStream",""
"axon-messaging-4.11.0","com.thoughtworks.xstream.io.xml",4,13,809,"CompactWriter,XppDriver,Dom4JReader,XomReader",""
"axon-messaging-4.11.0","org.apache.avro.specific",4,16,809,"SpecificRecordBase,SpecificData",""
"axon-messaging-4.11.0","com.fasterxml.jackson.databind.node",3,12,809,"ObjectNode,JsonNodeType",""
"axon-messaging-4.11.0","com.fasterxml.jackson.databind.type",3,3,809,"TypeFactory",""
"axon-messaging-4.11.0","com.thoughtworks.xstream.converters.collections",3,7,809,"CollectionConverter,MapConverter",""
"axon-messaging-4.11.0","javax.cache.configuration",3,9,809,"CacheEntryListenerConfiguration,Factory",""
"axon-messaging-4.11.0","net.sf.ehcache.event",3,7,809,"CacheEventListener,RegisteredEventListeners",""
"axon-messaging-4.11.0","org.dom4j",3,11,809,"Document",""
"axon-messaging-4.11.0","com.github.kagkarlsson.scheduler.task.helper",2,14,809,"Tasks$OneTimeTaskBuilder",""
"axon-messaging-4.11.0","org.jobrunr.jobs.states",2,7,809,"StateName,IllegalJobStateChangeException",""
"axon-messaging-4.11.0","reactor.util.concurrent",2,3,809,"Queues",""
"axon-messaging-4.11.0","reactor.util.context",2,6,809,"Context,ContextView",""
