"artifactName","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","top5ExternalPackages","someExternalTypes","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_sorted_top.cypher"
"axon-tracing-opentelemetry-5.1.2",6,16,6,266.6666666666667,24,80,6,"io.opentelemetry.context.propagation,io.opentelemetry.api.trace,io.opentelemetry.context,org.slf4j","TextMapSetter,ContextPropagators,TextMapGetter,TextMapPropagator,Tracer,Span,SpanBuilder,SpanKind,SpanContext",""
"axoniq-spring-boot-autoconfigure-5.1.2",26,45,26,173.0769230769231,84,166,26,"org.springframework.boot.autoconfigure.condition,org.springframework.boot.autoconfigure,org.springframework.boot.actuate.health,org.springframework.context.annotation","ConditionalOnBean,ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnProperty,AutoConfiguration,AutoConfigureBefore,Status,Health$Builder,AbstractHealthIndicator",""
"axon-server-connector-5.1.2",79,125,24,158.22784810126583,239,1069,24,"io.axoniq.axonserver.grpc.event.dcb,io.axoniq.axonserver.grpc,io.grpc,io.axoniq.axonserver.connector","StreamEventsResponse,SequencedEvent,GetLastSnapshotRequest$Builder,AddSnapshotResponse,AddSnapshotRequest,AddSnapshotRequest$Builder,GetLastSnapshotResponse,Snapshot,GetLastSnapshotRequest",""
"axon-metrics-micrometer-5.1.2",19,21,8,110.5263157894737,52,159,8,"io.micrometer.core.instrument,org.jspecify.annotations,org.springframework.boot.autoconfigure,org.springframework.boot.autoconfigure.condition","Tag,Tags,MeterRegistry,Clock,Gauge,Gauge$Builder,Timer$Builder,Timer,Counter",""
"axon-conversion-5.1.2",41,39,15,95.1219512195122,78,293,15,"org.apache.avro,tools.jackson.databind,org.apache.avro.message,com.fasterxml.jackson.databind","AvroRuntimeException,Schema,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaIncompatibilityType,SchemaNormalization,SchemaCompatibility,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaCompatibilityType",""
"axon-test-5.1.2",79,19,6,24.050632911392405,61,235,6,"org.hamcrest,org.junit.jupiter.api.extension,org.jspecify.annotations,org.slf4j","Description,Matcher,BaseMatcher,TypeSafeMatcher,StringDescription,CoreMatchers,ParameterResolutionException,BeforeEachCallback,ExtensionContext$Namespace",""
"axon-common-5.1.2",175,28,11,16,61,198,11,"org.jspecify.annotations,org.slf4j,org.ehcache.event,javax.cache.event","NullMarked,LoggerFactory,Logger,EventFiring,CacheEventListener,EventOrdering,EventType,CacheEvent,CacheEntryUpdatedListener",""
"axon-eventsourcing-5.1.2",130,19,6,14.615384615384617,45,110,6,"org.slf4j,jakarta.persistence,org.jspecify.annotations,WrappedEventCriteriaBuilderMethod","LoggerFactory,Logger,EntityExistsException,TypedQuery,EntityManager,Id,Table,Lob,SequenceGenerator",""
"axon-update-5.1.2",28,3,2,10.714285714285715,19,50,2,"org.slf4j,org.jspecify.annotations","Logger,LoggerFactory,NullMarked",""
"axon-messaging-5.1.2",633,33,8,5.213270142180095,176,497,8,"org.jspecify.annotations,org.slf4j,com.fasterxml.jackson.annotation,jakarta.persistence","NullMarked,Logger,LoggerFactory,JsonTypeInfo$Id,JsonCreator,JsonProperty,JsonTypeInfo,JsonGetter,JsonIgnore",""
"axon-modelling-5.1.2",99,3,2,3.0303030303030303,11,24,2,"org.jspecify.annotations,org.slf4j","NullMarked,Logger,LoggerFactory",""
