"word","frequency","Source Cypher File: domains/git-history/queries/statistics/Words_for_git_author_Wordcloud_with_frequency.cypher"
"John Hendrikx",79,""
"Jan Galinski",174,""
"Steven van Beelen",6483,""
"Jakob Hatzl",8,""
"hatzlj",42,""
"Allard Buijze",2930,""
"Mateusz Nowak",733,""
"Kirboyyy",1,""
"Simon Zambrovski",227,""
"rsobies",18,""
"jhatzl",6,""
"Mitchell Herrijgers",741,""
"Sam Kruglov",2,""
"Auke Haanstra",1,""
"Ruben Ahrens",2,""
"Jens Mayer",18,""
"TeraSeo",3,""
"Jasper Hawinkel",1,""
"Oliver Libutzki",4,""
"Corrado Musumeci",13,""
"Marc",26,""
"Christian Thiel",3,""
"Lucas Campos",61,""
"Paul Kuyer",11,""
"Kursat Aktas",4,""
"Praegla, Alexander",1,""
"Roald Bankras",18,""
"MATTHIAS BECHTOLD",1,""
"Weronika Trzaska",9,""
"bruceaxoniq",3,""
"Harold D. Turyasingura",4,""
"Markus Hager",6,""
"David Gómez G",55,""
"David Gómez G.",2,""
"Marc Gathier",231,""
"Stefan Dragisic",94,""
"Gerard Klijs",246,""
"Manish Mishra",7,""
"Fredrik Tõnisson-Bystam",2,""
"Michel Käser",1,""
"pckuyer",3,""
"Timo Frye",1,""
"CptCheesebeard",1,""
"Tim te Beek",27,""
"Vitaly Korshunov",1,""
"sajad",1,""
"Milen Dyankov",85,""
"Stefan",30,""
"Jan Lachmuth",3,""
"Mirko",2,""
"Yoann CAPLAIN",8,""
"Sara Pellegrini",48,""
"snyk-bot",4,""
"YvonneCeelie",36,""
"Frank Scheffler",1,""
"TDBACKE1",1,""
"Marco Amann",3,""
"Francois Fernandes",1,""
"Erik Hofer",2,""
"Stefan Andjelkovic",59,""
"Dominic Heutelbeck",6,""
"Nils Christian Ehmke",11,""
"Milan Savic",449,""
"Fatih Altuntaş",4,""
"Andy Elliott",1,""
"Carolin Brandt",2,""
"Stefan Anđelković",9,""
"Fabio Couto",2,""
"Eddú Meléndez",2,""
"David Kronhardt",2,""
"srmppn",16,""
"Arnaud J",2,""
"Arnaud Jabin",2,""
"Christian Vermorken",42,""
"barbeque-squared",1,""
"sara pellegrini",163,""
"saratry",25,""
"mikelhamer",1,""
"David Gomez G",4,""
"Marc von Renteln",9,""
"brunchey",3,""
"Dilshod Tadjiev",2,""
"Sascha Eisenmann",9,""
"biergit",2,""
"Joel Feinstein",2,""
"Beka Tsotsoria",2,""
