"name","shortName","pageRank","articleRank","betweenness","costEffectiveLazyForward","harmonicCloseness","closeness","hyperlinkInducedTopicSearchAuthority","hyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/centrality/Centrality_90_Summary.cypher"
"io.axoniq.framework.axonserver.connector.shared","shared",0.18025088092847935,0.17815342328158337,72.16666666666666,0,0.03116531165311653,0.02540650406504065,0.02519972187889368,0.09270200888394362,22,31,""
"io.axoniq.framework.axonserver.connector.snapshot","snapshot",0.1523044323979592,0.1521801848415321,0,0,0.012195121951219513,0.01084010840108401,0.003360935288478929,0.042052762055871835,1,12,""
"io.axoniq.framework.axonserver.connector.util","util",0.2349809687708463,0.19666023279456896,6,0,0.04878048780487805,0.04390243902439024,0.01709309721498895,0.0007569069081874991,14,13,""
"io.axoniq.framework.axonserver.connector.query","query",0.15921772959183678,0.15872073936612835,0.5,0,0.012195121951219513,0.01084010840108401,0.003360935288478929,0.1345513236170414,17,215,""
"io.axoniq.framework.axonserver.connector.api","api",0.5370077768039687,0.3749888222743757,11,0,0.06504065040650407,0.06504065040650407,0.03571976405030243,0.02478802280510794,36,23,""
"io.axoniq.framework.axonserver.connector.api.query","query",0.16734489608934427,0.1653305517598685,0,0,0.025067750677506776,0.020905923344947733,0.005305107535326379,0.048720088205595515,3,5,""
"io.axoniq.framework.axonserver.connector.api.command","command",0.17312652811912568,0.17044073567982465,0,0,0.025067750677506776,0.020905923344947733,0.005305107535326379,0.03413963258250011,3,5,""
"io.axoniq.framework.axonserver.connector.event","event",0.16036994579081634,0.1598108317868944,32,2.9399999999999995,0.012195121951219513,0.01084010840108401,0.003360935288478929,0.16644403761873774,18,1282,""
"io.axoniq.framework.axonserver.connector.configuration","configuration",0.1518214285714286,0.1516717775192979,41.583333333333336,0,0.008130081300813009,0.008130081300813009,0.0016196511727222627,0.05872933788735449,9,382,""
"io.axoniq.framework.axonserver.connector.command","command",0.15921772959183678,0.15872073936612835,1.5,0,0.012195121951219513,0.01084010840108401,0.003360935288478929,0.13934723803000404,5,99,""
"org.axonframework.eventsourcing","eventsourcing",0.182408697238099,0.17714079593799367,50.18333333333334,0,0.07046070460704607,0.05435109906654623,0.03033394900744705,0.09447692178060293,40,102,""
"org.axonframework.eventsourcing.annotation","annotation",0.17123305745147413,0.1656983656733342,93.16666666666666,0,0.08130081300813008,0.07158437438032918,0.02504837573426024,0.1045272767507189,18,95,""
"org.axonframework.eventsourcing.annotation.reflection","reflection",0.1580860019635913,0.15580412293026938,11.8,0,0.05555555555555556,0.04974507372192366,0.0059818384759235945,0.13289541812777791,8,198,""
"org.axonframework.eventsourcing.snapshot.inmemory","inmemory",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.028559736475303573,0,3,""
"org.axonframework.eventsourcing.snapshot.store","store",0.15697125237006657,0.15580338200757257,196.00000000000003,0,0.09485094850948511,0.07932322566468908,0.03222167704338684,0.04698606423058889,7,3,""
"org.axonframework.eventsourcing.snapshot.api","api",0.38169321883211865,0.30433399802099165,47,0,0.09349593495934959,0.07723577235772358,0.031549638429381154,0.018947934781946014,18,13,""
"org.axonframework.eventsourcing.handler","handler",0.19600601745622329,0.1847880582937195,0,0,0.05311653116531166,0.041337455628077405,0.01477685062137885,0.12890060573426562,12,547,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.5329101349692643,0.3825242638353086,232.3,0,0.12195121951219512,0.10870219813309245,0.06778915342177523,0.14106721735898464,275,985,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.15173469387755104,0.15166377269139703,1.5,0,0.008130081300813009,0.008130081300813009,0.009370169194655968,0.0936151580497975,12,417,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.15000000000000002,0.15000000000000002,0,2.1000000000000014,0,0,0,0.15923886099243353,15,1319,""
"org.axonframework.eventsourcing.configuration","configuration",0.15000000000000002,0.15000000000000002,0,8.08,0,0,0,0.16373532527717416,31,1761,""
"org.axonframework.conversion","conversion",1.5892844892064322,1.1206893102429196,35.05000000000001,0,0.4986449864498645,0.4407460545193687,0.1679893993996171,0.061194892458897254,682,30,""
"org.axonframework.conversion.jackson","jackson",0.151539081778268,0.15146440171947578,0,0,0.03143631436314363,0.025328330206378986,0.00798790378251465,0.046998684861121166,5,21,""
"org.axonframework.conversion.converter","converter",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.009613619373940252,0,7,""
"org.axonframework.conversion.jackson2","jackson2",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.046998684861121166,4,21,""
"org.axonframework.conversion.avro","avro",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.07080851183283751,19,49,""
"org.axonframework.update","update",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.05525597072247194,7,100,""
"org.axonframework.update.detection","detection",0.1603779069767442,0.1596731054977712,1,0,0.008130081300813009,0.008130081300813009,0.003162163044584599,0.02051845548600858,4,5,""
"org.axonframework.update.common","common",0.15741279069767444,0.15690936106983658,0,0,0.008130081300813009,0.008130081300813009,0.003162163044584599,0.020270294932930078,1,1,""
"org.axonframework.update.api","api",0.32835174418604657,0.29097256329767873,0,0,0.016260162601626018,0.016260162601626018,0.004336383691176614,0.020270294932930078,18,11,""
"org.axonframework.update.configuration","configuration",0.15593023255813956,0.15552748885586926,0,0,0.008130081300813009,0.008130081300813009,0.003162163044584599,0.020270294932930078,15,19,""
"org.axonframework.modelling","modelling",0.22703320493909704,0.21820521542458254,62.333333333333336,0,0.12195121951219512,0.09238728750923872,0.061474614673955943,0.11967351490541273,126,182,""
"org.axonframework.modelling.annotation","annotation",0.16709519227983888,0.16496178045266288,71.11666666666667,0,0.0975609756097561,0.0806555684604465,0.03271435941768966,0.12092922548173532,13,314,""
"org.axonframework.modelling.entity","entity",0.2101421163679739,0.20149841915064004,89.23333333333333,0,0.11111111111111112,0.09587360024543641,0.03789105223914354,0.11616011407611089,119,842,""
"org.axonframework.modelling.entity.annotation","annotation",0.16759925574595108,0.1643964560481565,24.833333333333336,0,0.08401084010840107,0.0705736224028907,0.022272489255261325,0.18371805165361163,48,896,""
"org.axonframework.modelling.entity.child","child",0.1893446674819071,0.1865701489479781,0,0,0.08130081300813008,0.0705736224028907,0.017161288475250634,0.11826859075677092,89,242,""
