"communityId","artifactName","packageCount","packageNames","Source Cypher File: domains/graph-algorithms/queries/community-detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-common-5.1.2",1,"property",""
0,"axon-modelling-5.1.2",5,"modelling,annotation,child,repository",""
1,"axon-common-5.1.2",1,"lifecycle",""
1,"axon-messaging-5.1.2",25,"commandhandling,annotation,interception,gateway,retry,tracing,configuration,replay,queryhandling,core,reflection,timeout,attributes",""
1,"axon-modelling-5.1.2",1,"entity",""
1,"axon-server-connector-5.1.2",5,"shared,query,command",""
1,"axon-test-5.1.2",1,"util",""
1,"axon-tracing-opentelemetry-5.1.2",1,"opentelemetry",""
2,"axon-common-5.1.2",2,"infra,configuration",""
2,"axon-eventsourcing-5.1.2",1,"configuration",""
2,"axon-messaging-5.1.2",12,"monitoring,interception,configuration,conversion,subscribing,errorhandling,correlation",""
2,"axon-metrics-micrometer-5.1.2",3,"micrometer,springboot,reservoir",""
2,"axon-modelling-5.1.2",1,"configuration",""
3,"axon-eventsourcing-5.1.2",9,"eventsourcing,annotation,inmemory,store,api,handler,eventstore,jpa",""
3,"axon-messaging-5.1.2",4,"streaming,token,annotation,eventstreaming",""
3,"axon-server-connector-5.1.2",2,"snapshot,event",""
4,"axon-common-5.1.2",3,"io,util,function",""
4,"axon-messaging-5.1.2",1,"jdbc",""
4,"axon-server-connector-5.1.2",3,"util,api,configuration",""
4,"axoniq-spring-boot-autoconfigure-5.1.2",5,"springboot,connection,actuator,axonserver,autoconfig",""
5,"axon-common-5.1.2",2,"annotation,jpa",""
5,"axon-messaging-5.1.2",1,"jpa",""
5,"axon-update-5.1.2",5,"update,detection,common,api,configuration",""
6,"axon-common-5.1.2",6,"common,jdbc,caching,tx,digest,lock",""
6,"axon-eventsourcing-5.1.2",1,"reflection",""
6,"axon-messaging-5.1.2",10,"processing,store,inmemory,jdbc,jpa,pooled,segmenting,unitofwork,annotation,transaction",""
7,"axon-messaging-5.1.2",4,"eventhandling,interception,gateway,sequencing",""
7,"axon-test-5.1.2",4,"matchers,test,fixture,extension",""
