"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext",0.5075544790187776,0.006659163415300572,228,5,""
"org.axonframework.messaging.core.Message","Message",0.42687409815096866,0.03744845514128522,234,6,""
"org.axonframework.messaging.core.MessageStream","MessageStream",0.3305458564799742,0.03938086736579734,126,21,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage",0.2925408935338894,0.021718477951641387,137,3,""
"org.axonframework.common.infra.ComponentDescriptor","ComponentDescriptor",0.22006768321392786,0,92,0,""
"org.axonframework.common.annotation.Internal","Internal",0.20748665151700205,0,149,0,""
"org.axonframework.messaging.core.MessageStream$Empty","MessageStream$Empty",0.15806039200577793,0.04165997433370386,52,5,""
"org.axonframework.messaging.core.MessageType","MessageType",0.14573254536891322,0.007535572125869729,62,3,""
"org.axonframework.messaging.core.MessageStream$Entry","MessageStream$Entry",0.13887114830071726,0.02336290941867846,69,3,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName",0.1293052655896239,0.0031847679617822357,68,3,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage",0.12753921540256585,0.021718477951641387,67,3,""
"org.axonframework.messaging.core.MessageStream$Single","MessageStream$Single",0.11646157740079544,0.037255137217081985,45,7,""
"org.axonframework.messaging.core.Context$ResourceKey","Context$ResourceKey",0.10121664947154733,0,54,0,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken","TrackingToken",0.09882555986039604,0.005880219584421544,61,4,""
"org.axonframework.messaging.core.MessageHandlerInterceptor","MessageHandlerInterceptor",0.08069022226837148,0.05419767213944973,32,4,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent",0.07752188233137958,0.009023095938621887,47,1,""
"org.axonframework.common.configuration.Configuration","Configuration",0.07667008912199932,0.00478222665270288,93,3,""
"org.axonframework.common.FutureUtils","FutureUtils",0.07459099895004224,0,41,0,""
"org.axonframework.messaging.queryhandling.QueryMessage","QueryMessage",0.07453996140940455,0.021718477951641387,37,3,""
"org.axonframework.messaging.commandhandling.CommandResultMessage","CommandResultMessage",0.0703845720616479,0.022051985929604733,30,4,""
"org.axonframework.conversion.Converter","Converter",0.06577689861825858,0.003178510226504375,52,1,""
"org.axonframework.messaging.core.annotation.MessageHandlingMember","MessageHandlingMember",0.06296736340301834,0.06037305179621104,38,4,""
"org.axonframework.messaging.core.MessageDispatchInterceptor","MessageDispatchInterceptor",0.06217230056954312,0.05294965594355151,29,4,""
"org.axonframework.messaging.core.MessageTypeResolver","MessageTypeResolver",0.06118932409348067,0.024877227983407732,32,4,""
"org.axonframework.messaging.core.MessageHandlerInterceptorChain","MessageHandlerInterceptorChain",0.05687299260499851,0.051865796504204455,19,3,""
"org.axonframework.messaging.core.Metadata","Metadata",0.05601475886161811,1.5966358697969165e-57,41,1,""
"org.axonframework.messaging.core.unitofwork.UnitOfWorkFactory","UnitOfWorkFactory",0.052685081235402935,0.001562788242490168,25,2,""
"org.axonframework.messaging.eventhandling.EventHandlingComponent","EventHandlingComponent",0.04905667740408499,0.08301420570073355,18,12,""
"org.axonframework.messaging.core.annotation.ParameterResolver","ParameterResolver",0.048411426536993575,0.02081047381142164,47,1,""
"org.axonframework.messaging.core.annotation.ParameterResolverFactory","ParameterResolverFactory",0.04715186640500658,0.0019849390868726725,40,1,""
"org.axonframework.messaging.commandhandling.CommandHandler","CommandHandler",0.04377833179957681,0.034148385805164896,22,5,""
"org.axonframework.messaging.core.conversion.MessageConverter","MessageConverter",0.04337832869869246,0.020199409305296418,24,2,""
"org.axonframework.messaging.monitoring.MessageMonitor","MessageMonitor",0.04192191493481674,0.018640861379278315,26,2,""
"org.axonframework.messaging.core.Context","Context",0.04171604417922135,0.012699985915647619,25,4,""
"org.axonframework.messaging.eventstreaming.EventCriteria","EventCriteria",0.040761912948695425,0.007024541943973045,31,8,""
"org.axonframework.messaging.queryhandling.QueryResponseMessage","QueryResponseMessage",0.03961858932518127,0.022051985929604733,22,4,""
"org.axonframework.messaging.eventhandling.conversion.EventConverter","EventConverter",0.03911306708904301,0.014691552016572445,17,2,""
"org.axonframework.messaging.eventstreaming.StreamingCondition","StreamingCondition",0.03824920570945895,0.006051790166757389,14,5,""
"org.axonframework.messaging.eventhandling.GenericEventMessage","GenericEventMessage",0.03803895349100637,0.051769906188825696,15,10,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork","UnitOfWork",0.03773155235743656,0.03592318887097574,17,10,""
"org.axonframework.messaging.queryhandling.SubscriptionQueryUpdateMessage","SubscriptionQueryUpdateMessage",0.03772974886188845,0.023676405868112753,21,5,""
"org.axonframework.common.configuration.ComponentBuilder","ComponentBuilder",0.037086849701103604,0.0031435854627414315,36,1,""
"org.axonframework.common.TypeReference","TypeReference",0.0370491370055313,1.6741940538081715e-51,46,2,""
"org.axonframework.messaging.core.sequencing.SequencingPolicy","SequencingPolicy",0.036438283861903516,0.03831293435027605,17,2,""
"org.axonframework.eventsourcing.eventstore.SourcingCondition","SourcingCondition",0.03639609622169694,0.0029875372643315898,13,6,""
"org.axonframework.common.Assert","Assert",0.036039844983681256,0.0007561814679752844,33,1,""
"org.axonframework.messaging.commandhandling.CommandBus","CommandBus",0.035892507633917096,0.03302788582843959,17,5,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.Segment","Segment",0.034980074398021414,0.01584539037341934,26,4,""
"org.axonframework.eventsourcing.eventstore.AppendCondition","AppendCondition",0.033957282055105564,0.0031260044236384897,15,5,""
"org.axonframework.common.Registration","Registration",0.03382541669114716,0,19,0,""
"org.axonframework.eventsourcing.eventstore.TaggedEventMessage","TaggedEventMessage",0.03351520398418305,0.012871611531726944,16,2,""
"org.axonframework.common.ObjectUtils","ObjectUtils",0.03311343113304949,0,23,0,""
"org.axonframework.messaging.core.unitofwork.ProcessingLifecycle$Phase","ProcessingLifecycle$Phase",0.03246667096505376,0,18,0,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.TokenStore","TokenStore",0.03236434784616426,0.02629669994607948,16,3,""
"org.axonframework.messaging.eventhandling.replay.ResetContext","ResetContext",0.03232124451160407,0.021718477951641387,10,3,""
"org.axonframework.common.BuilderUtils","BuilderUtils",0.031548575021501664,0.0034724436291250194,32,3,""
"org.axonframework.messaging.core.unitofwork.ProcessingLifecycle$ErrorHandler","ProcessingLifecycle$ErrorHandler",0.031447093576233126,0.02214165466745207,15,2,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException",0.03020809528782339,1.7584046462596043e-06,25,1,""
"org.axonframework.modelling.entity.EntityMetamodel","EntityMetamodel",0.029961842538355623,0.057013565975645324,25,13,""
"org.axonframework.messaging.eventhandling.EventSink","EventSink",0.029868834514628156,0.03598358728805646,15,3,""
"org.axonframework.eventsourcing.eventstore.EventStorageEngine$AppendTransaction","EventStorageEngine$AppendTransaction",0.029439482763331457,0.0010194640276744427,13,1,""
"org.axonframework.messaging.monitoring.MessageMonitor$MonitorCallback","MessageMonitor$MonitorCallback",0.027764886600456538,0.0028858700970361317,21,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken","ReplayToken",0.027281132233366024,0.007102423897954395,9,3,""
"org.axonframework.eventsourcing.eventstore.EventStorageEngine","EventStorageEngine",0.026650482320178283,0.06912979509027396,10,11,""
"org.axonframework.messaging.core.MessageDispatchInterceptorChain","MessageDispatchInterceptorChain",0.02643465583976534,0.051865796504204455,9,3,""
"org.axonframework.messaging.core.AbstractMessageStream$FetchResult","AbstractMessageStream$FetchResult",0.026176148787354258,0.03756881064517745,21,7,""
"org.axonframework.messaging.queryhandling.QueryBus","QueryBus",0.025292370955301964,0.044238296513004184,11,7,""
"org.axonframework.eventsourcing.eventstore.ConsistencyMarker","ConsistencyMarker",0.02486409190552392,0.0065226161250853745,24,5,""
"org.axonframework.eventsourcing.eventstore.EventStoreTransaction","EventStoreTransaction",0.024656940440463335,0.03009168320329321,9,6,""
"org.axonframework.messaging.core.SimpleEntry","SimpleEntry",0.023682534165353597,0.03035036659963568,11,5,""
"org.axonframework.messaging.queryhandling.QueryHandler","QueryHandler",0.023625787719182077,0.039491656587028176,12,5,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils",0.02319186515353357,0.004080833087358844,28,4,""
"org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain","MessageHandlerInterceptorMemberChain",0.023094486221991103,0.0812441412088822,7,10,""
"org.axonframework.messaging.eventhandling.replay.ReplayStatusChanged","ReplayStatusChanged",0.023014055952479816,0.030660346959776697,8,5,""
"org.axonframework.messaging.core.AbstractMessageStream","AbstractMessageStream",0.02284092659839293,0.04743005167824485,15,10,""
"org.axonframework.messaging.commandhandling.CommandHandlerRegistry","CommandHandlerRegistry",0.022529390620951946,0.0077110011068790086,8,3,""
"org.axonframework.messaging.core.GenericMessage","GenericMessage",0.022479849286888672,0.030424068933595456,14,9,""
"org.axonframework.messaging.core.DelayedMessageStream","DelayedMessageStream",0.021608367440608584,0.04816699232211268,9,7,""
"org.axonframework.modelling.repository.ManagedEntity","ManagedEntity",0.021471842054642,0,15,0,""
"org.axonframework.messaging.eventstreaming.Tag","Tag",0.021389685092924746,0.00733813508141276,22,3,""
"org.axonframework.common.configuration.ComponentDefinition","ComponentDefinition",0.021349581487646214,0.006169150323845303,20,7,""
"org.axonframework.common.configuration.ComponentRegistry","ComponentRegistry",0.021098115637122564,0.007594328164415455,39,12,""
"org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector","AnnotatedHandlerInspector",0.02086042975131204,0.047485935787738055,5,16,""
"org.axonframework.common.configuration.ComponentDefinition$IncompleteComponentDefinition","ComponentDefinition$IncompleteComponentDefinition",0.020807667619069173,0.0023959788971568315,18,2,""
"org.axonframework.eventsourcing.eventstore.EventStore","EventStore",0.02042602266175016,0.023072217211800587,10,4,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken","GlobalSequenceTrackingToken",0.019838290891119128,0.005529678274143679,8,2,""
"org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorHandler","ErrorHandler",0.01953000552304479,0.0004943134611196234,7,1,""
"org.axonframework.messaging.core.annotation.HandlerDefinition","HandlerDefinition",0.019195505378434664,0.018067911164005294,10,3,""
"org.axonframework.messaging.eventhandling.EventHandler","EventHandler",0.01908349784238614,0.05723589773668722,6,5,""
"org.axonframework.modelling.EntityEvolver","EntityEvolver",0.018857540021444127,0.03280507706155208,13,2,""
"org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember","WrappedMessageHandlingMember",0.018785762674524357,0.05444755022964898,9,4,""
"org.axonframework.common.annotation.AnnotationUtils","AnnotationUtils",0.018674308461933686,0.0021894762517792646,19,2,""
"org.axonframework.common.configuration.Component","Component",0.018444268127662027,0.015704954173415994,16,5,""
"org.axonframework.common.StringUtils","StringUtils",0.018442794455319076,0,12,0,""
"org.axonframework.messaging.tracing.Span","Span",0.018402030333792847,0.0031924048067812974,21,2,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.TrackerStatus","TrackerStatus",0.018072652207192005,0.007302236154211112,7,6,""
"org.axonframework.messaging.commandhandling.NoHandlerForCommandException","NoHandlerForCommandException",0.017480876096278464,0.005238204733895589,6,2,""
"org.axonframework.messaging.core.LegacyResources","LegacyResources",0.01730422939300239,0.004150030233561494,7,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage","WorkPackage",0.017281087982136508,0.08629607932812722,8,22,""
"org.axonframework.messaging.eventstreaming.StreamableEventSource","StreamableEventSource",0.016772280743412794,0.04851473285256648,7,5,""
"org.axonframework.messaging.eventhandling.DelegatingEventHandlingComponent","DelegatingEventHandlingComponent",0.015811302023361735,0.07539326789701911,5,9,""
"org.axonframework.modelling.EntityIdResolver","EntityIdResolver",0.01562562816406861,0.03884206088363025,17,3,""
"org.axonframework.eventsourcing.eventstore.Position","Position",0.015613168203830175,1.5966358697969165e-57,18,1,""
"org.axonframework.messaging.eventhandling.replay.ResetHandler","ResetHandler",0.01537125671416475,0.04656651264591896,5,5,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.MaxSegmentProvider","MaxSegmentProvider",0.015170236634052727,0,5,0,""
"org.axonframework.messaging.commandhandling.CommandHandlingComponent","CommandHandlingComponent",0.01498291109015762,0.010275190128961408,8,3,""
"org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain","DefaultMessageDispatchInterceptorChain",0.014419809035428983,0.06889698480626677,7,8,""
"org.axonframework.messaging.eventstreaming.TrackingTokenSource","TrackingTokenSource",0.01435364614014123,0.024862465883976607,6,2,""
"org.axonframework.common.configuration.ComponentDefinition$ComponentCreator","ComponentDefinition$ComponentCreator",0.014283537562963914,0.0016316058659870199,7,2,""
"org.axonframework.modelling.entity.child.EntityChildMetamodel","EntityChildMetamodel",0.014138537042569503,0.04132352738162705,11,11,""
"org.axonframework.messaging.eventhandling.EventBus","EventBus",0.013733289946622389,0.0015160300753337538,8,2,""
"org.axonframework.common.tx.TransactionalExecutor","TransactionalExecutor",0.013452200294965761,0.008568986982983529,10,3,""
"org.axonframework.messaging.commandhandling.GenericCommandResultMessage","GenericCommandResultMessage",0.013056463930923965,0.03184010225404611,4,8,""
"org.axonframework.modelling.entity.EntityMetamodelBuilder","EntityMetamodelBuilder",0.01302865401077025,0.009911606536253191,8,6,""
"org.axonframework.common.configuration.AxonConfiguration","AxonConfiguration",0.013016939459370946,0.0031435854627414315,13,1,""
"org.axonframework.eventsourcing.eventstore.TerminalEventMessage","TerminalEventMessage",0.012945134593746884,0.016042154741034143,4,3,""
"org.axonframework.modelling.EntityIdResolutionException","EntityIdResolutionException",0.012905066189516725,0,6,0,""
"org.axonframework.eventsourcing.CriteriaResolver","CriteriaResolver",0.01275784489402528,0.022481771685813747,10,2,""
"org.axonframework.eventsourcing.eventstore.EmptyAppendTransaction","EmptyAppendTransaction",0.012555429988825273,0.0022265257528561494,3,2,""
"org.axonframework.messaging.eventhandling.replay.ReplayStatusChangedHandler","ReplayStatusChangedHandler",0.012471787928023998,0.05469215963423751,4,6,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$EventFilter","WorkPackage$EventFilter",0.012464785355017188,0.03423931112365495,4,3,""
"org.axonframework.messaging.eventstreaming.EventCriterion","EventCriterion",0.012384323976186676,0.00785001061229434,8,3,""
"org.axonframework.messaging.core.annotation.ClasspathHandlerDefinition","ClasspathHandlerDefinition",0.012324510937595371,0.0007883690561681864,6,2,""
"org.axonframework.eventsourcing.eventstore.AggregateBasedConsistencyMarker","AggregateBasedConsistencyMarker",0.012073763453349234,0.005590709843298492,7,8,""
"org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorContext","ErrorContext",0.012055997066863512,0.013705021896392996,5,2,""
"org.axonframework.messaging.eventhandling.processing.ProcessorEventHandlingComponents","ProcessorEventHandlingComponents",0.011966275693840626,0.1245898951818779,3,20,""
"org.axonframework.common.configuration.Component$Identifier","Component$Identifier",0.011495064867032403,0.002996754847933682,21,2,""
"org.axonframework.messaging.queryhandling.QueryHandlerRegistry","QueryHandlerRegistry",0.011433947884545747,0.006627277362641876,4,3,""
"org.axonframework.messaging.core.unitofwork.transaction.TransactionalExecutorProvider","TransactionalExecutorProvider",0.01142460036773764,0.029869288932996837,5,3,""
"org.axonframework.messaging.eventhandling.processing.EventProcessor","EventProcessor",0.011366356693247037,0.003178510226504375,8,1,""
"org.axonframework.messaging.monitoring.configuration.MessageMonitorRegistry","MessageMonitorRegistry",0.011143666984413297,0.05772702577991617,5,11,""
"org.axonframework.messaging.core.correlation.CorrelationDataProvider","CorrelationDataProvider",0.011140269491296064,0.017502460538854413,8,1,""
"org.axonframework.messaging.core.MessageHandler","MessageHandler",0.010917991249216538,0,6,0,""
"org.axonframework.messaging.core.interception.HandlerInterceptorRegistry","HandlerInterceptorRegistry",0.010890919175925695,0.057716525279722805,4,10,""
"org.axonframework.modelling.entity.PolymorphicEntityMetamodelBuilder","PolymorphicEntityMetamodelBuilder",0.010858520661719209,0.010445800350508107,4,7,""
"org.axonframework.messaging.eventhandling.replay.ReplayStatus","ReplayStatus",0.01059995751480969,0,5,0,""
"org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember","CommandHandlingMember",0.010385579641602208,0.011089009017451105,3,2,""
"org.axonframework.test.fixture.RecordingEventSink","RecordingEventSink",0.010384522555505633,0.05156009406529327,5,5,""
"org.axonframework.eventsourcing.eventstore.AggregateSequenceNumberPosition","AggregateSequenceNumberPosition",0.010247938087695403,0.009147417957199235,4,2,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$BatchProcessor","WorkPackage$BatchProcessor",0.010157068597775591,0.06248216377113682,3,5,""
"org.axonframework.eventsourcing.eventstore.AggregateBasedConsistencyMarker$AggregateSequencer","AggregateBasedConsistencyMarker$AggregateSequencer",0.010147131714038585,0.000495041908874433,5,1,""
