"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","stronglyConnectedComponentId","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","communityFastRpHdbscanLabel","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_Summary.cypher"
"org.axonframework.modelling.PropertyBasedEntityIdResolver","PropertyBasedEntityIdResolver",0,"873,16,16",0,"873,56,25,12",,0,0,0,6,3,-1,1,8,""
"org.axonframework.modelling.annotation.InjectEntityParameterResolver","InjectEntityParameterResolver",1,"34,717,929",0,"34,56,25,12",,1,0,1,7,49,-1,1,8,""
"org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolverDefinition","AnnotationBasedEntityIdResolverDefinition",1,"34,717,929",0,"34,56,25,12",,2,0,1,5,71,107,0,5,""
"org.axonframework.modelling.annotation.InjectEntityParameterResolverFactoryConfigurationEnhancer","InjectEntityParameterResolverFactoryConfigurationEnhancer",1,"4,717,929",0,"49,56,25,12",,3,0,2,4,96,-1,0,4,""
"org.axonframework.modelling.annotation.InjectEntityParameterResolverFactory","InjectEntityParameterResolverFactory",1,"4,717,929",0,"49,56,25,12",,4,0,2,6,95,-1,1,9,""
"org.axonframework.modelling.LoadedEntityNotOfExpectedTypeException","LoadedEntityNotOfExpectedTypeException",2,"77,72,904",1,"15,162,3,8",,5,0,3,1,93,7,1,0,""
"org.axonframework.modelling.HierarchicalStateManager","HierarchicalStateManager",2,"13,72,904",1,"13,162,3,8",,6,0,4,5,70,-1,1,5,""
"org.axonframework.modelling.RepositoryAlreadyRegisteredException","RepositoryAlreadyRegisteredException",2,"77,72,904",1,"15,162,3,8",,7,0,3,2,83,69,1,1,""
"org.axonframework.modelling.ConcurrencyException","ConcurrencyException",3,"748,821,821",2,"748,18,24,21",,8,0,5,2,38,17,1,1,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityIdResolverDefinition","AnnotatedEntityIdResolverDefinition",1,"34,717,929",0,"932,56,25,12",,9,0,1,6,39,151,1,7,""
"org.axonframework.modelling.entity.annotation.ListEntityChildModelDefinition","ListEntityChildModelDefinition",0,"22,16,16",0,"22,244,25,12",,10,0,6,8,75,70,0,11,""
"org.axonframework.modelling.entity.annotation.RoutingKeyEventTargetMatcherDefinition","RoutingKeyEventTargetMatcherDefinition",0,"21,16,16",0,"28,56,25,12",,11,0,6,5,16,-1,1,7,""
"org.axonframework.modelling.EntityEvolver","EntityEvolver",0,"54,16,16",0,"54,56,25,12",,12,0,1,9,80,143,13,2,""
"org.axonframework.modelling.StateManager","StateManager",2,"13,72,904",1,"13,162,3,8",,13,0,4,7,0,82,7,6,""
"org.axonframework.modelling.repository.ManagedEntity","ManagedEntity",4,"72,175,175",3,"14,59,3,8",,14,0,7,7,57,160,15,0,""
"org.axonframework.modelling.repository.Repository","Repository",2,"77,72,904",1,"15,162,3,8",,15,0,3,7,85,-1,11,4,""
"org.axonframework.modelling.entity.EntityMetamodel","EntityMetamodel",0,"16,16,16",0,"33,56,25,12",,16,0,1,10,99,-1,25,13,""
"org.axonframework.modelling.entity.EntityMetamodelBuilder","EntityMetamodelBuilder",0,"16,16,16",0,"44,56,25,12",,16,0,1,9,33,160,8,6,""
"org.axonframework.modelling.entity.EntityCommandHandler","EntityCommandHandler",0,"54,16,16",0,"54,56,25,12",,17,0,1,9,26,157,5,5,""
"org.axonframework.modelling.entity.child.EntityChildMetamodel","EntityChildMetamodel",0,"54,16,16",0,"54,56,25,12",,16,0,1,9,45,-1,11,11,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityIdResolver","AnnotatedEntityIdResolver",1,"34,717,929",0,"34,56,25,12",,18,0,1,8,62,101,1,10,""
"org.axonframework.modelling.entity.annotation.AbstractEntityChildModelDefinition","AbstractEntityChildModelDefinition",0,"21,16,16",0,"28,56,25,12",,19,0,6,8,5,129,2,13,""
"org.axonframework.modelling.entity.child.ListEntityChildMetamodel$Builder","ListEntityChildMetamodel$Builder",0,"22,16,16",0,"22,244,25,12",,16,0,6,8,16,-1,3,6,""
"org.axonframework.modelling.entity.child.AbstractEntityChildMetamodel$Builder","AbstractEntityChildMetamodel$Builder",0,"16,16,16",0,"56,244,25,12",,16,0,6,8,30,53,5,4,""
"org.axonframework.modelling.entity.child.EventTargetMatcher","EventTargetMatcher",0,"16,16,16",0,"56,244,25,12",,20,0,6,8,49,125,12,2,""
"org.axonframework.modelling.entity.child.CommandTargetResolver","CommandTargetResolver",0,"16,16,16",0,"56,244,25,12",,21,0,6,8,35,156,12,3,""
"org.axonframework.modelling.entity.child.ListEntityChildMetamodel","ListEntityChildMetamodel",0,"22,16,16",0,"22,244,25,12",,16,0,6,8,81,69,3,6,""
"org.axonframework.modelling.entity.child.ChildEntityFieldDefinition","ChildEntityFieldDefinition",0,"64,16,16",0,"22,244,25,12",,22,0,6,6,4,53,9,3,""
"org.axonframework.modelling.entity.annotation.EventTargetMatcherDefinition","EventTargetMatcherDefinition",0,"21,16,16",0,"28,56,25,12",,11,0,6,5,45,149,3,2,""
"org.axonframework.modelling.entity.annotation.RoutingKeyUtils","RoutingKeyUtils",0,"21,16,16",0,"28,56,25,12",,11,0,6,5,99,-1,2,3,""
"org.axonframework.modelling.entity.annotation.CommandTargetResolverDefinition","CommandTargetResolverDefinition",0,"21,16,16",0,"28,56,25,12",,11,0,6,5,81,115,3,2,""
"org.axonframework.modelling.entity.annotation.RoutingKeyCommandTargetResolverDefinition","RoutingKeyCommandTargetResolverDefinition",0,"21,16,16",0,"28,56,25,12",,11,0,6,5,10,82,1,7,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityModelRoutingKeyMatcher","AnnotatedEntityModelRoutingKeyMatcher",0,"873,16,16",0,"873,56,25,12",,11,0,0,5,83,82,2,8,""
"org.axonframework.modelling.entity.PolymorphicEntityMetamodel","PolymorphicEntityMetamodel",0,"16,16,16",0,"33,56,25,12",,16,0,1,10,12,135,3,18,""
"org.axonframework.modelling.EntityIdResolver","EntityIdResolver",1,"34,717,929",0,"34,56,25,12",,23,0,1,7,11,85,17,3,""
"org.axonframework.modelling.EntityEvolvingComponent","EntityEvolvingComponent",0,"54,16,16",0,"54,56,25,12",,24,0,1,4,23,-1,2,2,""
"org.axonframework.modelling.entity.PolymorphicEntityMetamodelBuilder","PolymorphicEntityMetamodelBuilder",0,"16,16,16",0,"44,56,25,12",,16,0,1,9,36,160,4,7,""
"org.axonframework.modelling.EntityIdResolutionException","EntityIdResolutionException",1,"34,717,929",0,"34,56,25,12",,25,0,1,6,61,139,6,0,""
"org.axonframework.modelling.annotation.TargetEntityIdMemberMismatchException","TargetEntityIdMemberMismatchException",0,"873,16,16",0,"873,56,25,12",,26,0,0,1,26,-1,1,0,""
"org.axonframework.modelling.StateEvolvingException","StateEvolvingException",5,"191,319,319",4,"191,61,19,2",,27,0,8,1,22,-1,1,0,""
"org.axonframework.modelling.MissingRepositoryException","MissingRepositoryException",2,"77,72,904",1,"15,162,3,8",,28,0,3,2,56,82,2,0,""
"org.axonframework.modelling.SimpleEntityEvolvingComponent","SimpleEntityEvolvingComponent",0,"54,16,16",0,"54,56,25,12",,29,0,1,7,94,125,0,8,""
"org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolver","AnnotationBasedEntityIdResolver",1,"34,717,929",0,"34,56,25,12",,30,0,1,6,4,-1,3,6,""
"org.axonframework.modelling.annotation.AnnotationBasedEntityEvolvingComponent","AnnotationBasedEntityEvolvingComponent",5,"191,319,319",4,"191,61,19,2",,31,0,8,10,52,-1,1,17,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel","AnnotatedEntityMetamodel",0,"16,16,16",0,"44,56,25,12",,11,0,1,10,61,145,13,32,""
"org.axonframework.modelling.PayloadBasedEntityEvolver","PayloadBasedEntityEvolver",6,"172,182,182",5,"123,0,23,1",,32,0,9,3,21,95,0,3,""
"org.axonframework.modelling.entity.EntityCommandHandlingComponent","EntityCommandHandlingComponent",0,"16,16,16",0,"33,56,25,12",,33,0,1,10,27,145,2,19,""
"org.axonframework.modelling.entity.annotation.RoutingKeyEventTargetMatcher","RoutingKeyEventTargetMatcher",0,"873,16,16",0,"873,56,25,12",,11,0,0,5,90,-1,1,5,""
"org.axonframework.modelling.annotation.TargetEntityId","TargetEntityId",1,"34,717,929",0,"34,56,25,12",,34,0,1,1,25,152,1,0,""
"org.axonframework.modelling.annotation.InjectEntity","InjectEntity",1,"4,717,929",0,"49,56,25,12",,35,0,2,3,79,-1,1,2,""
"org.axonframework.modelling.entity.annotation.EntityMember","EntityMember",0,"21,16,16",0,"28,56,25,12",,11,0,6,5,24,-1,3,4,""
"org.axonframework.modelling.annotation.EntityIdResolverDefinition","EntityIdResolverDefinition",1,"1115,717,929",6,"932,50,2,10",,36,0,10,5,64,-1,4,3,""
"org.axonframework.modelling.entity.annotation.EntityChildModelDefinition","EntityChildModelDefinition",0,"16,16,16",0,"44,56,25,12",,11,0,1,4,12,-1,2,2,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodelFactory","AnnotatedEntityMetamodelFactory",0,"21,16,16",0,"28,56,25,12",,11,0,6,4,70,115,2,2,""
"org.axonframework.modelling.entity.ConcreteEntityMetamodel","ConcreteEntityMetamodel",0,"54,16,16",0,"54,56,25,12",,16,0,1,10,20,146,3,23,""
"org.axonframework.modelling.entity.annotation.RoutingKeyCommandTargetResolver","RoutingKeyCommandTargetResolver",0,"873,16,16",0,"873,56,25,12",,11,0,6,5,68,29,1,6,""
