"firstCommunityId","communityId","intermediateCommunityIds","memberCount","memberNames","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_1d_Stream_Intermediate_Mutated.cypher"
626,626,"626,626,626",88,"org.axonframework.eventsourcing.eventstore.SnapshotEventMessage,org.axonframework.extension.tracing.opentelemetry.MetadataContextGetter,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpan,org.axonframework.extension.tracing.opentelemetry.MetadataContextSetter,org.axonframework.common.ObjectUtils,org.axonframework.test.matchers.PayloadsMatcher,org.axonframework.conversion.DelegatingGeneralConverter,org.axonframework.conversion.Converter,org.axonframework.conversion.CachingSupplier,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor$1,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor,org.axonframework.extension.metrics.micrometer.TagsUtil,io.axoniq.framework.axonserver.connector.shared.MetadataConverter,io.axoniq.framework.axonserver.connector.shared.MetadataConverter$1,io.axoniq.framework.axonserver.connector.util.ProcessingInstructionUtils,io.axoniq.framework.axonserver.connector.command.CommandConverter,io.axoniq.framework.axonserver.connector.query.QueryConverter,org.axonframework.messaging.commandhandling.CommandResultMessage,org.axonframework.messaging.core.Message,org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.messaging.core.GenericResultMessage,org.axonframework.messaging.core.MessageType,org.axonframework.messaging.core.GenericMessage,org.axonframework.messaging.core.ResultMessage,org.axonframework.messaging.core.MessageDecorator,org.axonframework.messaging.core.Metadata,org.axonframework.messaging.commandhandling.gateway.FutureCommandResult,org.axonframework.messaging.commandhandling.gateway.DefaultCommandGateway,org.axonframework.messaging.commandhandling.GenericCommandResultMessage,org.axonframework.messaging.commandhandling.GenericCommandMessage,org.axonframework.messaging.commandhandling.gateway.CommandResult,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult,org.axonframework.messaging.core.annotation.MessageHandler,org.axonframework.messaging.core.conversion.DelegatingMessageConverter,org.axonframework.messaging.eventhandling.replay.ResetContext,org.axonframework.messaging.eventhandling.replay.ReplayStatusChanged,org.axonframework.messaging.eventhandling.replay.GenericResetContext,org.axonframework.messaging.eventhandling.replay.GenericReplayStatusChanged,org.axonframework.messaging.eventhandling.gateway.EventPublishingUtils,org.axonframework.messaging.eventhandling.GenericEventMessage,org.axonframework.messaging.eventhandling.replay.annotation.ResetHandler,org.axonframework.messaging.eventhandling.replay.annotation.ReplayStatusChangedHandler,org.axonframework.messaging.core.sequencing.SequentialPolicy,org.axonframework.messaging.core.NamespaceMessageTypeResolver$Builder,org.axonframework.messaging.core.ClassBasedMessageTypeResolver,org.axonframework.messaging.core.NamespaceMessageTypeResolver,org.axonframework.messaging.core.HierarchicalMessageTypeResolver,org.axonframework.messaging.core.AbstractMessage,org.axonframework.messaging.core.ConversionCache,org.axonframework.messaging.core.sequencing.NoOpSequencingPolicy,org.axonframework.messaging.core.sequencing.MetadataSequencingPolicy,org.axonframework.messaging.core.correlation.SimpleCorrelationDataProvider,org.axonframework.messaging.core.correlation.MessageOriginProvider,org.axonframework.messaging.core.sequencing.FullConcurrencyPolicy,org.axonframework.messaging.core.interception.LoggingInterceptor,org.axonframework.messaging.core.sequencing.ExtractionSequencingPolicy,org.axonframework.messaging.queryhandling.SubscriptionQueryUpdateMessage,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptor,org.axonframework.messaging.core.interception.annotation.ExceptionHandler,org.axonframework.messaging.core.Metadata$MetadataCollector,org.axonframework.messaging.core.ConversionCache$Target,org.axonframework.messaging.core.MessageTypeNotResolvedException,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory$AnnotatedMetadataParameterResolver,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory,org.axonframework.messaging.core.annotation.AnnotatedMessageHandlingMemberDefinition,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory$MessageParameterResolver,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory$MetadataParameterResolver,org.axonframework.messaging.core.annotation.MethodInvokingMessageHandlingMember,org.axonframework.messaging.core.annotation.MetadataValue,org.axonframework.messaging.core.annotation.MessageStreamResolverUtils,org.axonframework.messaging.tracing.NoOpSpanFactory,org.axonframework.messaging.tracing.attributes.MessageTypeSpanAttributesProvider,org.axonframework.messaging.tracing.attributes.MessageNameSpanAttributesProvider,org.axonframework.messaging.tracing.attributes.AggregateIdentifierSpanAttributesProvider,org.axonframework.messaging.tracing.attributes.MessageIdSpanAttributesProvider,org.axonframework.messaging.tracing.attributes.MetadataSpanAttributesProvider,org.axonframework.messaging.tracing.attributes.PayloadTypeSpanAttributesProvider,org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway,org.axonframework.messaging.tracing.SpanAttributesProvider,org.axonframework.messaging.tracing.SpanUtils,org.axonframework.messaging.queryhandling.QueryResponseMessage,org.axonframework.messaging.queryhandling.tracing.QueryUpdateEmitterSpanFactory,org.axonframework.messaging.queryhandling.GenericSubscriptionQueryUpdateMessage,org.axonframework.messaging.queryhandling.GenericQueryResponseMessage,org.axonframework.messaging.queryhandling.SimpleQueryUpdateEmitter,org.axonframework.messaging.queryhandling.GenericQueryMessage",""
621,913,"621,621,913",52,"org.axonframework.eventsourcing.eventstore.InterceptingEventStore,org.axonframework.eventsourcing.eventstore.InterceptingEventStore$InterceptingAppender,org.axonframework.eventsourcing.CriteriaResolver,org.axonframework.eventsourcing.eventstore.SourcingStrategy$Snapshot,org.axonframework.eventsourcing.EventSourcedEntityFactory,org.axonframework.eventsourcing.eventstore.InterceptingEventStore$InterceptingEventStoreTransaction,org.axonframework.eventsourcing.snapshot.store.SnapshotStore,org.axonframework.eventsourcing.eventstore.EventStore,org.axonframework.eventsourcing.eventstore.EventStoreTransaction,org.axonframework.eventsourcing.eventstore.EventStorageEngine,org.axonframework.eventsourcing.EntityMissingAfterLoadOrCreateException,org.axonframework.eventsourcing.EntityMissingAfterFirstEventException,org.axonframework.eventsourcing.handler.SnapshottingEntityLifecycleHandler$SnapshotIncompatibleException,org.axonframework.eventsourcing.handler.SimpleEntityLifecycleHandler,org.axonframework.eventsourcing.handler.InitializingEntityEvolver,org.axonframework.eventsourcing.handler.SnapshottingEntityLifecycleHandler,org.axonframework.eventsourcing.handler.EntityLifecycleHandler,org.axonframework.eventsourcing.handler.SourcingHandler,org.axonframework.eventsourcing.eventstore.SnapshotCapableEventStorageEngine,org.axonframework.eventsourcing.eventstore.StorageEngineBackedEventStore,org.axonframework.eventsourcing.EventSourcingRepository$EventSourcedEntity,org.axonframework.eventsourcing.EventSourcingRepository,org.axonframework.eventsourcing.configuration.EventSourcingConfigurationDefaults,org.axonframework.common.Priority,org.axonframework.test.fixture.RecordingEventStore,org.axonframework.messaging.core.unitofwork.ProcessingContext,org.axonframework.messaging.eventhandling.EventSubscribers,org.axonframework.messaging.monitoring.MessageMonitor$MonitorCallback,org.axonframework.messaging.core.unitofwork.ProcessingLifecycle,org.axonframework.messaging.eventhandling.SimpleEventBus,org.axonframework.messaging.core.annotation.AbstractAnnotatedParameterResolverFactory,org.axonframework.messaging.eventhandling.annotation.SequenceNumber,org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory,org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver,org.axonframework.messaging.core.unitofwork.ProcessingLifecycle$DefaultPhases,org.axonframework.messaging.core.unitofwork.ResourceOverridingProcessingContext,org.axonframework.messaging.core.interception.annotation.ResultParameterResolverFactory,org.axonframework.messaging.core.interception.annotation.ResultParameterResolverFactory$ExceptionResultParameterResolver,org.axonframework.messaging.core.annotation.AggregateType,org.axonframework.messaging.core.annotation.SourceId,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory$SourceIdParameterResolver,org.axonframework.messaging.core.annotation.AggregateTypeParameterResolverFactory,org.axonframework.messaging.core.annotation.AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver,org.axonframework.messaging.queryhandling.gateway.QueryGateway,org.axonframework.messaging.monitoring.interception.MonitoringQueryHandlerInterceptor,org.axonframework.messaging.monitoring.interception.MonitoringEventHandlerInterceptor,org.axonframework.messaging.monitoring.interception.MonitoringCommandHandlerInterceptor,org.axonframework.messaging.monitoring.interception.MonitoringSubscriptionQueryUpdateDispatchInterceptor,org.axonframework.messaging.monitoring.interception.MonitoringEventDispatchInterceptor,org.axonframework.messaging.monitoring.MultiMessageMonitor$1,org.axonframework.messaging.monitoring.NoOpMessageMonitorCallback",""
622,707,"622,707,707",50,"org.axonframework.eventsourcing.eventstore.TerminalEventMessage,org.axonframework.eventsourcing.eventstore.ContinuousMessageStream,io.axoniq.framework.axonserver.connector.event.AxonServerMessageStream,io.axoniq.framework.axonserver.connector.event.SourcingEventMessageStream,io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine,io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$AggregateSource,io.axoniq.framework.axonserver.connector.query.FlowControlledResponseSender,io.axoniq.framework.axonserver.connector.query.AbstractQueryResponseMessageStream,org.axonframework.messaging.core.MessageStream$Single,org.axonframework.messaging.core.MessageStream$Entry,org.axonframework.messaging.core.MessageStream,org.axonframework.messaging.core.DelayedMessageStream,org.axonframework.messaging.core.retry.RetryScheduler$Dispatcher,org.axonframework.messaging.core.SimpleEntry,org.axonframework.messaging.core.Context,org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain$InterceptingDispatcher,org.axonframework.messaging.core.FluxUtils,org.axonframework.messaging.core.AbstractMessageStream,org.axonframework.messaging.core.AbstractMessageStream$FetchResult,org.axonframework.messaging.core.FilteringMessageStream$Single,org.axonframework.messaging.core.FluxUtils$FluxStreamAdapter,org.axonframework.messaging.core.DelayedMessageStream$Single,org.axonframework.messaging.core.MappedMessageStream,org.axonframework.messaging.core.FilteringMessageStream,org.axonframework.messaging.core.MappedMessageStream$Single,org.axonframework.messaging.core.MessageStreamUtils,org.axonframework.messaging.core.TruncateFirstMessageStream,org.axonframework.messaging.core.AbstractMessageStream$FetchResult$Value,org.axonframework.messaging.core.MessageStreamUtils$Reducer,org.axonframework.messaging.core.interception.BeanValidationInterceptor,org.axonframework.messaging.core.CompletionCallbackMessageStream$Single,org.axonframework.messaging.core.CompletionCallbackMessageStream,org.axonframework.messaging.core.retry.AsyncRetryScheduler$RetryTask,org.axonframework.messaging.core.retry.AsyncRetryScheduler,org.axonframework.messaging.core.AbstractMessageStream$FetchResult$Error,org.axonframework.messaging.core.AbstractMessageStream$FetchResult$NotReady,org.axonframework.messaging.core.FailedMessageStream,org.axonframework.messaging.core.EmptyMessageStream,org.axonframework.messaging.core.IgnoredEntriesMessageStream,org.axonframework.messaging.core.CloseCallbackMessageStream,org.axonframework.messaging.core.DelegatingMessageStream,org.axonframework.messaging.core.AbstractMessageStream$FetchResult$Completed,org.axonframework.messaging.core.OnErrorContinueMessageStream,org.axonframework.messaging.core.IteratorMessageStream,org.axonframework.messaging.core.SingleValueMessageStream,org.axonframework.messaging.core.OnNextMessageStream,org.axonframework.messaging.core.ConcatenatingMessageStream,org.axonframework.messaging.core.OnNextMessageStream$Single,org.axonframework.messaging.core.MergedMessageStream,org.axonframework.messaging.core.MonoUtils",""
684,684,"684,684,684",30,"org.axonframework.common.util.ClasspathResolver,org.axonframework.modelling.annotation.AnnotationBasedEntityEvolvingComponent,org.axonframework.modelling.StateEvolvingException,org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain,org.axonframework.messaging.core.annotation.MessageHandlingMember,org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember,org.axonframework.messaging.eventhandling.conversion.EventConverter,org.axonframework.messaging.commandhandling.annotation.MethodCommandHandlerDefinition,org.axonframework.messaging.commandhandling.annotation.MethodCommandHandlerDefinition$MethodCommandHandlingMember,org.axonframework.messaging.eventhandling.replay.annotation.ReplayAwareMessageHandlerWrapper,org.axonframework.messaging.eventhandling.replay.annotation.ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember,org.axonframework.messaging.core.annotation.SequencingPolicy,org.axonframework.messaging.eventhandling.annotation.EventHandlingMember,org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition,org.axonframework.messaging.eventhandling.annotation.MethodEventHandlerDefinition,org.axonframework.messaging.eventhandling.annotation.MethodEventHandlerDefinition$MethodEventMessageHandlingMember,org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember,org.axonframework.messaging.eventhandling.annotation.AnnotatedEventHandlingComponent,org.axonframework.messaging.core.annotation.UnsupportedHandlerException,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorDefinition,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorDefinition$ResultHandlingInterceptorMember,org.axonframework.messaging.core.interception.annotation.NoMoreInterceptors,org.axonframework.messaging.core.interception.annotation.MessageInterceptingMember,org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector$ExecutableSignature,org.axonframework.messaging.core.annotation.ChainedMessageHandlerInterceptorMember,org.axonframework.messaging.core.annotation.HandlerComparator,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition$MethodQueryHandlingMember",""
619,525,"619,525,525",24,"org.axonframework.test.util.RecordingCommandBus,org.axonframework.test.fixture.RecordingCommandBus,org.axonframework.test.util.DefaultCallbackBehavior,org.axonframework.test.util.CallbackBehavior,org.axonframework.modelling.entity.WrongPolymorphicEntityTypeException,org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus$InterceptingDispatcher,org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus$InterceptingHandler,org.axonframework.messaging.commandhandling.interception.CommandMessageHandlerInterceptorChain,org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus,org.axonframework.messaging.commandhandling.CommandHandler,org.axonframework.messaging.commandhandling.CommandMessage,org.axonframework.messaging.commandhandling.CommandBus,org.axonframework.messaging.commandhandling.CommandHandlerRegistry,org.axonframework.messaging.commandhandling.interception.CommandMessageHandlerInterceptorChain$InterceptingHandler,org.axonframework.messaging.core.retry.RetryScheduler,org.axonframework.messaging.commandhandling.SimpleCommandBus,org.axonframework.messaging.commandhandling.NoHandlerForCommandException,org.axonframework.messaging.commandhandling.retry.RetryingCommandBus,org.axonframework.messaging.commandhandling.tracing.TracingCommandBus$TracingHandler,org.axonframework.messaging.commandhandling.tracing.TracingCommandBus,org.axonframework.messaging.commandhandling.tracing.CommandBusSpanFactory,org.axonframework.messaging.commandhandling.UnresolvedRoutingKeyPolicy,org.axonframework.messaging.commandhandling.MetadataRoutingStrategy,org.axonframework.messaging.core.sequencing.RoutingKeySequencingPolicy",""
692,692,"692,692,692",22,"org.axonframework.test.fixture.AxonTestPhase$Given,org.axonframework.test.fixture.AxonTestPhase$Then$Nothing,org.axonframework.test.fixture.AxonTestGiven,org.axonframework.test.fixture.AxonTestPhase$When$Nothing,org.axonframework.test.fixture.AxonTestWhen,org.axonframework.test.fixture.AxonTestThenNothing,org.axonframework.test.fixture.AxonTestWhen$Command,org.axonframework.test.fixture.AxonTestWhen$Event,org.axonframework.test.fixture.AxonTestWhen$Nothing,io.axoniq.framework.axonserver.connector.event.TaggedEventConverter,io.axoniq.framework.axonserver.connector.event.StreamingEventMessageStream,org.axonframework.modelling.PayloadBasedEntityEvolver,org.axonframework.messaging.eventhandling.EventMessage,org.axonframework.messaging.eventhandling.tracing.EventBusSpanFactory,org.axonframework.messaging.eventhandling.interception.EventMessageHandlerInterceptorChain$InterceptingHandler,org.axonframework.messaging.eventhandling.interception.EventMessageHandlerInterceptorChain,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SegmentMatcher,org.axonframework.messaging.eventhandling.processing.streaming.pooled.DefaultWorkPackageEventFilter,org.axonframework.messaging.core.sequencing.SequentialPerAggregatePolicy,org.axonframework.messaging.eventhandling.annotation.Timestamp,org.axonframework.messaging.eventhandling.annotation.TimestampParameterResolverFactory$TimestampParameterResolver,org.axonframework.messaging.eventhandling.annotation.TimestampParameterResolverFactory",""
740,740,"740,740,740",21,"org.axonframework.messaging.core.SubscribableEventSource,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorModule,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorConfiguration,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessor,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorsConfigurer,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorModule$Customization,org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorHandler,org.axonframework.messaging.eventhandling.configuration.EventProcessorModule,org.axonframework.messaging.eventhandling.configuration.EventProcessorModule$EventHandlingPhase,org.axonframework.messaging.eventhandling.configuration.EventProcessorModule$CustomizationPhase,org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$CompletePhase,org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$RequiredComponentPhase,org.axonframework.messaging.eventhandling.configuration.EventProcessorConfiguration,org.axonframework.messaging.eventhandling.configuration.EventProcessorCustomization,org.axonframework.messaging.eventhandling.configuration.EventProcessingConfigurer,org.axonframework.messaging.eventhandling.processing.EventProcessingException,org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorContext,org.axonframework.messaging.eventhandling.processing.errorhandling.PropagatingErrorHandler,org.axonframework.messaging.core.EmptyApplicationContext,org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer,org.axonframework.messaging.eventhandling.configuration.SubscribableEventSourceDefinition",""
853,818,"853,818,818",21,"org.axonframework.common.AxonTransientException,org.axonframework.common.jdbc.JdbcException,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.Segment,org.axonframework.messaging.eventhandling.processing.streaming.token.store.TokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.UnableToClaimTokenException,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SimpleSegmentChangeListener,org.axonframework.messaging.eventhandling.processing.streaming.pooled.SplitTask,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SegmentChangeListener,org.axonframework.messaging.eventhandling.processing.streaming.pooled.MergeTask,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.TokenSchema,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStoreConfiguration,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.PostgresTokenTableFactory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.GenericTokenTableFactory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.Oracle11TokenTableFactory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.TokenTableFactory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.UnableToInitializeTokenException,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.TokenSchema$Builder,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenEntry,org.axonframework.messaging.eventhandling.processing.streaming.token.store.UnableToRetrieveIdentifierException,org.axonframework.messaging.core.ExecutionException",""
539,525,"539,525,525",20,"org.axonframework.modelling.entity.annotation.EntityChildModelDefinition,org.axonframework.modelling.EntityIdResolver,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel,org.axonframework.modelling.entity.EntityCommandHandlingComponent,org.axonframework.modelling.entity.PolymorphicEntityMetamodel,org.axonframework.modelling.entity.PolymorphicEntityMetamodel$Builder,org.axonframework.modelling.EntityIdResolutionException,org.axonframework.modelling.entity.EntityMetamodel,org.axonframework.modelling.entity.PolymorphicEntityMetamodelBuilder,org.axonframework.modelling.entity.EntityMetamodelBuilder,org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolver,org.axonframework.modelling.entity.annotation.AnnotatedEntityIdResolverDefinition,org.axonframework.modelling.entity.annotation.AnnotatedEntityIdResolver,org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.annotation.InjectEntityParameterResolver,org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolverDefinition,org.axonframework.messaging.core.QualifiedName,org.axonframework.messaging.core.conversion.MessageConverter,org.axonframework.messaging.eventhandling.conversion.DelegatingEventConverter,org.axonframework.messaging.queryhandling.QueryUpdateEmitter",""
406,426,"406,426,426",18,"org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter,org.axonframework.conversion.jackson.JacksonConverter,org.axonframework.conversion.ChainingContentTypeConverter,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter,org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.ChainedConverter$Route,org.axonframework.conversion.ChainedConverter,org.axonframework.conversion.ContentTypeConverter,org.axonframework.conversion.converter.ByteArrayToStringConverter,org.axonframework.conversion.converter.ByteArrayToInputStreamConverter,org.axonframework.conversion.converter.StringToByteArrayConverter,org.axonframework.conversion.jackson2.ByteArrayToJsonNodeConverter,org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.jackson2.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson2.JsonNodeToByteArrayConverter,org.axonframework.conversion.jackson2.Jackson2Converter,org.axonframework.conversion.ChainedConverter$RouteCalculator",""
