"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling",6,22,157,1,""
"axon-conversion-5.1.2","org.axonframework.conversion",6,11,157,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation",6,10,157,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot",6,6,157,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection",6,6,157,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway",6,5,157,1,""
"axon-common-5.1.2","org.axonframework.common.lifecycle",6,4,157,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore",9,51,149,1,""
"axon-test-5.1.2","org.axonframework.test.matchers",9,23,149,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception",9,21,149,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling",9,17,149,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation",9,11,149,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util",9,10,149,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway",9,5,149,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command",9,3,149,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion",9,2,149,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway",9,2,149,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled",3,25,138,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration",3,14,138,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration",3,14,138,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa",3,13,138,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.sequencing",3,11,138,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig",3,8,138,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception",3,6,138,1,""
