"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_9_Community_Metrics.cypher"
0,0.34204024002823863,0.04181545444562797,91,"DuplicateCommandHandlerSubscriptionException,QualifiedName,CommandHandler,CommandMessage,CommandBus,CommandHandlerRegistry,RetryScheduler,NoHandlerForCommandException,CommandBusSpanFactory","org.axonframework.messaging.commandhandling.DuplicateCommandHandlerSubscriptionException,org.axonframework.messaging.core.QualifiedName,org.axonframework.messaging.commandhandling.CommandHandler,org.axonframework.messaging.commandhandling.CommandMessage,org.axonframework.messaging.commandhandling.CommandBus,org.axonframework.messaging.commandhandling.CommandHandlerRegistry,org.axonframework.messaging.core.retry.RetryScheduler,org.axonframework.messaging.commandhandling.NoHandlerForCommandException,org.axonframework.messaging.commandhandling.tracing.CommandBusSpanFactory",""
1,0.20923913043478262,0.014299379641099902,46,"CommandExecutionException,CommandDispatchException,HandlerExecutionException,TransactionMethodExecutionException,ResetNotSupportedException,RemoteExceptionDescription,JSR303ViolationException,NonTransientExceptionClassesPredicate,AxonNonTransientExceptionClassesPredicate","org.axonframework.messaging.commandhandling.CommandExecutionException,org.axonframework.messaging.commandhandling.CommandDispatchException,org.axonframework.messaging.core.HandlerExecutionException,org.axonframework.messaging.eventhandling.TransactionMethodExecutionException,org.axonframework.messaging.eventhandling.replay.ResetNotSupportedException,org.axonframework.messaging.core.RemoteExceptionDescription,org.axonframework.messaging.core.interception.JSR303ViolationException,org.axonframework.messaging.core.retry.NonTransientExceptionClassesPredicate,org.axonframework.messaging.core.retry.AxonNonTransientExceptionClassesPredicate",""
2,0.35528942115768464,0.04303781074467444,66,"MessageStream$Single,MessageStream$Entry,DefaultMessageDispatchInterceptorChain,MessageStream,MessageStream$Empty,DelayedMessageStream,RetryScheduler$Dispatcher,InterceptingCommandBus$InterceptingDispatcher,SequencingEventHandlingComponent","org.axonframework.messaging.core.MessageStream$Single,org.axonframework.messaging.core.MessageStream$Entry,org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain,org.axonframework.messaging.core.MessageStream,org.axonframework.messaging.core.MessageStream$Empty,org.axonframework.messaging.core.DelayedMessageStream,org.axonframework.messaging.core.retry.RetryScheduler$Dispatcher,org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus$InterceptingDispatcher,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SequencingEventHandlingComponent",""
3,0.2090810222947254,0.11212275151710784,184,"MessageDispatchInterceptor,MessageHandlerInterceptor,RoutingStrategy,MessageConverter,CommandPriorityCalculator,CommandHandlingModule$CommandHandlerPhase,CommandHandlingModule,CommandHandlingModule$SetupPhase,SimpleCommandHandlingModule","org.axonframework.messaging.core.MessageDispatchInterceptor,org.axonframework.messaging.core.MessageHandlerInterceptor,org.axonframework.messaging.commandhandling.RoutingStrategy,org.axonframework.messaging.core.conversion.MessageConverter,org.axonframework.messaging.commandhandling.CommandPriorityCalculator,org.axonframework.messaging.commandhandling.configuration.CommandHandlingModule$CommandHandlerPhase,org.axonframework.messaging.commandhandling.configuration.CommandHandlingModule,org.axonframework.messaging.commandhandling.configuration.CommandHandlingModule$SetupPhase,org.axonframework.messaging.commandhandling.configuration.SimpleCommandHandlingModule",""
4,0.35144395496818404,0.05610266941973945,124,"ProcessingContext,MessageHandlerInterceptorChain,UnitOfWork,Context$ResourceKey,CommandSequencingInterceptor,EventSink,EventBus,DelegatingEventBus,InterceptingEventBus","org.axonframework.messaging.core.unitofwork.ProcessingContext,org.axonframework.messaging.core.MessageHandlerInterceptorChain,org.axonframework.messaging.core.unitofwork.UnitOfWork,org.axonframework.messaging.core.Context$ResourceKey,org.axonframework.messaging.commandhandling.interception.CommandSequencingInterceptor,org.axonframework.messaging.eventhandling.EventSink,org.axonframework.messaging.eventhandling.EventBus,org.axonframework.messaging.eventhandling.DelegatingEventBus,org.axonframework.messaging.eventhandling.InterceptingEventBus",""
5,0.3029579276134485,0.07669940771268775,162,"Message,GenericResultMessage,MessageType,GenericMessage,ResultMessage,SpanFactory,Span,MessageDecorator,Metadata","org.axonframework.messaging.core.Message,org.axonframework.messaging.core.GenericResultMessage,org.axonframework.messaging.core.MessageType,org.axonframework.messaging.core.GenericMessage,org.axonframework.messaging.core.ResultMessage,org.axonframework.messaging.tracing.SpanFactory,org.axonframework.messaging.tracing.Span,org.axonframework.messaging.core.MessageDecorator,org.axonframework.messaging.core.Metadata",""
6,0.32062391681109187,0.02768984744273344,65,"SequencingPolicy,MessageHandler,AnnotatedHandlerInspector,HandlerDefinition,MessageHandlerInterceptorMemberChain,MessageHandlingMember,WrappedMessageHandlingMember,HandlerEnhancerDefinition,ClasspathHandlerDefinition","org.axonframework.messaging.core.sequencing.SequencingPolicy,org.axonframework.messaging.core.MessageHandler,org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector,org.axonframework.messaging.core.annotation.HandlerDefinition,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain,org.axonframework.messaging.core.annotation.MessageHandlingMember,org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember,org.axonframework.messaging.core.annotation.HandlerEnhancerDefinition,org.axonframework.messaging.core.annotation.ClasspathHandlerDefinition",""
7,0.19183673469387755,0.06617235466299719,62,"UnitOfWorkFactory,TrackingToken,ReplayToken,TokenStore,MergedTrackingToken,WrappedToken,Coordinator$NoToken,Coordinator$RunState,Coordinator","org.axonframework.messaging.core.unitofwork.UnitOfWorkFactory,org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken,org.axonframework.messaging.eventhandling.processing.streaming.token.store.TokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken,org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$NoToken,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$RunState,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator",""
8,0.37341236240474174,0.017734474877144142,59,"ParameterResolverFactoryUtils,ParameterResolverFactory,ParameterResolver,CommandDispatcherParameterResolverFactoryConfigurationEnhancer,CommandDispatcherParameterResolverFactory,AnnotationRoutingStrategy,CommandDispatcherParameterResolverFactory$1,AnnotationRoutingStrategy$RoutingKeyResolver,ReplayContextParameterResolverFactory","org.axonframework.messaging.core.configuration.reflection.ParameterResolverFactoryUtils,org.axonframework.messaging.core.annotation.ParameterResolverFactory,org.axonframework.messaging.core.annotation.ParameterResolver,org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactoryConfigurationEnhancer,org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactory,org.axonframework.messaging.commandhandling.annotation.AnnotationRoutingStrategy,org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactory$1,org.axonframework.messaging.commandhandling.annotation.AnnotationRoutingStrategy$RoutingKeyResolver,org.axonframework.messaging.eventhandling.replay.annotation.ReplayContextParameterResolverFactory",""
9,0.41935483870967744,0.03548584762174184,62,"SubscribableEventSource,DelegatingEventHandlingComponent,EventHandlingComponent,InterceptingEventHandlingComponent,EventProcessorModule,EventProcessorModule$EventHandlingPhase,SubscribingEventProcessorConfiguration,EventProcessorModule$CustomizationPhase,EventHandlingComponentsConfigurer$CompletePhase","org.axonframework.messaging.core.SubscribableEventSource,org.axonframework.messaging.eventhandling.DelegatingEventHandlingComponent,org.axonframework.messaging.eventhandling.EventHandlingComponent,org.axonframework.messaging.eventhandling.interception.InterceptingEventHandlingComponent,org.axonframework.messaging.eventhandling.configuration.EventProcessorModule,org.axonframework.messaging.eventhandling.configuration.EventProcessorModule$EventHandlingPhase,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorConfiguration,org.axonframework.messaging.eventhandling.configuration.EventProcessorModule$CustomizationPhase,org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$CompletePhase",""
