"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_9_Community_Metrics.cypher"
0,1,-0.0019117805911865926,41,"AnnotationBasedEventSourcedEntityFactory,AppendEventsTransactionRejectedException,EventSourcingConfigurationDefaults,SimpleEventSourcedEntityModule,UpdateCheckerConfigurationEnhancer,EnvironmentVariableUsagePropertyProvider,UpdateCheckResponse,EntityMetamodelBuilder,EventTargetMatcher","org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory,org.axonframework.eventsourcing.eventstore.AppendEventsTransactionRejectedException,org.axonframework.eventsourcing.configuration.EventSourcingConfigurationDefaults,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule,org.axonframework.update.UpdateCheckerConfigurationEnhancer,org.axonframework.update.configuration.EnvironmentVariableUsagePropertyProvider,org.axonframework.update.api.UpdateCheckResponse,org.axonframework.modelling.entity.EntityMetamodelBuilder,org.axonframework.modelling.entity.child.EventTargetMatcher",""
1,1,-0.0010912923585081932,25,"AnnotationBasedEventSourcedEntityFactoryDefinition,AggregateBasedJpaEventStorageEngine,EntityEvolver,AbstractEntityChildModelDefinition,PolymorphicEntityMetamodel,AnnotatedEntityIdResolverDefinition,SimpleRepository,Matchers,AxonAssertionError","org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactoryDefinition,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.modelling.EntityEvolver,org.axonframework.modelling.entity.annotation.AbstractEntityChildModelDefinition,org.axonframework.modelling.entity.PolymorphicEntityMetamodel,org.axonframework.modelling.entity.annotation.AnnotatedEntityIdResolverDefinition,org.axonframework.modelling.repository.SimpleRepository,org.axonframework.test.matchers.Matchers,org.axonframework.test.AxonAssertionError",""
2,1,-0.0003255998526043724,18,"ChainedConverter,AvroConverterStrategyConfiguration,JpaDeadLetterQueueAutoConfiguration,ListEntityChildModelDefinition,ListWithAllOfMatcher,MessageMonitor$MonitorCallback,ParameterResolverFactoryUtils,MessageStream$Empty,DefaultCommandGateway","org.axonframework.conversion.ChainedConverter,org.axonframework.conversion.avro.AvroConverterStrategyConfiguration,io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration,org.axonframework.modelling.entity.annotation.ListEntityChildModelDefinition,org.axonframework.test.matchers.ListWithAllOfMatcher,org.axonframework.messaging.monitoring.MessageMonitor$MonitorCallback,org.axonframework.messaging.core.configuration.reflection.ParameterResolverFactoryUtils,org.axonframework.messaging.core.MessageStream$Empty,org.axonframework.messaging.commandhandling.gateway.DefaultCommandGateway",""
3,1,-5.90752563891e-05,7,"GlobalIndexConsistencyMarker,ConsistencyMarkers$OriginConsistencyMarker,AxonTestFixture,DefaultMessageMonitorRegistry,NoHandlerForCommandException,EventMessageHandlerInterceptorChain$InterceptingHandler,ManagedChannelCustomizer","org.axonframework.eventsourcing.eventstore.GlobalIndexConsistencyMarker,org.axonframework.eventsourcing.eventstore.ConsistencyMarkers$OriginConsistencyMarker,org.axonframework.test.fixture.AxonTestFixture,org.axonframework.messaging.monitoring.configuration.DefaultMessageMonitorRegistry,org.axonframework.messaging.commandhandling.NoHandlerForCommandException,org.axonframework.messaging.eventhandling.interception.EventMessageHandlerInterceptorChain$InterceptingHandler,io.axoniq.framework.axonserver.connector.configuration.ManagedChannelCustomizer",""
4,1,-0.000669936492428247,11,"RoutingKeyUtils,RoutingKeyCommandTargetResolver,MessageStream,ReplayStatus,TokenEntry,ClaimTask,QueryResponseMessage,MultiParameterResolverFactory,DefaultParameterResolverFactory$MetadataParameterResolver","org.axonframework.modelling.entity.annotation.RoutingKeyUtils,org.axonframework.modelling.entity.annotation.RoutingKeyCommandTargetResolver,org.axonframework.messaging.core.MessageStream,org.axonframework.messaging.eventhandling.replay.ReplayStatus,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry,org.axonframework.messaging.eventhandling.processing.streaming.pooled.ClaimTask,org.axonframework.messaging.queryhandling.QueryResponseMessage,org.axonframework.messaging.core.annotation.MultiParameterResolverFactory,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory$MetadataParameterResolver",""
5,1,-1.5162631867159794e-05,12,"UnknownRoutingKeyException,DeepEqualsMatcher,EventAppenderParameterResolverFactory$1,TimestampParameterResolverFactory,LatestTrackingToken,MappedMessageStream,CompletionCallbackMessageStream$Single,EmptyMessageStream,MetadataSpanAttributesProvider","org.axonframework.modelling.entity.annotation.UnknownRoutingKeyException,org.axonframework.test.matchers.DeepEqualsMatcher,org.axonframework.messaging.eventhandling.annotation.EventAppenderParameterResolverFactory$1,org.axonframework.messaging.eventhandling.annotation.TimestampParameterResolverFactory,org.axonframework.messaging.eventhandling.processing.streaming.token.LatestTrackingToken,org.axonframework.messaging.core.MappedMessageStream,org.axonframework.messaging.core.CompletionCallbackMessageStream$Single,org.axonframework.messaging.core.EmptyMessageStream,org.axonframework.messaging.tracing.attributes.MetadataSpanAttributesProvider",""
6,1,-1.9162343592552238e-05,11,"UpdateCheckRequest,EmptyCollectionMatcher,OpenTelemetrySpan,TerminalEventMessage,EventTypeRestrictableOrEventCriteria,MethodQueryHandlerDefinition$MethodQueryHandlingMember,MessageTypeNotResolvedException,LegacyMessageSupportingContext,AxonTimeoutException","org.axonframework.update.api.UpdateCheckRequest,org.axonframework.test.matchers.EmptyCollectionMatcher,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpan,org.axonframework.messaging.eventhandling.TerminalEventMessage,org.axonframework.messaging.eventstreaming.EventTypeRestrictableOrEventCriteria,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition$MethodQueryHandlingMember,org.axonframework.messaging.core.MessageTypeNotResolvedException,org.axonframework.messaging.core.unitofwork.LegacyMessageSupportingContext,org.axonframework.messaging.core.timeout.AxonTimeoutException",""
7,1,-3.250032964101883e-05,10,"PayloadBasedTagResolver,WrappedMessageHandlingMember,ResetHandler,SpanScope,PayloadParameterResolver,TransactionalUnitOfWorkFactory,PriorityExecutorService,DescribableComponent,DeadlockException","org.axonframework.eventsourcing.eventstore.PayloadBasedTagResolver,org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember,org.axonframework.messaging.eventhandling.replay.annotation.ResetHandler,org.axonframework.messaging.tracing.SpanScope,org.axonframework.messaging.core.annotation.PayloadParameterResolver,org.axonframework.messaging.core.unitofwork.TransactionalUnitOfWorkFactory,io.axoniq.framework.axonserver.connector.util.PriorityExecutorService,org.axonframework.common.infra.DescribableComponent,org.axonframework.common.lock.DeadlockException",""
8,1,-4.311527308324254e-05,11,"InMemoryEventStorageEngine$MapBackedMessageStream,ChildEntityNotFoundException,MatchAllFieldFilter,SimpleEventHandlingComponent,ConfigurationApplicationContext,RemovedTrackerStatus,QueryHandlingModule$QueryHandlerPhase,NoMoreInterceptors,GrpcMessageSizeExceededException","org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$MapBackedMessageStream,org.axonframework.modelling.entity.ChildEntityNotFoundException,org.axonframework.test.matchers.MatchAllFieldFilter,org.axonframework.messaging.eventhandling.SimpleEventHandlingComponent,org.axonframework.messaging.core.ConfigurationApplicationContext,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.RemovedTrackerStatus,org.axonframework.messaging.queryhandling.configuration.QueryHandlingModule$QueryHandlerPhase,org.axonframework.messaging.core.interception.annotation.NoMoreInterceptors,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeExceededException",""
9,1,-0.0001593511060460158,15,"SimpleEventSourcedEntityModule$1,AxonTestThenCommand,UnsupportedHandlerException,EventSchedulingProcessingContext,TracingEventHandlingComponent,QueryHandlerRegistry,OrEventCriteriaBuilder,DefaultQueryGateway,SourceIdParameterResolverFactory$SourceIdParameterResolver","org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$1,org.axonframework.test.fixture.AxonTestThenCommand,org.axonframework.messaging.core.annotation.UnsupportedHandlerException,org.axonframework.messaging.eventhandling.processing.streaming.pooled.EventSchedulingProcessingContext,org.axonframework.messaging.eventhandling.tracing.TracingEventHandlingComponent,org.axonframework.messaging.queryhandling.QueryHandlerRegistry,org.axonframework.messaging.eventstreaming.OrEventCriteriaBuilder,org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory$SourceIdParameterResolver",""
10,1,-2.9111424094904942e-05,8,"ByteArrayToStringConverter,MetadataContextGetter,Tag,ClasspathParameterResolverConfigurationEnhancer,JSR303ViolationException,WeakReferenceCache,ConfigurationExtension,DecoratedComponent","org.axonframework.conversion.converter.ByteArrayToStringConverter,org.axonframework.extension.tracing.opentelemetry.MetadataContextGetter,org.axonframework.messaging.eventstreaming.Tag,org.axonframework.messaging.core.reflection.ClasspathParameterResolverConfigurationEnhancer,org.axonframework.messaging.core.interception.JSR303ViolationException,org.axonframework.common.caching.WeakReferenceCache,org.axonframework.common.configuration.ConfigurationExtension,org.axonframework.common.configuration.DecoratedComponent",""
11,1,-0.00021639509183255212,8,"EventStore,ObjectNodeToJsonNodeConverter,EntityMetamodel,SequencingPolicy,CommandDispatcherParameterResolverFactory$1,PooledStreamingEventProcessor,ProcessingLifecycle,MetadataConverter","org.axonframework.eventsourcing.eventstore.EventStore,org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter,org.axonframework.modelling.entity.EntityMetamodel,org.axonframework.messaging.core.sequencing.SequencingPolicy,org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactory$1,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor,org.axonframework.messaging.core.unitofwork.ProcessingLifecycle,io.axoniq.framework.axonserver.connector.shared.MetadataConverter",""
