"artifactName","dependentArtifactName","dependentPackages","dependentArtifactPackages","packageUsagePercentage","dependentFullQualifiedPackageNames","dependentPackageNames","Source Cypher File: Internal_Dependencies/How_many_packages_compared_to_all_existing_are_used_by_dependent_artifacts.cypher"
"axon-tracing-opentelemetry-4.11.2","axon-messaging-4.11.2",3,66,0.045454545454545456,"org.axonframework.common,org.axonframework.tracing,org.axonframework.messaging","common,tracing,messaging",""
"axon-server-connector-4.11.2","axon-modelling-4.11.2",1,10,0.1,"org.axonframework.modelling.command","command",""
"axon-spring-boot-autoconfigure-4.11.2","axon-test-4.11.2",1,8,0.125,"org.axonframework.test.server","server",""
"axon-disruptor-4.11.2","axon-messaging-4.11.2",9,66,0.13636363636363635,"org.axonframework.monitoring,org.axonframework.messaging.unitofwork,org.axonframework.messaging,org.axonframework.common.caching,org.axonframework.messaging.annotation,org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks,org.axonframework.common,org.axonframework.common.transaction","monitoring,unitofwork,messaging,caching,annotation,commandhandling,callbacks,common,transaction",""
"axon-test-4.11.2","axon-messaging-4.11.2",10,66,0.15151515151515152,"org.axonframework.commandhandling,org.axonframework.common,org.axonframework.messaging,org.axonframework.eventhandling,org.axonframework.messaging.annotation,org.axonframework.messaging.unitofwork,org.axonframework.commandhandling.gateway,org.axonframework.deadline,org.axonframework.common.stream,org.axonframework.eventhandling.scheduling","commandhandling,common,messaging,eventhandling,annotation,unitofwork,gateway,deadline,stream,scheduling",""
"axon-eventsourcing-4.11.2","axon-modelling-4.11.2",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-disruptor-4.11.2","axon-modelling-4.11.2",2,10,0.2,"org.axonframework.modelling.command.inspection,org.axonframework.modelling.command","inspection,command",""
"axon-test-4.11.2","axon-eventsourcing-4.11.2",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-disruptor-4.11.2","axon-eventsourcing-4.11.2",2,9,0.2222222222222222,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing","eventstore,eventsourcing",""
"axon-modelling-4.11.2","axon-messaging-4.11.2",18,66,0.2727272727272727,"org.axonframework.tracing,org.axonframework.common.annotation,org.axonframework.messaging.annotation,org.axonframework.eventhandling,org.axonframework.messaging,org.axonframework.common.property,org.axonframework.common,org.axonframework.common.caching,org.axonframework.messaging.unitofwork,org.axonframework.common.lock,org.axonframework.common.legacyjpa,org.axonframework.commandhandling,org.axonframework.common.jpa,org.axonframework.deadline,org.axonframework.messaging.interceptors,org.axonframework.common.jdbc,org.axonframework.serialization.xml,org.axonframework.serialization","tracing,annotation,eventhandling,messaging,property,common,caching,unitofwork,lock,legacyjpa,commandhandling,jpa,deadline,interceptors,jdbc,xml,serialization",""
"axon-eventsourcing-4.11.2","axon-messaging-4.11.2",20,66,0.30303030303030304,"org.axonframework.common,org.axonframework.eventhandling,org.axonframework.serialization,org.axonframework.messaging,org.axonframework.common.caching,org.axonframework.messaging.annotation,org.axonframework.messaging.unitofwork,org.axonframework.tracing,org.axonframework.common.transaction,org.axonframework.common.lock,org.axonframework.serialization.upcasting.event,org.axonframework.commandhandling,org.axonframework.common.jdbc,org.axonframework.common.io,org.axonframework.monitoring,org.axonframework.common.stream,org.axonframework.serialization.xml,org.axonframework.lifecycle,org.axonframework.common.legacyjpa,org.axonframework.common.jpa","common,eventhandling,serialization,messaging,caching,annotation,unitofwork,tracing,transaction,lock,event,commandhandling,jdbc,io,monitoring,stream,xml,lifecycle,legacyjpa,jpa",""
"axon-server-connector-4.11.2","axon-eventsourcing-4.11.2",3,9,0.3333333333333333,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.snapshotting,org.axonframework.eventsourcing","eventstore,snapshotting,eventsourcing",""
"axon-spring-boot-autoconfigure-4.11.2","axon-server-connector-4.11.2",4,11,0.36363636363636365,"org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector.event.axon","connector,query,command,axon",""
"axon-server-connector-4.11.2","axon-messaging-4.11.2",25,66,0.3787878787878788,"org.axonframework.common,org.axonframework.messaging,org.axonframework.serialization,org.axonframework.eventhandling,org.axonframework.eventhandling.async,org.axonframework.serialization.upcasting.event,org.axonframework.monitoring,org.axonframework.lifecycle,org.axonframework.eventhandling.scheduling.java,org.axonframework.common.jdbc,org.axonframework.common.stream,org.axonframework.messaging.unitofwork,org.axonframework.serialization.xml,org.axonframework.tracing,org.axonframework.eventhandling.scheduling,org.axonframework.commandhandling.distributed,org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks,org.axonframework.eventhandling.tokenstore,org.axonframework.common.transaction,org.axonframework.eventhandling.pooled,org.axonframework.queryhandling,org.axonframework.messaging.responsetypes,org.axonframework.util,org.axonframework.eventhandling.tokenstore.inmemory","common,messaging,serialization,eventhandling,async,event,monitoring,lifecycle,java,jdbc,stream,unitofwork,xml,tracing,scheduling,distributed,commandhandling,callbacks,tokenstore,transaction,pooled,queryhandling,responsetypes,util,inmemory",""
"axon-configuration-4.11.2","axon-eventsourcing-4.11.2",4,9,0.4444444444444444,"org.axonframework.eventsourcing.snapshotting,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","snapshotting,jpa,eventsourcing,eventstore",""
"axon-test-4.11.2","axon-modelling-4.11.2",5,10,0.5,"org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","saga,repository,inmemory,command,inspection",""
"axon-configuration-4.11.2","axon-messaging-4.11.2",34,66,0.5151515151515151,"org.axonframework.commandhandling.gateway,org.axonframework.messaging.interceptors,org.axonframework.queryhandling.annotation,org.axonframework.eventhandling,org.axonframework.messaging.correlation,org.axonframework.tracing,org.axonframework.eventhandling.deadletter,org.axonframework.common.annotation,org.axonframework.commandhandling,org.axonframework.common.jpa,org.axonframework.messaging.annotation,org.axonframework.eventhandling.scheduling,org.axonframework.eventhandling.gateway,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.common.jdbc,org.axonframework.lifecycle,org.axonframework.deadline,org.axonframework.serialization.upcasting.event,org.axonframework.messaging,org.axonframework.messaging.unitofwork,org.axonframework.eventhandling.pooled,org.axonframework.common.lock,org.axonframework.queryhandling,org.axonframework.common.transaction,org.axonframework.common,org.axonframework.util,org.axonframework.serialization,org.axonframework.messaging.deadletter,org.axonframework.monitoring,org.axonframework.eventhandling.tokenstore,org.axonframework.serialization.xml,org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.common.caching,org.axonframework.eventhandling.async","gateway,interceptors,annotation,eventhandling,correlation,tracing,deadletter,commandhandling,jpa,scheduling,jdbc,lifecycle,deadline,event,messaging,unitofwork,pooled,lock,queryhandling,transaction,common,util,serialization,monitoring,tokenstore,xml,inmemory,caching,async",""
"axon-spring-boot-autoconfigure-4.11.2","axon-eventsourcing-4.11.2",5,9,0.5555555555555556,"org.axonframework.eventsourcing.eventstore.legacyjpa,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore.jdbc","legacyjpa,eventstore,jpa,eventsourcing,jdbc",""
"axon-spring-boot-autoconfigure-4.11.2","axon-modelling-4.11.2",6,10,0.6,"org.axonframework.modelling.saga.repository.legacyjpa,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository.jdbc,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.command","legacyjpa,repository,saga,jdbc,jpa,command",""
"axon-configuration-4.11.2","axon-modelling-4.11.2",6,10,0.6,"org.axonframework.modelling.command,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository,org.axonframework.modelling.command.inspection","command,jpa,inmemory,saga,repository,inspection",""
"axon-modelling-4.11.2","axon-modelling-4.11.2",6,10,0.6,"org.axonframework.modelling.saga.metamodel,org.axonframework.modelling.saga,org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga.repository.jpa","metamodel,saga,command,inspection,repository,jpa",""
