"artifactName","fullQualifiedPackageName","packageName","abstractness","numberAbstractTypes","numberTypes","numberAbstractClasses","weightedAbstractTypes","numberOfIncludedSubPackages","maxSubpackageDepth","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Calculate_and_set_Abstractness_for_Java_including_Subpackages.cypher"
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer","micrometer",0,0,16,0,0,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration","configuration",0,0,5,0,0,1,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","autoconfig",0,0,41,0,0,0,0,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","event",0,0,14,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.interception","interception",0,0,8,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.timeout","timeout",0,0,8,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.interception","interception",0,0,6,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.tracing.attributes","attributes",0,0,6,0,0,0,0,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command","command",0,0,6,0,0,0,0,""
"axon-update-5.0.3","org.axonframework.update.api","api",0,0,6,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring.interception","interception",0,0,5,0,0,0,0,""
"axon-tracing-opentelemetry-5.0.3","org.axonframework.extension.tracing.opentelemetry","opentelemetry",0,0,5,0,0,0,0,""
"axon-common-5.0.3","org.axonframework.common.lifecycle","lifecycle",0,0,5,0,0,0,0,""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson","jackson",0,0,5,0,0,0,0,""
"axon-conversion-5.0.3","org.axonframework.conversion.converter","converter",0,0,5,0,0,0,0,""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson2","jackson2",0,0,5,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",0,0,4,0,0,0,0,""
"axon-update-5.0.3","org.axonframework.update.detection","detection",0,0,4,0,0,0,0,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer.springboot","springboot",0,0,4,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.interception","interception",0,0,3,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",0,0,3,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration.reflection","reflection",0,0,3,0,0,0,0,""
"axon-test-5.0.3","org.axonframework.test.server","server",0,0,2,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",0,0,2,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.reflection","reflection",0,0,2,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.annotation","annotation",0,0,2,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",0,0,2,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",0,0,2,0,0,0,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.actuator.axonserver","axonserver",0,0,2,0,0,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.retry","retry",0,0,1,0,0,0,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.util.jpa","jpa",0,0,1,0,0,0,0,""
"axon-update-5.0.3","org.axonframework.update.common","common",0,0,1,0,0,0,0,""
"axon-common-5.0.3","org.axonframework.common.io","io",0,0,1,0,0,0,0,""
"axon-common-5.0.3","org.axonframework.common.digest","digest",0,0,1,0,0,0,0,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0,0,1,0,0,0,0,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","query",0.06363636363636363,1,11,1,0.7,0,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot","springboot",0.07200000000000001,6,75,2,5.4,7,2,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa","jpa",0.07692307692307693,1,13,0,1,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing","sequencing",0.09090909090909091,1,11,0,1,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",0.09523809523809523,2,21,0,2,3,1,""
"axon-test-5.0.3","org.axonframework.test.matchers","matchers",0.10434782608695652,3,23,2,2.4,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",0.1111111111111111,1,9,0,1,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.12903225806451613,4,31,0,4,5,2,""
"axon-update-5.0.3","org.axonframework.update","update",0.13043478260869565,3,23,0,3,4,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.13999999999999999,1,5,1,0.7,0,0,""
"axon-conversion-5.0.3","org.axonframework.conversion","conversion",0.14285714285714285,5,35,0,5,4,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","connector",0.15833333333333333,12,72,2,11.4,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming","streaming",0.19705882352941176,14,68,2,13.4,8,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring","monitoring",0.2,4,20,0,4,2,1,""
"axon-common-5.0.3","org.axonframework.common.lock","lock",0.2,2,10,0,2,0,0,""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","avro",0.2,2,10,0,2,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.tracing","tracing",0.2,1,5,0,1,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",0.2,1,5,0,1,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing","processing",0.20759493670886073,17,79,2,16.4,11,4,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring.configuration","configuration",0.2222222222222222,2,9,0,2,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",0.225,3,12,1,2.7,0,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.actuator","actuator",0.2333333333333333,1,3,1,0.7,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",0.23750000000000002,6,24,1,5.7,0,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.service","service",0.25,1,4,0,1,1,1,""
"axon-common-5.0.3","org.axonframework.common.infra","infra",0.25,2,8,0,2,0,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.service.connection","connection",0.25,1,4,0,1,0,0,""
"axon-common-5.0.3","org.axonframework.common.jpa","jpa",0.25,1,4,0,1,0,0,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore","eventstore",0.2555555555555556,17,63,3,16.1,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.tracing","tracing",0.2631578947368421,5,19,0,5,1,1,""
"axon-common-5.0.3","org.axonframework.common.property","property",0.26666666666666666,3,9,2,2.4,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core","core",0.2682203389830508,66,236,9,63.3,16,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.annotation","annotation",0.2727272727272727,3,11,0,3,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception","interception",0.28125,9,32,0,9,1,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util","util",0.2846153846153846,4,13,1,3.7,0,0,""
"axon-common-5.0.3","org.axonframework.common.caching","caching",0.2846153846153846,4,13,1,3.7,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.tracing","tracing",0.2857142857142857,2,7,0,2,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.tracing","tracing",0.2857142857142857,2,7,0,2,0,0,""
"axon-update-5.0.3","org.axonframework.update.configuration","configuration",0.2857142857142857,2,7,0,2,0,0,""
"axon-test-5.0.3","org.axonframework.test","test",0.2923076923076923,24,78,4,22.8,5,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.annotation","annotation",0.3,3,10,0,3,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","unitofwork",0.3076923076923077,8,26,0,8,4,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.retry","retry",0.3076923076923077,4,13,0,4,0,0,""
"axon-test-5.0.3","org.axonframework.test.util","util",0.30833333333333335,4,12,1,3.7,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling","eventhandling",0.31552795031055897,52,161,4,50.8,20,5,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.annotation","annotation",0.31666666666666665,6,18,1,5.7,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","annotation",0.32156862745098036,17,51,2,16.4,0,0,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing","eventsourcing",0.331,34,100,3,33.1,6,2,""
"axon-common-5.0.3","org.axonframework.common","common",0.33141025641025645,55,156,11,51.7,14,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction","transaction",0.3333333333333333,3,9,0,3,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.annotation","annotation",0.3333333333333333,6,18,0,6,0,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.correlation","correlation",0.3333333333333333,2,6,0,2,0,0,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation.reflection","reflection",0.3333333333333333,2,6,0,2,0,0,""
"axon-common-5.0.3","org.axonframework.common.util","util",0.3333333333333333,2,6,0,2,0,0,""
