"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/topological-sort/Topological_Sort_Query.cypher"
"org.axonframework.common.caching","caching",0,0,5,22,43,""
"org.axonframework.common.digest","digest",1,0,5,0,1,""
"org.axonframework.common.lock","lock",2,0,5,17,21,""
"org.axonframework.messaging.core.reflection","reflection",3,0,5,0,44,""
"org.axonframework.messaging.core.unitofwork.annotation","annotation",4,0,5,1,17,""
"org.axonframework.messaging.core.timeout","timeout",5,0,5,9,182,""
"org.axonframework.update","update",6,0,5,7,100,""
"org.axonframework.messaging.tracing.attributes","attributes",7,0,5,0,28,""
"org.axonframework.messaging.queryhandling.tracing","tracing",8,0,5,6,73,""
"org.axonframework.conversion.avro","avro",9,0,5,19,49,""
"org.axonframework.conversion.converter","converter",10,0,5,0,7,""
"org.axonframework.conversion.jackson2","jackson2",11,0,5,4,21,""
"org.axonframework.messaging.eventhandling.tracing","tracing",12,0,5,6,135,""
"org.axonframework.messaging.eventhandling.replay.annotation","annotation",13,0,5,6,159,""
"org.axonframework.messaging.commandhandling.retry","retry",14,0,5,0,168,""
"org.axonframework.messaging.commandhandling.tracing","tracing",15,0,5,7,156,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",16,0,5,13,160,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",17,0,5,4,99,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",18,0,5,1,30,""
"org.axonframework.eventsourcing.configuration","configuration",19,0,5,31,1761,""
"org.axonframework.extension.tracing.opentelemetry","opentelemetry",20,0,5,5,37,""
"org.axonframework.test.extension","extension",21,0,5,5,11,""
"org.axonframework.eventsourcing.snapshot.inmemory","inmemory",22,0,5,0,3,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",23,0,5,13,1239,""
"io.axoniq.framework.springboot.autoconfig","autoconfig",24,0,5,5,135,""
"org.axonframework.extension.metrics.micrometer.springboot","springboot",25,0,5,5,13,""
"org.axonframework.messaging.core.retry","retry",26,1,5,23,179,""
"org.axonframework.extension.metrics.micrometer","micrometer",27,1,5,19,232,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir",28,2,5,2,0,""
"org.axonframework.update.detection","detection",29,1,5,4,5,""
"org.axonframework.update.common","common",30,1,5,1,1,""
"org.axonframework.update.configuration","configuration",31,1,5,15,19,""
"org.axonframework.update.api","api",32,2,5,18,11,""
"org.axonframework.test.fixture","fixture",33,1,5,134,1079,""
"org.axonframework.test.matchers","matchers",34,2,5,35,47,""
"org.axonframework.test.util","util",35,2,5,23,164,""
"org.axonframework.test","test",36,3,5,8,13,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",37,1,5,12,417,""
"org.axonframework.modelling.configuration","configuration",38,1,5,36,585,""
"org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",39,1,5,3,24,""
"org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",40,1,5,8,101,""
"io.axoniq.framework.axonserver.connector.configuration","configuration",41,1,5,9,382,""
"io.axoniq.framework.springboot","springboot",42,1,5,11,6,""
"io.axoniq.framework.springboot.actuator.axonserver","axonserver",43,1,5,2,3,""
"io.axoniq.framework.springboot.service.connection","connection",44,1,5,5,4,""
"io.axoniq.framework.springboot.actuator","actuator",45,2,5,2,0,""
"io.axoniq.framework.axonserver.connector.snapshot","snapshot",46,2,5,1,12,""
"io.axoniq.framework.axonserver.connector.event","event",47,2,5,18,1282,""
"io.axoniq.framework.axonserver.connector.command","command",48,2,5,5,99,""
"io.axoniq.framework.axonserver.connector.query","query",49,2,5,17,215,""
"io.axoniq.framework.axonserver.connector.shared","shared",50,3,5,22,31,""
"io.axoniq.framework.axonserver.connector.api","api",51,4,5,36,23,""
"io.axoniq.framework.axonserver.connector.api.command","command",52,4,5,3,5,""
"io.axoniq.framework.axonserver.connector.api.query","query",53,4,5,3,5,""
"io.axoniq.framework.axonserver.connector.util","util",54,5,5,14,13,""
"org.axonframework.common.jdbc","jdbc",55,2,5,17,22,""
"org.axonframework.common.jpa","jpa",56,2,5,7,14,""
"org.axonframework.messaging.tracing","tracing",57,1,5,136,68,""
"org.axonframework.messaging.commandhandling","commandhandling",123,5,5,1148,297,""
