"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: domains/java/queries/method-metrics/Effective_lines_of_method_code_per_type.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","Coordinator$CoordinationTask",398,111,"run",25,"run",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","JdbcTokenStore",305,25,"updateToken",8,"updateToken",""
"axon-test-5.1.2","org.axonframework.test.fixture","Reporter",224,45,"appendEventOverview",11,"appendEventOverview",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","AggregateBasedJpaEventStorageEngine",197,18,"<init>",6,"lambda$queryBatch$16",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","WorkPackage",190,25,"processEvents",7,"processEvents",""
"axon-common-5.1.2","org.axonframework.common.configuration","DefaultComponentRegistry",185,18,"invokeEnhancers",8,"registerComponent",""
"axon-common-5.1.2","org.axonframework.common","ReflectionUtils",177,17,"fieldNameFromMember",9,"fieldNameFromMember",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessor",175,37,"<init>",3,"lambda$processWithErrorHandling$20",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","AnnotatedEntityMetamodel",166,18,"createOptionalChildForMember",6,"getExpectedRepresentation",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessorConfiguration",160,18,"describeTo",2,"ignoredMessageHandler",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","AxonServerConfiguration",148,29,"<init>",3,"getNewPermitsThreshold",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","JpaTokenStore",148,19,"lambda$storeToken$1",6,"validateSegment",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration","MessagingConfigurationDefaults",146,20,"registerComponents",4,"lambda$registerDecorators$15",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","UnitOfWork$UnitOfWorkProcessingContext",144,21,"runNextPhase",6,"runNextPhase",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection","AnnotationBasedEventSourcedEntityFactory",137,40,"addEntityCreatorExecutable",13,"addEntityCreatorExecutable",""
"axon-test-5.1.2","org.axonframework.test.fixture","AxonTestThenMessage",127,12,"verifyPayloadEquality",7,"verifyPayloadEquality",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","SimpleQueryBus",120,10,"lambda$emitUpdate$6",4,"subscribe",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","AggregateBasedAxonServerEventStorageEngine",113,22,"lambda$appendEvents$0",4,"appendEvents",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration","MessagingConfigurer",111,5,"<init>",1,"lambda$registerQueryHandlerInterceptor$23",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessorModule",104,8,"lambda$registerCustomizedConfiguration$2",2,"notCustomized",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","AnnotatedHandlerInspector",104,15,"initialize",4,"initialize",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","AbstractMessageStream",102,23,"next",11,"next",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout","AxonTimeLimitedTask",102,17,"<init>",6,"detectInterruptionInsteadOfException",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","QueryConverter",96,21,"convertQueryMessage",3,"convertQueryMessage",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","DefaultEventStoreTransaction",94,11,"<init>",3,"lambda$updateAppendPosition$4",""
"axon-common-5.1.2","org.axonframework.common.annotation","AnnotationUtils",93,13,"findAnnotationAttributesOnType",8,"collectAttributes",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration","SimpleEventSourcedEntityModule",93,17,"lambda$repository$6",3,"lambda$registerComponents$1",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration","AxonServerConfigurationEnhancer",91,15,"enhance",1,"topologyChangeListenerRegistration",""
"axon-common-5.1.2","org.axonframework.common.caching","WeakReferenceCache",91,13,"computeIfAbsent",6,"put",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","Coordinator",91,27,"<init>",6,"start",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","MethodInvokingMessageHandlingMember",91,23,"<init>",7,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","ResourceOverridingProcessingContext",89,5,"<init>",3,"containsResource",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","MergedTrackingToken",88,11,"unwrap",7,"unwrap",""
