"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"axon-update-5.0.2","axon-update-5.0.2","embeddingsNode2Vec","0.09673672,-0.09963814,0.21275319,0.27051508,0.29003522,0.022580156,-0.3593962,0.4679416,0.7796763,-0.14028405,-0.2259551,0.23734757,-0.33160475,0.16938937,-0.01902645,0.16428801",""
"axon-common-5.0.2","axon-common-5.0.2","embeddingsNode2Vec","0.08781117,-0.090086624,0.18625128,0.24524449,0.27894413,-0.007973387,-0.36416966,0.5028724,0.778837,-0.1572448,-0.22753641,0.2654697,-0.3098532,0.17521665,-0.029321937,0.13380803",""
"axon-test-5.0.2","axon-test-5.0.2","embeddingsNode2Vec","0.067726575,-0.078848355,0.19412808,0.2591021,0.27080062,-0.008961854,-0.32468304,0.45765907,0.7566458,-0.16710137,-0.2189107,0.23776348,-0.31801522,0.13711213,-0.03600858,0.11839028",""
"axon-metrics-micrometer-5.0.2","axon-metrics-micrometer-5.0.2","embeddingsNode2Vec","0.10300853,-0.065198466,0.18120223,0.26294005,0.21375528,0.0061941086,-0.35455886,0.4566213,0.7490541,-0.14523804,-0.22509086,0.27346316,-0.28098032,0.1272166,-0.0005622374,0.12939225",""
"axon-server-connector-5.0.2","axon-server-connector-5.0.2","embeddingsNode2Vec","0.07276369,-0.096272066,0.16723463,0.26050088,0.2558805,0.007756575,-0.34630588,0.45985168,0.74836695,-0.17290175,-0.22944254,0.2682343,-0.29394883,0.1550266,-0.029704751,0.13873607",""
"axon-modelling-5.0.2","axon-modelling-5.0.2","embeddingsNode2Vec","0.07378193,-0.08858015,0.18164665,0.2504309,0.28999323,-0.010137292,-0.3296126,0.4550565,0.7238895,-0.1468595,-0.2310207,0.246917,-0.29985508,0.15721601,-0.045789484,0.14431943",""
"axon-spring-boot-autoconfigure-5.0.2","axon-spring-boot-autoconfigure-5.0.2","embeddingsNode2Vec","0.08561924,-0.1118359,0.19761679,0.2565166,0.26269367,0.0064550415,-0.3501011,0.48004466,0.7802564,-0.16422324,-0.23263887,0.25997674,-0.33432874,0.17026015,-0.02299592,0.15066314",""
"axon-eventsourcing-5.0.2","axon-eventsourcing-5.0.2","embeddingsNode2Vec","0.08508151,-0.051879704,0.17304994,0.24423398,0.25586256,0.0068542277,-0.3322092,0.47662878,0.7606823,-0.14699404,-0.23188959,0.28376985,-0.2887568,0.14768232,-0.014022519,0.124782145",""
"axon-conversion-5.0.2","axon-conversion-5.0.2","embeddingsNode2Vec","0.08509771,-0.11090704,0.20797451,0.24876387,0.27975047,-0.015947523,-0.33733797,0.46884346,0.767156,-0.14156462,-0.21896587,0.26992968,-0.3305245,0.16502202,-0.05042979,0.15128392",""
"axon-messaging-5.0.2","axon-messaging-5.0.2","embeddingsNode2Vec","0.10097911,-0.083733566,0.20106359,0.2587663,0.22938125,-0.030824473,-0.3530947,0.46302795,0.76076925,-0.18033147,-0.24485417,0.26682195,-0.34233868,0.17059071,-0.021103198,0.14720981",""
"axon-tracing-opentelemetry-5.0.2","axon-tracing-opentelemetry-5.0.2","embeddingsNode2Vec","0.07691894,-0.06038747,0.19409904,0.26468918,0.26528975,-0.014109361,-0.3490748,0.47460765,0.7149128,-0.15361226,-0.23840697,0.23954521,-0.31223252,0.16906507,-0.04100037,0.11939811",""
