"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.actuator","actuator","embeddingsNode2Vec","0.28138787,0.47386456,0.2601267,-0.021118356,-0.51209795,0.16056195,0.03884301,-0.04095168,0.30625573,-0.45088702,-0.16946521,0.1528227,-0.07353799,0.34664583,0.15978621,0.11595328,1.2196635,-0.501644,0.5314183,-1.1228869,0.060695164,-0.1861812,0.6712189,1.0821711,0.18085004,0.012358446,0.3220299,0.023021575,0.46722725,-0.06255625,0.37397802,-0.2335284",""
"org.axonframework.actuator.axonserver","axonserver","embeddingsNode2Vec","0.3538109,0.5328198,0.31415278,-0.031531237,-0.45658332,0.16512103,0.06909356,-0.10647456,0.34692964,-0.31832728,-0.16397478,0.12380349,-0.031018974,0.28656486,0.18719794,0.03510308,1.2098501,-0.58854365,0.47223473,-0.9384101,-0.044932846,-0.23036687,0.5949445,0.9495019,0.17986642,-0.03811045,0.33890066,0.047315355,0.36336732,-0.16460739,0.45444876,-0.26112673",""
"org.axonframework.springboot","springboot","embeddingsNode2Vec","0.22315685,-0.003497435,0.33581075,-0.05907833,-0.42164028,0.35989058,0.054198306,-0.093596645,0.20468314,0.015031183,-0.070105895,0.3955199,0.5253347,-0.10077056,0.4306088,0.29085344,0.5607111,-0.29018974,0.6232895,-0.60763276,0.19745614,0.21124944,0.14356416,0.5821058,-0.07305252,-0.1296,-0.3300821,0.14896268,0.7485993,-0.11456496,0.49582705,-0.039642088",""
"org.axonframework.springboot.service.connection","connection","embeddingsNode2Vec","-0.18772466,0.38869572,0.8217317,-0.64619267,-0.8236538,0.31137314,-0.113651775,-0.32588255,0.079715386,0.16674122,-0.4326738,-0.2004339,0.06782545,-0.40324992,0.03956948,-0.748161,0.26335874,-0.042437527,0.6890805,-0.6303239,-0.42906153,-0.47953954,-0.056261677,0.6601811,0.23528355,-0.5840152,0.31639948,0.17389353,0.8635618,0.6985164,0.9279569,-0.35224766",""
"org.axonframework.springboot.autoconfig","autoconfig","embeddingsNode2Vec","0.13217756,-0.19331577,0.61663914,-0.10487373,-0.4325372,0.15201555,-0.13168809,0.077672236,0.1332216,-0.048340008,-0.05104336,-0.031404532,0.24769707,0.03828563,0.24449892,0.23037994,0.6419813,-0.16261639,0.2785303,-0.6257069,0.11422157,0.123907566,0.12109572,0.23141529,-0.12326066,-0.0281477,-0.21646373,-0.054445986,0.5924681,-0.030118324,0.22750609,-0.21248059",""
"org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa","embeddingsNode2Vec","0.08319493,-0.0019272332,0.3553395,0.15328942,-0.25251853,0.15261228,-0.09365496,-0.12937485,-0.16817203,0.3515285,0.31164038,0.37060246,0.003177506,0.21161439,0.29497787,0.3238654,0.70072246,-0.08556465,0.64275134,-0.2747877,-0.46687675,0.09235036,-0.08271589,0.18442842,-0.18536566,-0.57992154,-0.42410326,-0.2366758,0.8442596,-0.30189067,0.3227897,-0.34241143",""
"org.axonframework.springboot.util","util","embeddingsNode2Vec","0.23374265,0.15526436,0.3889985,0.070566446,-0.37324503,0.31505558,-0.02567135,-0.30344796,-0.024182184,0.109207906,0.08893905,0.34355286,0.33252358,-0.056802083,0.3980459,0.3158289,0.6747431,-0.19640861,0.7622198,-0.52522475,0.058450628,0.1321923,0.12594575,0.48096517,-0.08267999,-0.19633299,-0.2934363,0.020527363,0.7367297,-0.17261082,0.26292956,-0.047507126",""
"org.axonframework.springboot.util.legacyjpa","legacyjpa","embeddingsNode2Vec","0.052477423,-0.11251467,0.41625568,0.12142162,-0.27457142,0.21174169,-0.12479009,0.042236533,-0.029976947,0.09337541,0.2358853,0.39442396,0.031442236,0.16028515,0.1396311,0.20951001,0.6320542,-0.0386219,0.3704354,-0.43222445,-0.23915589,-0.0010119163,0.004005918,0.36303797,-0.05570999,-0.52739733,-0.32213712,-0.23518007,0.6436606,-0.08400324,0.23723383,-0.24017614",""
"org.axonframework.springboot.util.jpa","jpa","embeddingsNode2Vec","-0.08441811,0.017243281,0.20442668,-0.012842725,-0.36928472,-0.02418201,0.09443474,0.20168222,0.20990625,-0.14592512,-0.034607783,0.17929846,0.15570189,0.22475308,0.072355404,0.1780518,0.45432657,-0.087103516,0.33032683,-0.50581723,-0.005460801,-0.032869093,0.12286993,0.4707847,0.061590403,-0.26341256,-0.20698053,-0.113024585,0.41061166,0.10892294,0.12922609,-0.14896162",""
"org.axonframework.test","test","embeddingsNode2Vec","-1.1263655,-0.19713025,0.5426593,-0.07793324,-0.40300247,-0.09164055,-0.33892766,-0.26102895,0.34534085,-0.33814484,-0.39343777,0.11661082,0.6964633,0.33709413,-0.30277207,0.40365845,0.358388,0.21961564,0.44694957,-0.21809943,0.39025354,-0.119626574,-0.1134357,0.15561354,0.09975888,-0.4243993,-0.2984709,-0.42756397,0.19064583,0.29514894,0.13859753,-0.06835077",""
"org.axonframework.test.deadline","deadline","embeddingsNode2Vec","-0.98757225,-0.19714224,0.4199594,-0.12977353,-0.47995812,-0.072636664,-0.48035565,-0.1281691,0.34217566,-0.15432039,-0.20547113,0.1353034,0.45384863,0.200007,-0.12974131,0.48596752,0.35948446,0.23754638,0.538909,-0.342192,0.3426104,0.0046872646,2.8786744e-05,0.305037,0.0066557466,-0.22334522,-0.23435485,-0.3560181,0.2123249,0.2562365,0.11253178,-0.08802937",""
"org.axonframework.test.eventscheduler","eventscheduler","embeddingsNode2Vec","-1.3121835,-0.009612745,0.42254958,-0.11590363,-0.3349943,-0.119238734,-0.42102954,0.19134963,0.056020334,-0.33275414,-0.089018874,0.043517467,0.76943636,0.3159187,-0.2903971,0.5703969,0.5630427,0.31476218,0.21428408,-0.12721099,0.33437103,-0.08049569,-0.12228694,0.26244876,-0.016281346,-0.5134285,-0.29758796,-0.32533363,-0.05667465,0.21640612,0.18583159,-0.17130643",""
"org.axonframework.test.server","server","embeddingsNode2Vec","-0.36654514,0.40153572,0.838746,-0.69087654,-0.8553429,0.12566881,-0.018707829,-0.31148198,0.185228,0.12407318,-0.4897279,-0.24010113,0.09733895,-0.25763744,0.090752706,-0.6515874,0.353876,-0.0062875235,0.7886377,-0.69199115,-0.39854866,-0.4398197,-0.03255789,0.6792776,0.24817427,-0.6177224,0.1906468,0.10725897,0.9141949,0.7936414,0.8456586,-0.40743715",""
"org.axonframework.test.saga","saga","embeddingsNode2Vec","-1.3083432,-0.032486323,0.46972042,-0.21526328,-0.43172047,0.0659563,-0.085960634,-0.015462388,0.10608098,-0.33991575,-0.2028341,0.15249342,0.8107757,0.30473337,-0.37756968,0.5053839,0.5124959,0.1779107,0.31220657,-0.10780892,0.23575217,-0.04823224,-0.06617427,0.20483612,0.05949177,-0.5014823,-0.2962656,-0.12741262,0.15904894,0.20043412,0.3542459,-0.07665359",""
"org.axonframework.test.utils","utils","embeddingsNode2Vec","-1.2264786,-0.0583109,0.2368483,-0.33580506,-0.36236992,-0.2161694,-0.048940077,0.053366084,0.38422552,-0.18851882,-0.22349201,-0.11263635,0.44124433,0.3911032,-0.21192233,0.5430506,0.54261816,0.12567288,0.34503806,-0.14498033,0.24277867,0.04329407,0.08983484,0.18624534,-0.13002461,-0.42155814,-0.3325164,-0.16623323,0.14316426,0.33260205,0.22405146,-0.25479305",""
"org.axonframework.test.aggregate","aggregate","embeddingsNode2Vec","-0.76639897,-0.3424539,0.6275297,-0.043654956,-0.18144381,-0.056243148,-0.15547428,-0.16876665,0.33898422,-0.35893455,-0.29357082,0.31960362,0.4009234,0.42380032,-0.25455505,0.23355456,0.16800582,0.11625002,0.19774844,-0.34759933,0.36320168,-0.16158508,-0.051550798,0.25259104,0.11391224,-0.29747906,-0.20298174,-0.57020754,0.25438008,0.25096148,0.05635213,0.112842225",""
"org.axonframework.test.matchers","matchers","embeddingsNode2Vec","-1.0290089,-0.17170559,0.48254266,-0.114323206,-0.3618442,-0.025934217,-0.30466706,-0.30079997,0.37302908,-0.2730918,-0.39087927,0.1086203,0.51612884,0.32060403,-0.23385735,0.40992868,0.43590245,0.12660056,0.46256834,-0.13267638,0.40400094,-0.08365286,-0.05391732,0.18962498,-0.017340893,-0.45709756,-0.27384317,-0.3808463,0.2404411,0.20175582,0.12605076,-0.12447506",""
"org.axonframework.commandhandling","commandhandling","embeddingsNode2Vec","-0.33406514,-0.055324804,-0.03290472,-0.021209119,-0.36377132,-0.25370243,0.3824239,0.1712755,0.18292579,-0.16209231,-0.0869193,0.03445122,0.34860572,0.376951,-0.17065352,0.34867394,0.4783362,0.017768443,0.45469317,-0.48779112,0.08430625,-0.073257625,0.16264585,0.3208893,0.24134329,-0.28184643,-0.31363213,-0.15550849,0.44115648,0.3219336,-0.053335093,-0.24563998",""
"org.axonframework.commandhandling.distributed","distributed","embeddingsNode2Vec","-0.18725502,-0.1959175,-0.09850245,-0.0687968,-0.597485,-0.45578724,0.334508,0.44335553,0.43531454,-0.2790577,-0.14544792,-0.063842505,0.07834648,0.46717575,0.0213251,0.4130909,0.4492462,-0.26655203,0.44902626,-0.58114904,-0.013570978,-0.028206551,0.14037068,0.5133366,0.026391929,-0.15530965,-0.29228356,-0.07272888,0.29077986,0.15204573,-0.14909592,-0.43299627",""
"org.axonframework.commandhandling.callbacks","callbacks","embeddingsNode2Vec","-0.38862067,0.14286877,-0.07523522,-0.3254289,-0.7428858,-0.43730676,0.60571605,0.24677452,0.21970646,-0.035607934,-0.21211205,-0.14369963,0.4557922,0.45508376,-0.16595928,0.5089092,0.48174202,0.21865413,0.6655695,-0.43543446,0.06198973,-0.1459208,0.14003213,0.45485142,0.27782825,-0.13698226,-0.2388084,0.05357535,0.3831665,0.46265346,-0.081820354,-0.2702389",""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter","embeddingsNode2Vec","-0.19746464,-0.090545565,-0.3550566,-0.05441878,-0.55581266,-0.5343394,0.55779636,0.47535652,0.6370867,-0.08953191,-0.21663898,-0.038863193,0.23405164,0.6271579,-0.030165726,0.4958675,0.41156456,-0.3411111,0.68511707,-0.5288994,-0.048840944,0.044568595,0.22694278,0.45535296,0.1652055,-0.1251651,-0.5202058,-0.07368134,0.36360496,0.045738228,-0.12800045,-0.4345573",""
"org.axonframework.commandhandling.gateway","gateway","embeddingsNode2Vec","-0.42173517,0.008258886,0.009040378,-0.28992334,-0.6104254,-0.34568635,0.3776568,0.18534906,0.16100712,-0.11511696,-0.23218787,0.021640452,0.3921733,0.47426087,-0.21726513,0.44479927,0.50367963,0.21709049,0.43008325,-0.3878234,0.1500586,-0.1529336,0.13775949,0.4690892,0.18914874,-0.18542968,-0.2474251,-0.12049825,0.2897618,0.37843278,0.009384414,-0.17736734",""
"org.axonframework.common","common","embeddingsNode2Vec","-0.14732054,-0.26797846,0.47133565,0.07876027,-0.18155797,0.018392183,0.23835242,0.39508027,0.31262344,-0.1234918,0.10142257,0.20173626,0.10829785,0.10403575,-0.018762138,0.124160394,0.24340637,-0.010281436,0.18976034,-0.3817202,0.074432634,-0.0015525881,-0.053829446,0.39744124,-0.02682081,-0.4721463,-0.35453412,-0.10514821,0.5366779,0.16537562,0.051794432,-0.21111792",""
"org.axonframework.common.annotation","annotation","embeddingsNode2Vec","-0.17439684,0.07726908,0.24694093,0.008979682,-0.4623549,0.02964809,0.242456,0.52349335,0.092878416,-0.33598703,-0.3942542,0.19575754,0.15729803,0.552244,-0.3692618,0.14792894,0.1023501,0.3698157,0.49175033,-0.45267347,-0.062128205,-0.18719018,-0.07955415,0.37497282,0.3451814,-0.23547018,-0.4063863,-0.13562667,0.55627406,-0.0433932,0.18554538,-0.020585585",""
"org.axonframework.common.caching","caching","embeddingsNode2Vec","-0.1366533,0.026323702,0.5272817,-0.2146319,-0.3244312,0.08209472,0.49256867,0.06753289,0.14575747,-0.23290795,-0.31879345,0.20937917,-0.0039024118,0.37123933,-0.27466604,0.08499433,0.17356339,0.095346436,0.37334153,-0.27004158,0.0408541,-0.023315798,0.079007044,0.36523357,0.13513009,-0.30935624,-0.4918142,-0.09486161,0.6659882,-5.462847e-06,0.09127644,-0.05161553",""
"org.axonframework.common.digest","digest","embeddingsNode2Vec","-0.26397735,-0.07869745,0.07749743,-0.0069500506,-0.41689026,-0.07493579,0.06986379,0.33567634,0.18926936,-0.19214727,-0.07470666,0.1577377,0.06465562,0.35261562,-0.11409543,0.25836578,0.38871667,0.010789001,0.38921893,-0.4765269,-0.033895828,-0.10042218,0.1083757,0.47264463,0.1371205,-0.30173144,-0.26608917,-0.13249563,0.3476026,0.0954105,0.057304956,-0.19187453",""
"org.axonframework.common.io","io","embeddingsNode2Vec","0.039417207,0.14139317,0.7206576,0.17958891,-0.14662443,-0.018874424,0.057548486,0.27553812,-0.15084751,-0.27878383,0.013584693,0.18276781,0.14407389,0.02444,0.1280696,-0.11796611,0.36613876,-0.009548943,-0.07422716,-0.4069654,-0.22223276,0.040920485,-0.12727809,0.34670278,-0.040197592,-0.51489866,-0.54370564,-0.33850002,0.54412776,0.15476884,0.19325304,-0.18942048",""
"org.axonframework.common.jdbc","jdbc","embeddingsNode2Vec","-0.30642745,-0.42796108,0.5859708,-0.34730703,-0.20880073,0.28401852,0.2936459,0.55764174,0.7910899,-0.23515938,-0.12932782,0.2525297,-0.038985755,-0.32916242,0.31910864,0.30005813,0.29669365,-0.14091465,0.10368325,-0.248536,0.14233445,0.19539195,-0.23102067,0.10044577,-0.342717,-0.64666456,-0.43871218,0.11220157,0.4752341,0.3298352,0.1870858,-0.32161754",""
"org.axonframework.common.jpa","jpa","embeddingsNode2Vec","-0.27848977,-0.56393254,0.33057243,-0.004204715,-0.2237123,0.099289134,-0.26947907,0.1961364,0.2633639,0.15496007,0.3940637,0.58974046,-0.20662495,0.38400704,-0.050468773,0.30583888,0.40534484,0.12516585,0.106294535,-0.32453632,-0.21324871,0.03281895,0.023719396,0.2488475,0.015727004,-0.5056549,-0.42517757,-0.3777912,0.35598162,0.06939693,0.027088355,-0.14883527",""
"org.axonframework.common.legacyjpa","legacyjpa","embeddingsNode2Vec","-0.032133684,-0.3293708,0.19322413,0.19925511,-0.32127205,0.39925453,-0.23649594,0.3862436,0.065575264,0.33863285,0.39647266,0.7059241,-0.24158712,0.47896284,-0.09373383,0.39558515,0.5451559,0.10564916,0.49399778,-0.21913208,-0.60523564,-0.041295033,-0.14705925,0.1769937,0.12423297,-0.70327157,-0.4448743,-0.33998916,0.61635345,-0.36726013,0.13274114,-0.3825781",""
"org.axonframework.common.lock","lock","embeddingsNode2Vec","-0.1592969,-0.27761826,0.44180694,0.09920508,-0.23072791,0.15719752,0.18320967,0.05636181,0.21444106,-0.18063931,-0.37386075,0.3759471,0.2233553,0.49365267,-0.2926131,0.09855406,0.297423,0.06460135,0.32596803,-0.15440647,0.109539665,-0.3905743,-0.17937411,0.3057205,0.31031322,-0.65300006,-0.34500873,-0.39107862,0.3306974,-0.13152276,-0.008020204,-0.093780935",""
"org.axonframework.common.property","property","embeddingsNode2Vec","-0.48170727,-0.107568786,0.5076318,-0.08245584,-0.19530585,0.15559585,0.16314575,0.18548419,0.14510413,-0.33921987,-0.21799445,0.21562953,0.08159026,0.29494953,-0.28229457,0.2120075,0.3243401,0.12718602,0.18841499,-0.13498831,0.04680287,-0.08378528,-0.09395011,0.18092205,0.024036385,-0.52750456,-0.33237484,-0.20974582,0.44833556,0.06450024,0.16206612,-0.14194593",""
"org.axonframework.common.stream","stream","embeddingsNode2Vec","-0.017975323,-0.07387409,0.49331254,0.14267342,-0.24123119,-0.039687898,0.038386025,0.19654107,-0.10124649,-0.25081226,0.10154997,0.31894,0.3209068,0.17819765,0.05347931,0.012567182,0.4415275,0.0405782,-0.12086777,-0.4407174,-0.11905619,-0.029669436,-0.04367027,0.31655285,0.11935251,-0.42454526,-0.21207882,-0.35889632,0.45031738,0.29113108,0.11196828,-0.22744815",""
"org.axonframework.common.transaction","transaction","embeddingsNode2Vec","-0.18820037,0.0360702,0.40735134,-0.07942338,-0.33681637,0.1220829,-0.06322452,0.33976072,-0.11250932,-0.18972382,0.08189887,0.42906988,0.16418608,0.014625248,0.07670118,0.3125574,0.36157525,0.17591189,0.21160692,-0.33438957,0.03191379,0.17699206,0.0140882665,0.5068285,-0.067725524,-0.277401,-0.30838615,-0.24637057,0.493303,0.09676822,-7.66561e-05,-0.11609046",""
"org.axonframework.deadline","deadline","embeddingsNode2Vec","-0.43784475,-0.26652423,0.39928687,-0.19142354,-0.62899405,-0.13537957,-0.32096988,0.11757497,0.20181632,-0.21650864,0.03853868,0.30375654,0.1000932,0.106096245,-0.27769446,0.53532976,0.039389282,0.11786375,0.25595665,-0.50163084,0.14012867,-0.06292267,0.10892045,0.7250802,-0.18342587,-0.035161465,-0.294693,-0.29914406,0.37809893,-0.0081233615,0.2379461,0.124946505",""
"org.axonframework.deadline.annotation","annotation","embeddingsNode2Vec","-0.31220278,-0.097897306,0.362821,-0.025523705,-0.4478443,0.060579624,0.011676723,0.032822378,-0.037873525,-0.30776265,-0.3155159,0.23560193,0.28475463,0.43382636,-0.43060598,0.14276521,0.14005353,0.35835156,0.3390831,-0.38034582,0.11566304,-0.2655872,-0.015741218,0.43254364,0.29826173,-0.30558056,-0.18947382,-0.30403084,0.47760877,0.119633116,0.20378605,-0.02766657",""
"org.axonframework.deadline.dbscheduler","dbscheduler","embeddingsNode2Vec","-0.2794078,-0.25805804,0.35591272,-0.14557959,-0.5975453,0.006818336,-0.1389328,0.3576045,0.28359005,-0.036610413,0.114581905,0.22606753,-0.048181213,0.029542705,-0.062849335,0.4131496,0.10762378,-0.011663987,0.2989482,-0.56640583,0.03487842,0.061354186,0.16021618,0.57548106,-0.11251433,-0.069635555,-0.56982577,-0.11065984,0.46220025,-0.013227748,0.16410166,0.15680157",""
