"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.config.ModuleConfiguration","ModuleConfiguration","embeddingsFastRandomProjection","-0.021103777,0.042937685,0.23903728,-0.20402354,-0.1482445,0.20047706,0.15348281,-0.159002,0.18535939,0.15454857,0.095339745,-0.23902538,-0.111812904,0.42494047,0.5121888,-0.40006012,-0.117627755,-0.28043267,-0.034261424,-0.15122363,-0.10542609,-0.124032766,-0.2993583,0.39806145,0.39391857,0.09395639,-0.3974539,-0.09842098,0.12283954,0.09557922,-0.08062272,0.1852697,-0.09443238,-0.32161433,-0.2506716,-0.38293093,0.1313679,0.05138827,-0.29781246,-0.19361785,-0.10927108,-0.69038105,0.3885627,-0.06748772,-0.1693567,0.2103079,0.19446035,-0.21265236,0.35793358,0.10280296,0.06755073,-0.36726552,0.35302383,0.13685891,-0.1519669,0.21574914,-0.39683855,0.11045771,-0.26434058,0.007597171,-0.014720616,-0.08499579,0.3269881,-0.0838812",""
"org.axonframework.config.Configuration","Configuration","embeddingsFastRandomProjection","-0.022500733,0.0714934,0.17926824,-0.16402617,-0.15269473,0.19613582,0.07908528,-0.15836209,0.12654224,0.079397246,0.102862805,-0.16439569,-0.007971741,0.42905372,0.4645339,-0.25027502,0.048029386,-0.33184433,-0.011951205,-0.118435726,-0.10503633,-0.09337488,-0.22887215,0.26664594,0.33323354,0.07201787,-0.2824826,0.014987655,0.1268986,0.016342033,-0.14132825,0.121246316,-0.093536034,-0.2862568,-0.14519672,-0.45760638,0.07797547,0.021066306,-0.30113724,-0.24807096,-0.105179474,-0.55034614,0.3014504,-0.026217036,-0.03488672,0.111982875,0.089061536,-0.13214664,0.15591975,0.086384386,0.06291129,-0.23540285,0.3822423,0.17180207,-0.08140576,0.25337285,-0.3143305,0.27222443,-0.20359455,-0.060687378,-0.037635334,-0.16781671,0.30032998,-0.10270628",""
"org.axonframework.config.DefaultConfigurer","DefaultConfigurer","embeddingsFastRandomProjection","0.02348134,0.06758945,0.18677086,-0.07880377,-0.17501691,0.21069387,-0.009970158,-0.18044172,0.122488335,0.05784985,0.028117608,-0.17157337,-0.048568897,0.40295017,0.34382215,-0.24245377,0.00546059,-0.31193995,-0.007394287,-0.109548494,-0.107058436,-0.02847232,-0.22318509,0.26177177,0.22287002,0.07464846,-0.21280113,0.044740044,0.07729605,0.029217344,-0.19610538,0.063273475,-0.032391377,-0.30009848,-0.15622279,-0.38152444,0.100467354,0.018127093,-0.26275605,-0.19789104,-0.11157097,-0.5427543,0.2657265,-0.034103006,-0.017873343,0.08220202,0.06062048,-0.1451722,0.16436306,0.0771658,0.09646665,-0.15806724,0.38398507,0.13066106,-0.10389969,0.21100102,-0.30745605,0.18303873,-0.12828769,-0.0606962,-0.095311336,-0.14922479,0.242872,-0.14273475",""
"org.axonframework.commandhandling.DuplicateCommandHandlerResolver","DuplicateCommandHandlerResolver","embeddingsFastRandomProjection","0.09971119,0.28289533,0.29590988,-0.30489054,0.17063895,0.14846106,-0.09558746,-0.007065056,0.27854753,0.046780765,0.16190477,-0.34031564,-0.22056738,0.10501189,0.50128347,-0.049420618,-0.10248118,0.029935893,0.10216145,0.022377819,0.022027863,-0.0646445,-0.37337345,0.27692664,0.29426482,0.14411221,-0.22975841,0.04563305,-0.05258806,-0.040450815,-0.08619686,0.35831314,-0.0657096,-0.07550165,-0.33367056,-0.19236666,0.06334385,-0.19819096,-0.10615577,-0.119728215,-0.3563187,-0.43414748,0.5686786,-0.046830744,-0.15406168,0.13519137,0.1546076,-0.1258719,0.24214539,-0.07154149,0.07572012,-0.0017140508,0.2783835,-0.14072159,0.13562007,0.18141413,0.053471446,0.36903152,-0.5447737,0.16647431,-0.024687555,-0.032572012,0.17755124,-0.17264995",""
"org.axonframework.queryhandling.DefaultQueryBusSpanFactory","DefaultQueryBusSpanFactory","embeddingsFastRandomProjection","0.37868306,0.49983072,0.047560535,0.12166393,-0.02737039,0.19015113,-0.15131968,-0.26986653,-0.14550659,-0.0045389514,-0.1026964,-0.09601973,-0.4239199,-0.006287053,0.68279356,0.07304086,0.09657007,0.11506238,0.036263637,-0.15016808,-0.3165139,-0.23941824,-0.093396515,0.24554673,0.11480671,-0.009263404,0.033453465,-0.43841073,0.05930587,-0.29269934,0.34754306,0.2504365,-0.13076821,-0.14289272,-0.088764906,-0.10984592,0.29796225,0.15559441,0.10193315,0.16590065,-0.28991735,-0.044254478,0.13859253,-0.19718447,-0.2440744,0.07324567,0.26066214,-0.21931855,-0.1299445,0.056670688,-0.25412416,-0.08826129,0.0013059746,0.013819108,0.26023743,-0.14988711,0.12527888,-0.3406132,-0.15003626,-0.29387176,-0.0034094062,-0.18633047,-0.13313295,-0.043849997",""
"org.axonframework.serialization.AnnotationRevisionResolver","AnnotationRevisionResolver","embeddingsFastRandomProjection","-0.019009214,-0.15918031,0.019854076,-0.13353279,-0.03816686,0.47373492,0.124923505,-0.08383741,0.026296712,-0.2037104,-0.0014348887,-0.23603693,-0.031422637,0.2954888,0.3496126,-0.3411742,0.12106395,-0.13088179,-0.029257834,0.007411033,-0.024580553,-0.15452224,-0.36136946,0.22513808,-0.041561,0.045966737,-0.03979098,0.04491522,0.20238566,0.027266204,0.017778693,0.19508308,-0.0949533,-0.09060389,-0.33779204,-0.19899127,0.054079536,-0.111280955,0.09010401,-0.20427379,-0.004046116,-0.6710489,0.3919714,0.26828992,-0.012168618,0.3242732,0.16249704,-0.035693415,0.25257596,-0.21771917,-0.24266878,-0.21397807,-0.16204551,-0.04812087,0.13726123,0.26915598,-0.035589702,0.21131858,-0.5162728,-0.081328586,-0.0710597,-0.13128878,0.27773118,0.015749395",""
"org.axonframework.eventhandling.DefaultEventBusSpanFactory$Builder","DefaultEventBusSpanFactory$Builder","embeddingsFastRandomProjection","0.13890934,0.19470333,0.0134455785,0.10767244,-0.048321955,0.10710055,-0.2448225,-0.1643514,0.14011876,0.04954637,0.08142486,-0.468377,-0.4366716,0.34617075,0.17154846,0.10304833,-0.05543787,-0.13253175,0.10484543,0.057893198,-0.20256498,-0.18276939,-0.08544159,0.7834589,0.23042187,0.081684224,-0.2391966,-0.03127622,-0.19156776,-0.08539503,0.09846727,0.32683706,-0.11424674,-0.058300946,-0.17821515,-0.20825215,0.17099872,0.23798278,-0.156909,-0.12866324,-0.099900775,-0.3830686,0.27545726,0.07501528,-0.07932566,0.12554613,0.32724983,-0.23990816,0.01840803,0.14547154,0.08638669,-0.13759375,0.009720914,0.19221419,0.25319827,0.15607804,-0.033967406,0.08781455,0.007982947,-0.0035979636,0.08231107,-0.059904814,0.03999067,0.065836325",""
"org.axonframework.messaging.annotation.MultiParameterResolverFactory","MultiParameterResolverFactory","embeddingsFastRandomProjection","-0.28051046,0.06031573,0.19549876,-0.34647584,0.06692924,-0.004854135,-0.089990266,0.08938899,0.037962575,0.28381607,-0.0033384543,0.04482963,-0.3814311,0.18258461,0.37466925,-0.071364015,0.036087837,-0.30804944,-0.012145326,-0.1053251,-0.22987008,0.22239038,0.1128373,0.46373057,0.2521711,-0.14623031,-0.42996073,-0.28918463,0.22772941,-0.092650816,0.1852818,0.042880274,0.0170387,0.2932287,-0.04777772,-0.2531261,-0.19049935,0.0076796263,-0.3264723,-0.60983443,-0.20109795,-0.38283467,0.31478643,0.03288754,-0.07631554,0.3736443,0.16941509,0.0071930587,0.24112648,-0.035364546,0.028625492,-0.17200105,-0.19104913,-0.054150708,-0.2247038,0.21451357,-0.12259621,-0.14928296,0.07211338,-0.3319338,0.012539894,-0.022033125,0.13445698,-0.01626318",""
"org.axonframework.serialization.upcasting.event.EventUpcaster","EventUpcaster","embeddingsFastRandomProjection","0.37184045,0.044679407,0.60354173,-0.0011035856,0.030063834,0.19202024,0.047695894,-0.31562543,0.0707003,0.10313075,0.10127842,-0.3713774,-0.2095609,0.16883877,0.32672167,-0.15369153,-0.13801008,-0.28852713,0.33822602,0.20496121,-0.3398956,-0.4028286,-0.05415467,0.32488728,0.2064324,0.28793558,-0.09232318,0.17475401,0.1325638,0.094934806,-0.26530296,-0.111196175,-0.07873015,0.00266012,-0.25381735,-0.26781878,-0.22359821,0.16356756,-0.08542569,-0.27768078,-0.090466514,-0.261845,0.51667434,-0.26660398,0.044849087,0.283358,0.03999079,-0.17989625,-0.0068165557,0.14389427,0.025144681,-0.26843014,0.008767492,0.06403009,-0.105910204,0.28941482,0.033218015,0.256201,-0.25058147,-0.17446247,0.058083612,-0.11438784,0.1046939,-0.039424554",""
"org.axonframework.eventhandling.DefaultEventBusSpanFactory","DefaultEventBusSpanFactory","embeddingsFastRandomProjection","0.18027453,0.21542883,0.103073895,0.25371745,-0.04729459,0.21279731,-0.36941135,0.012804896,0.041612953,0.20488063,0.0155714825,-0.31775662,-0.645098,0.4159664,0.19603227,0.22875813,-0.022488814,-0.030991003,0.10207007,-0.013180546,-0.25528666,-0.22033086,-0.10257072,0.73163545,0.25966775,0.028115423,0.0058180764,0.13320714,-0.17691056,-0.21179461,0.07226103,0.2886059,-0.07679856,-0.055711977,-0.23713711,-0.18185872,0.28211275,0.26400912,-0.031937853,0.014988288,-0.075079605,-0.14700481,0.21891978,-0.06980114,-0.15562426,0.02930891,0.39970994,-0.28394467,0.046588033,0.16329259,0.035532624,-0.034474965,0.13733555,0.13032053,0.41502362,-0.117106244,-0.24655263,-0.057875976,-0.07388899,-0.10388462,0.08870802,-0.086601384,-0.07221027,0.049946092",""
