"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.conversion.ChainedConverter$RouteCalculator","ChainedConverter$RouteCalculator","embeddingsNode2Vec","0.5631049,-0.52778643,-0.7289349,-1.36445,0.373435,-0.1352991,0.45879027,-0.1300608,-0.37963587,1.6322007,0.9563196,-0.9141448,-0.13712233,0.6630571,0.730793,0.09223205,-0.5491041,0.48326665,0.26055765,-0.51010716,-1.5164613,-0.6041463,-0.52978474,0.300608,0.34157455,-0.5716318,-0.04705381,-0.41991085,0.50753844,-0.48967963,-0.31884256,0.74449456,-0.7985352,-0.7967051,-0.75923574,-0.5375685,-1.4422113,0.524278,0.10521789,0.22275864,0.22731349,-0.49433747,0.42492387,0.045855112,0.47510952,-0.7771921,0.4376686,0.22534418,0.03526737,-0.8720782,0.5351466,0.3034819,0.23178011,0.3352755,-0.84663886,-0.9391026,0.89138407,-0.47349012,0.9764457,0.023648057,-0.22835484,0.2892896,0.79827523,0.039972585",""
"org.axonframework.conversion.ChainedConverter$Route","ChainedConverter$Route","embeddingsNode2Vec","0.42765293,-0.5513917,-0.6380697,-1.083733,0.3237006,0.021695051,0.39832813,-0.12238319,-0.07718039,1.5714971,0.8527066,-0.7722135,-0.028310247,0.65609795,0.47522295,0.062624075,-0.50455964,0.4432595,0.3327647,-0.5728204,-1.4733784,-0.7118892,-0.56138635,0.36557513,0.5916681,-0.64757615,-0.04578352,-0.5332232,0.46651196,-0.46767157,-0.5245318,0.598515,-0.7277918,-0.6656244,-0.54772115,-0.39047092,-1.371327,0.5504959,0.116582,0.26946104,-0.07215121,-0.41201565,0.22640894,0.09651642,0.42669922,-0.7997044,0.33914283,0.2241091,-0.026644958,-0.7181601,0.5710597,0.44590488,0.27320242,0.3330559,-0.96264225,-0.8572083,0.81918424,-0.42935276,0.6417523,0.021863986,-0.15146823,0.30201787,0.75286424,-0.103265025",""
"org.axonframework.conversion.ContentTypeConverter","ContentTypeConverter","embeddingsNode2Vec","0.52744806,-0.29338357,-0.6428974,-1.1595612,0.34835866,0.31684676,0.336419,-0.41833767,-0.23937103,1.557959,1.0133305,-0.6225234,0.13938075,0.40695623,0.62918055,0.11013693,-0.43268013,0.357534,0.2835062,-0.2712719,-1.276747,-0.579448,-0.28085074,0.56236637,0.2724447,-0.343668,0.09920293,-0.22934745,0.613114,-0.39932546,-0.44377223,0.6450782,-0.66798556,-0.2479362,-0.59669244,-0.5386632,-1.5252327,0.47243878,0.2902269,-0.1152125,-0.03360107,-0.48461038,0.5607346,-0.018185657,0.26551673,-0.47849882,0.2960869,0.07097838,0.116209924,-0.84129715,0.6910617,0.5867844,0.22433592,0.15250918,-0.6988331,-0.7274896,0.78711706,-0.29657814,0.8087314,-0.028464654,0.027622033,0.2262153,0.67586637,0.07547326",""
"org.axonframework.common.Assert","Assert","embeddingsNode2Vec","0.16963887,-0.5767452,0.21236882,0.08531459,0.24764428,-0.049032446,0.3364759,-0.20618577,-0.4989548,1.4685197,0.3246261,-0.35943264,-0.012536805,0.011210658,0.05103159,0.019913854,-0.57866347,-0.26455733,0.18985187,-0.43568736,-0.70844465,-0.41717348,-0.48814648,-0.3480539,0.24080975,-0.59134394,-0.27448532,-0.9579002,-0.30014914,-0.20700802,-0.36212578,0.38926363,0.23755084,-0.69372207,-0.15919892,0.15747496,-0.6296425,-0.1701344,0.026720883,0.24277799,-0.22294804,0.13335775,-0.085696176,0.36732098,0.3781803,-0.34220016,0.14068902,0.6089714,-0.36864412,-0.33545923,0.22198121,-0.15906209,-0.2866287,0.2403578,-0.1698855,-0.12280882,0.07731409,-0.40127656,-0.30564907,-0.14069714,-0.90186673,-0.17069966,0.31823808,-0.047229387",""
"org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter","JsonNodeToByteArrayConverter","embeddingsNode2Vec","0.7767226,-0.071309745,-0.46139875,-1.0520781,0.59875596,0.42144385,0.23887093,0.16418129,0.08165452,1.1320783,1.2566462,-0.36844543,0.064776756,0.24365346,0.664433,0.04969703,-0.055028025,0.36732095,-0.22300106,-0.29104248,-0.8948777,-0.3787259,-0.3944718,0.5234026,0.14252521,-0.33458126,0.014108098,-0.0019446693,0.69329673,-0.13180134,-0.2923031,0.6372119,-0.63004005,-0.21704955,-0.3344132,-0.22899845,-0.98061955,0.341427,0.124002084,-0.13580243,0.49396732,-0.34511098,0.4309459,-0.1636171,0.16822442,-0.5118744,0.24415764,0.1105615,0.14642237,-0.60550463,0.48062047,0.30353838,0.19038314,-0.0939601,-1.1538639,-0.56160206,0.45537677,-0.13212673,0.5091972,0.18860064,-0.014310657,0.23634495,0.57449126,0.046611927",""
"org.axonframework.conversion.ConversionException","ConversionException","embeddingsNode2Vec","0.8633201,0.29755434,-0.4481293,-1.0555238,0.57811517,0.2623666,0.30060673,0.06623049,0.44520932,1.0511148,1.1003226,-0.32045716,-0.10140329,0.14964586,0.17948765,-0.085628405,0.0065701874,0.04320801,-0.3226892,-0.19409023,-0.88679606,-0.32765463,-0.4638863,0.44011277,0.33084643,-0.30621663,0.45011595,0.38526955,0.95313966,0.411598,-0.47238788,0.36202672,-0.27863157,-0.2893128,-0.10524695,-0.28156352,-0.7895264,0.30544925,0.21018203,-0.40362924,0.43230766,-0.25475308,-0.015686754,-0.32124323,0.33179304,-1.032264,0.5037011,-0.14035892,-0.16395906,-0.39758343,0.69854915,0.11482857,0.18434535,-0.2488627,-0.9561393,-0.7851659,0.42913353,-0.17903416,0.26404366,0.065966785,0.09853897,0.3372984,0.40154114,-0.13012289",""
"org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter","ObjectNodeToJsonNodeConverter","embeddingsNode2Vec","0.4471209,0.05325786,-0.22287215,-0.8258604,0.60852647,0.43336478,0.4436868,0.09557916,-0.41748035,1.3658581,1.137955,-0.35236305,0.27690074,0.4890018,0.9290566,0.12721767,0.20039882,0.31190196,-0.063087955,-0.108816124,-0.7525577,-0.33800942,-0.2542509,0.3929736,0.17558363,0.030974094,0.20685412,-0.00963227,0.45512977,-0.20586981,-0.17948732,0.51609594,-0.6315869,-0.11794314,-0.6654294,-0.4088245,-0.75184184,0.34650585,-0.11712948,-0.02957897,0.39746442,-0.44135553,0.6582309,-0.0007351576,0.12370068,-0.27683997,0.26009044,0.14804736,0.24841186,-0.8446965,0.5469883,0.20632899,0.36599386,0.105986655,-0.7669437,-0.5933649,1.0029279,-0.32288557,0.8497241,0.12791042,-0.03978978,-0.014955334,0.38705665,-0.034838773",""
"org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter","JsonNodeToObjectNodeConverter","embeddingsNode2Vec","0.82278293,0.1290722,-0.32744077,-1.2530062,0.600281,0.4070148,0.3936384,0.1886485,-0.17854466,1.0019897,1.0385945,-0.23764513,0.30791065,0.26203194,0.6124092,0.3884335,0.28335112,0.0934837,-0.22964887,-0.34140465,-0.6104739,-0.37186414,-0.32914206,0.46507928,0.13982116,-0.24875791,0.11171929,0.19339713,0.49040583,-0.24457628,-0.16808796,0.5038443,-0.7925062,0.012290404,-0.30324635,-0.35195652,-0.82264405,0.5151308,-0.07828432,-0.2046126,0.27130637,-0.28972942,0.475419,-0.31605324,0.17098267,-0.47053856,0.4819307,0.19441795,0.21393222,-0.8935104,0.6713978,0.22080463,0.15694521,-0.032669056,-0.8002011,-0.6539523,0.73152983,-0.29721642,0.6533683,0.28757548,0.1480866,0.033612344,0.65356547,-0.115910366",""
"org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter","ByteArrayToJsonNodeConverter","embeddingsNode2Vec","0.2697861,-0.06986143,-0.56940013,-1.052611,0.5720337,0.65027237,0.3698804,-0.023454446,0.23513572,1.1257604,1.2243463,-0.15594308,0.28370324,0.236052,0.6731363,0.07637842,-0.018383523,0.15914598,-0.13858643,-0.0128512615,-0.58845776,-0.26433593,-0.4169013,0.35168207,0.22420382,-0.36588806,0.18072923,0.11075493,0.37035072,-0.12988508,-0.12593673,0.49410322,-0.43932173,-0.34211013,-0.21218294,-0.47309276,-0.9404464,0.32572913,0.03523784,-0.1509042,0.38000226,-0.35462898,0.31924883,-0.24211198,0.2975129,-0.28788063,0.3546955,-0.09758353,0.06883465,-0.7165593,0.44912308,0.5342528,0.35756937,0.013727459,-0.96349365,-0.99122065,0.75060254,-0.1401896,0.78556985,0.020539308,0.091644615,0.10598297,0.46218485,-0.029345594",""
"org.axonframework.conversion.jackson.JacksonConverter","JacksonConverter","embeddingsNode2Vec","0.27555618,0.04434294,-0.43169132,-0.65764254,0.5731211,0.723218,0.18087707,-0.014460785,0.09858117,0.9775204,0.9932094,-0.30403483,0.5201185,0.3910635,0.56885225,0.16967271,0.01609601,0.093080625,-0.35307777,0.084905006,-0.5215866,-0.21657889,-0.096582845,0.2755897,-0.015551392,0.16120103,0.18875599,-0.00453567,0.44160464,-0.25274223,0.042807892,0.51410955,-0.549809,-0.21224001,-0.58859766,-0.23358537,-0.612303,0.24049067,-0.09547291,-0.17576711,0.16280636,-0.36628565,0.21147712,-0.16969045,0.10007977,-0.2950064,0.032349057,0.26032874,0.18524791,-0.9766311,0.36486545,0.3382818,0.44788986,-0.13308369,-0.5618876,-0.37148333,0.85427535,-0.16628763,0.74186355,0.38210773,0.11574939,0.046096727,0.5825403,-0.14185055",""
