"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"axon-modelling-5.1.2","axon-modelling-5.1.2","embeddingsNode2Vec","-0.16064519,0.19499849,-0.24015813,0.12093015,0.29703307,-0.5047814,0.25136366,-0.0785235,0.03558756,-0.3012022,0.058538247,0.46769845,0.3046311,0.6025697,-0.17614308,0.46463048",""
"axon-server-connector-5.1.2","axon-server-connector-5.1.2","embeddingsNode2Vec","-0.15670314,0.18212165,-0.2559749,0.11400334,0.26952055,-0.51081884,0.22605112,-0.07606349,0.060464945,-0.31282568,0.061335485,0.45864302,0.28195113,0.6030839,-0.1669035,0.39904436",""
"axon-update-5.1.2","axon-update-5.1.2","embeddingsNode2Vec","-0.20586391,0.21187745,-0.23044533,0.1296082,0.28619066,-0.51014286,0.22074969,-0.082908854,0.0076174573,-0.3135371,0.041925743,0.4257895,0.28923714,0.6244999,-0.18103829,0.4211605",""
"axon-common-5.1.2","axon-common-5.1.2","embeddingsNode2Vec","-0.17738512,0.22587296,-0.25059313,0.13418095,0.2772639,-0.47354507,0.23041043,-0.06042545,0.022930752,-0.3167286,0.07933594,0.4654531,0.2708432,0.5772251,-0.18506357,0.45844406",""
"axon-test-5.1.2","axon-test-5.1.2","embeddingsNode2Vec","-0.16612606,0.1993963,-0.23285505,0.13636273,0.26800442,-0.5055214,0.2300994,-0.07248374,0.034408264,-0.29446432,0.06592791,0.4628216,0.30458778,0.61008435,-0.1982215,0.42650414",""
"axon-tracing-opentelemetry-5.1.2","axon-tracing-opentelemetry-5.1.2","embeddingsNode2Vec","-0.18081032,0.16547659,-0.23782554,0.10769828,0.29714814,-0.50463897,0.26210976,-0.073137686,0.02729844,-0.32013193,0.037254702,0.4246856,0.32061037,0.58332086,-0.17580946,0.4030418",""
"axon-eventsourcing-5.1.2","axon-eventsourcing-5.1.2","embeddingsNode2Vec","-0.1890085,0.20803498,-0.26488924,0.11938443,0.27954522,-0.5138073,0.20753251,-0.06330139,0.028348502,-0.27754447,0.0699848,0.4260052,0.25730646,0.6251868,-0.18471448,0.38809937",""
"axon-metrics-micrometer-5.1.2","axon-metrics-micrometer-5.1.2","embeddingsNode2Vec","-0.16795814,0.19019985,-0.24786037,0.10393375,0.28808698,-0.52785975,0.25411293,-0.06342338,0.01952682,-0.2934442,0.053730346,0.453239,0.31413603,0.58748835,-0.16975349,0.42616868",""
"axon-conversion-5.1.2","axon-conversion-5.1.2","embeddingsNode2Vec","-0.16733244,0.19663583,-0.26330608,0.10818963,0.31466118,-0.5544549,0.24178253,-0.07429894,0.05803841,-0.2790294,0.028916487,0.45395234,0.31341895,0.57996356,-0.16053484,0.43112814",""
"axon-messaging-5.1.2","axon-messaging-5.1.2","embeddingsNode2Vec","-0.19732821,0.18321969,-0.25969076,0.1493742,0.31264356,-0.6071616,0.2632015,-0.105387576,0.038827762,-0.30976543,0.078089885,0.43448374,0.26698303,0.59963596,-0.17680836,0.39378148",""
"axoniq-spring-boot-autoconfigure-5.1.2","axoniq-spring-boot-autoconfigure-5.1.2","embeddingsNode2Vec","-0.17935929,0.17232963,-0.2420723,0.106844515,0.30145958,-0.5224585,0.19511122,-0.08237913,0.06301183,-0.2993422,0.083074085,0.46932706,0.24846838,0.60946155,-0.1714419,0.39799616",""
