"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: Overview/Node_label_combination_count.cypher"
"Git,Update,Change",138781,46.07511138556337,""
"Git,Change,Create",44929,14.91636952783145,""
"Git,Change,Delete",22781,7.563262352011581,""
"Java,ByteCode,Method,Member",13516,4.487294409805913,""
"Java,ByteCode,Parameter",13306,4.417574683107242,""
"Git,Commit",11390,3.7814651766565075,""
"File,Git",8286,2.7509412163104323,""
"Java,ByteCode,ParameterizedType,Bound",7286,2.4189425177453305,""
"Java,ByteCode,Bound",7245,2.405330571104161,""
"Git,Change,Rename",7018,2.329966866529883,""
"Java,ByteCode,Member,Field",3605,1.1968553083271913,""
"Java,ByteCode,Bound,WildcardType",2950,0.9793961607670497,""
"Java,Value,ByteCode,Annotation",2936,0.9747481789871384,""
"Xml,Element",2162,0.7177811862977497,""
"Java,ByteCode,Constructor,Method,Member",2109,0.7001852552737994,""
"Xml,Text",1450,0.4813981129193973,""
"Java,ByteCode,Bound,TypeVariable",1111,0.3688505541058279,""
"Java,ByteCode,Method,Member,Lambda",968,0.32137474021101836,""
"Type,File,Java,ByteCode,ResolvedDuplicateType",890,0.2954788417229405,""
"Type,File,Java,Class,ByteCode",845,0.2805389002875109,""
"Json,Key",739,0.2453470382396101,""
"Value,Json,Scalar",723,0.2400350590625685,""
"Java,Value,ByteCode,Primitive",673,0.2234351241343134,""
"Type,File,Java,ByteCode,JavaType",649,0.21546715536875094,""
"Java,ByteCode,Method,Member,GenericDeclaration",578,0.19189524777062872,""
"Type,File,Java,ByteCode,ExternalType",412,0.13678346380882186,""
"Git,Change,Copy",298,0.0989356121724003,""
"Author,Git,Person",295,0.09793961607670498,""
"Value,Array",289,0.09594762388531436,""
"Committer,Git,Person",242,0.08034368505275459,""
"Type,File,Java,Class,ByteCode,GenericDeclaration",237,0.07868369155992909,""
"Value,Property",211,0.07005172539723645,""
"Type,File,Java,ByteCode,Interface",191,0.06341175142593442,""
"Java,Value,Class,ByteCode",190,0.0630797527273693,""
"Value,Json,Object",182,0.0604237631388485,""
"Java,ByteCode,Bound,GenericArrayType",166,0.05511178396180687,""
"Maven,Dependency",165,0.05477978526324177,""
"Java,Value,ByteCode,Enum",153,0.05079580088046055,""
"Package,File,Directory,Java",141,0.04681181649767933,""
"Git,Tag",129,0.04282783211489811,""
"Value,ManifestEntry",120,0.039839843827812194,""
"Type,File,Java,ByteCode,Throwable,JavaType",105,0.03485986334933567,""
"Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",95,0.03153987636368465,""
"Artifact,Maven",93,0.03087587896655445,""
"Type,File,Java,ByteCode,Interface,GenericDeclaration",85,0.028219889378033637,""
"Type,File,Java,Class,ByteCode,Throwable",55,0.01825992842108059,""
"File,Directory",44,0.014607942736864473,""
"Type,File,Java,ByteCode,Annotation",44,0.014607942736864473,""
"Xml,Namespace",36,0.011951953148343658,""
"Type,File,Java,ByteCode,PrimitiveType",30,0.009959960956953048,""
"Type,File,Java,ByteCode,Enum",28,0.009295963559822845,""
"Type,File,Java,ByteCode,Throwable,ResolvedDuplicateType",22,0.007303971368432236,""
"Type,File,Java,ByteCode,Throwable,ExternalType",21,0.006971972669867135,""
"Maven,Plugin",21,0.006971972669867135,""
"Maven,Configuration",21,0.006971972669867135,""
"jQAssistant,Rule,Concept",19,0.006307975272736931,""
"Xml,Attribute",18,0.005975976574171829,""
"Maven,PluginExecution",16,0.005311979177041626,""
"Maven,ExecutionGoal",16,0.005311979177041626,""
"File,Java,Properties",12,0.003983984382781219,""
"File,Java,ServiceLoader",10,0.0033199869856510166,""
"File,Artifact,Jar,Archive,Zip,Java",9,0.0029879882870859145,""
"File,Java,Manifest",9,0.0029879882870859145,""
"Java,ManifestSection",9,0.0029879882870859145,""
"Type,File,Java,ByteCode,Void",9,0.0029879882870859145,""
"File,Maven,Xml,Pom,Document",9,0.0029879882870859145,""
"Value,Array,Json",6,0.0019919921913906097,""
"Maven,Exclusion",5,0.0016599934928255083,""
"Java,ByteCode,Constructor,Method,Member,GenericDeclaration",4,0.0013279947942604065,""
"File",3,0.0009959960956953048,""
"File,Json",2,0.0006639973971302032,""
"Repository,File,Git",1,0.0003319986985651016,""
"Git,Branch",1,0.0003319986985651016,""
"Analyze,Task,jQAssistant",1,0.0003319986985651016,""
