"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: Overview/Node_label_count.cypher"
"Git",235892,77.66682141293218,""
"Change",215304,70.88827648877431,""
"Update",139782,46.022856352663446,""
"Java",61474,20.24015303417917,""
"ByteCode",61279,20.1759497963605,""
"Create",45409,14.950793980041025,""
"Delete",22797,7.5058523720627015,""
"Member",21215,6.9849830272979005,""
"Bound",18848,6.205654494391271,""
"Method",17511,5.765450756116594,""
"Parameter",13447,4.427389430500818,""
"File",12359,4.069168288209981,""
"Commit",11584,3.814001573802445,""
"ParameterizedType",7316,2.4087737840071384,""
"Rename",7018,2.3106580667252725,""
"Value",5523,1.8184332434488006,""
"Type",3782,1.2452135663087747,""
"Field",3704,1.2195322711813066,""
"Xml",3675,1.2099840973518634,""
"Annotation",2999,0.9874128729138063,""
"WildcardType",2950,0.9712797516157815,""
"Constructor",2163,0.7121620687270968,""
"Element",2162,0.7118328213536677,""
"Json",1652,0.5439166609048376,""
"Text",1450,0.4774086914721638,""
"Class",1355,0.4461301909964013,""
"TypeVariable",1112,0.36612307925313525,""
"Lambda",986,0.3246379102010714,""
"ResolvedDuplicateType",925,0.3045538204218976,""
"GenericDeclaration",905,0.29796887295331603,""
"JavaType",766,0.2522034880466741,""
"Key",739,0.243313808964089,""
"Scalar",723,0.2380458509892237,""
"Primitive",685,0.22553445079891873,""
"Person",539,0.1774643342782733,""
"ExternalType",536,0.17647659215798606,""
"Maven",346,0.11391959120646115,""
"Array",299,0.09844496465529445,""
"Copy",298,0.09811571728186538,""
"Author",297,0.0977864699084363,""
"Interface",280,0.09218926456014198,""
"Committer",242,0.079677864369837,""
"Property",212,0.06980044316696463,""
"Throwable",206,0.06782495892639016,""
"Directory",190,0.06255700095152492,""
"Enum",183,0.060252269337521355,""
"Object",182,0.059923021964092285,""
"GenericArrayType",166,0.05465506398922703,""
"Dependency",165,0.054325816615797946,""
"Package",145,0.047740869147216376,""
"Tag",132,0.04346065329263835,""
"ManifestEntry",120,0.03950968481148942,""
"Artifact",102,0.033583232089766005,""
"ExternalAnnotation",96,0.03160774784919153,""
"Namespace",36,0.011852905443446825,""
"PrimitiveType",31,0.010206668576301432,""
"Configuration",21,0.006914194842010648,""
"Plugin",21,0.006914194842010648,""
"jQAssistant",20,0.006584947468581569,""
"Concept",19,0.006255700095152491,""
"Rule",19,0.006255700095152491,""
"Attribute",18,0.005926452721723412,""
"ExecutionGoal",16,0.0052679579748652556,""
"PluginExecution",16,0.0052679579748652556,""
"Properties",12,0.003950968481148941,""
"ServiceLoader",11,0.003621721107719863,""
"Archive",9,0.002963226360861706,""
"Document",9,0.002963226360861706,""
"Jar",9,0.002963226360861706,""
"Manifest",9,0.002963226360861706,""
"ManifestSection",9,0.002963226360861706,""
"Pom",9,0.002963226360861706,""
"Void",9,0.002963226360861706,""
"Zip",9,0.002963226360861706,""
"Exclusion",5,0.0016462368671453923,""
"Analyze",1,0.00032924737342907847,""
"Branch",1,0.00032924737342907847,""
"Repository",1,0.00032924737342907847,""
"Task",1,0.00032924737342907847,""
