"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",215304,22.342783612137314,""
"MODIFIES",215304,22.342783612137314,""
"UPDATES",139782,14.50562450707733,""
"CREATES",52725,5.471441617201444,""
"INVOKES",37551,3.8967871819351623,""
"DELETES",29815,3.0939977584990244,""
"CHANGED_TOGETHER_WITH",26193,2.7181312523348966,""
"COMMITTED",23168,2.404217342576066,""
"DEPENDS_ON",22889,2.375264621642937,""
"OF_TYPE",22204,2.3041799842264745,""
"DECLARES",21666,2.2483500062263917,""
"OF_RAW_TYPE",17460,1.8118799551699805,""
"HAS",14602,1.5152961686937032,""
"HAS_PARENT",14170,1.4704661491843427,""
"RETURNS",13073,1.3566269561246938,""
"HAS_COMMIT",11584,1.202108671288033,""
"READS",9677,1.0042131916483334,""
"HAS_ACTUAL_TYPE_ARGUMENT",8445,0.8763646174920094,""
"HAS_FILE",8331,0.8645344734548172,""
"RENAMES",7018,0.7282802706404882,""
"OF_GENERIC_TYPE",6036,0.6263749948113404,""
"RESOLVES_TO",4289,0.44508322610103357,""
"WRITES",4042,0.4194512473537836,""
"CONTAINS",4005,0.41561163920136146,""
"HAS_NEW_NAME",3662,0.38001743389647585,""
"RETURNS_GENERIC",3616,0.3752438670042755,""
"ANNOTATED_BY",2943,0.30540450790751733,""
"REQUIRES",2267,0.2352538292308331,""
"HAS_FIRST_CHILD",2162,0.22435764393341912,""
"HAS_LAST_CHILD",2162,0.22435764393341912,""
"HAS_ELEMENT",2144,0.22248972645386245,""
"EXTENDS",1569,0.16282014030135736,""
"HAS_UPPER_BOUND",1541,0.15991449088871362,""
"HAS_TEXT",1450,0.15047113029762152,""
"HAS_SIBLING",1432,0.14860321281806482,""
"THROWS",1429,0.14829189323813874,""
"DECLARES_TYPE_PARAMETER",1088,0.11290523431987048,""
"IMPLEMENTS",868,0.0900751317919555,""
"HAS_KEY",739,0.07668838985513263,""
"HAS_VALUE",739,0.07668838985513263,""
"CATCHES",552,0.05728280270640489,""
"EXTENDS_GENERIC",519,0.05385828732721764,""
"HAS_LOWER_BOUND",441,0.04576397824913868,""
"IS",407,0.042235689676642735,""
"IMPLEMENTS_GENERIC",379,0.03933004026399901,""
"COPIES",298,0.03092441160599394,""
"HAS_AUTHOR",297,0.030820638412685234,""
"HAS_COMMITTER",242,0.02511311278070649,""
"CONTAINS_VALUE",170,0.017641442862479765,""
"HAS_COMPONENT_TYPE",166,0.017226350089244946,""
"DECLARES_DEPENDENCY",165,0.017122576895936242,""
"TO_ARTIFACT",165,0.017122576895936242,""
"HAS_TAG",132,0.013698061516748992,""
"ON_COMMIT",132,0.013698061516748992,""
"COPY_OF",119,0.012349010003735835,""
"HAS_DEFAULT",39,0.004047154539039475,""
"DECLARES_NAMESPACE",36,0.003735834959113362,""
"REQUIRES_CONCEPT",28,0.0029056494126437258,""
"REQUIRES_TYPE_PARAMETER",24,0.002490556639408908,""
"HAS_CONFIGURATION",21,0.0021792370594827947,""
"IS_ARTIFACT",21,0.0021792370594827947,""
"USES_PLUGIN",21,0.0021792370594827947,""
"INCLUDES_CONCEPT",19,0.0019716906728653853,""
"HAS_ATTRIBUTE",18,0.001867917479556681,""
"OF_NAMESPACE",18,0.001867917479556681,""
"HAS_EXECUTION",16,0.0016603710929392718,""
"HAS_GOAL",16,0.0016603710929392718,""
"HAS_ROOT_ELEMENT",12,0.001245278319704454,""
"DESCRIBES",9,0.0009339587397783405,""
"EXCLUDES",5,0.0005188659665435225,""
"THROWS_GENERIC",5,0.0005188659665435225,""
"HAS_HEAD",2,0.00020754638661740898,""
"HAS_BRANCH",1,0.00010377319330870449,""
"HAS_PROPERTY",1,0.00010377319330870449,""
