"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: domains/overview/queries/overview/Node_label_count.cypher"
"Git",484820,89.96574465479297,""
"Change",451117,83.71163902362989,""
"Update",264852,49.1473276748303,""
"Create",99583,18.479144321517776,""
"Delete",61316,11.378118887944568,""
"Java",46699,8.66571162417841,""
"ByteCode",46490,8.626928486863836,""
"Rename",24820,4.60572951266854,""
"File",19861,3.685511436386377,""
"Commit",16390,3.041414452563955,""
"Member",14268,2.647644991408329,""
"Bound",13630,2.5292543617112084,""
"Method",12043,2.2347623094708795,""
"Parameter",9457,1.7548905721718928,""
"Value",7226,1.3408944987325895,""
"Annotation",5604,1.0399076627314463,""
"ParameterizedType",5029,0.9332076438037908,""
"Xml",4281,0.794404836572684,""
"Type",2979,0.5527988806704102,""
"Element",2512,0.466139908776123,""
"Field",2225,0.41288268193744965,""
"Text",1692,0.31397640352277073,""
"Constructor",1606,0.29801779199619965,""
"InternalJavaType",1219,0.22620404012662973,""
"ConnectedInternalJavaType",1206,0.22379169187261316,""
"Json",1176,0.2182247343633442,""
"WildcardType",1079,0.20022490508337445,""
"StronglyConnectedComponent",1027,0.19057551206730822,""
"Class",934,0.17331794378857437,""
"TypeMembers",932,0.17294681328795644,""
"TypeVariable",868,0.1610706372681826,""
"Lambda",839,0.1556892450092226,""
"JavaType",797,0.147895504496246,""
"GenericDeclaration",706,0.1310090667181301,""
"Person",555,0.10298871392147621,""
"Copy",546,0.10131862666869552,""
"Key",523,0.09705062591158929,""
"Scalar",513,0.09519497340849964,""
"ResolvedDuplicateType",488,0.09055584215077547,""
"ExternalType",413,0.07663844837760302,""
"Maven",395,0.07329827387204163,""
"Primitive",364,0.06754575111246368,""
"Author",307,0.0569685318448526,""
"Interface",273,0.05065931333434776,""
"Committer",248,0.0460201820766236,""
"Directory",207,0.03841200681395599,""
"Array",205,0.03804087631333806,""
"Dependency",205,0.03804087631333806,""
"Throwable",162,0.030061570550052513,""
"Enum",156,0.028948179048198717,""
"Package",150,0.02783478754634492,""
"Tag",147,0.027278091795418024,""
"Property",134,0.024865743541401465,""
"Object",130,0.024123482540165598,""
"GenericArrayType",109,0.020226612283677312,""
"Artifact",107,0.01985548178305938,""
"PackageMembers",90,0.016700872527806953,""
"ManifestEntry",88,0.01632974202718902,""
"ExternalAnnotation",73,0.013546263272554529,""
"Record",56,0.010391654017302104,""
"Namespace",44,0.00816487101359451,""
"PrimitiveType",39,0.007237044762049679,""
"Attribute",22,0.004082435506797255,""
"Configuration",20,0.003711305006179323,""
"Plugin",20,0.003711305006179323,""
"jQAssistant",20,0.003711305006179323,""
"Concept",19,0.0035257397558703567,""
"Rule",19,0.0035257397558703567,""
"ExecutionGoal",13,0.00241234825401656,""
"PluginExecution",13,0.00241234825401656,""
"Properties",13,0.00241234825401656,""
"ServiceLoader",13,0.00241234825401656,""
"ArtifactMembers",12,0.0022267830037075937,""
"Archive",11,0.0020412177533986275,""
"Document",11,0.0020412177533986275,""
"Jar",11,0.0020412177533986275,""
"Manifest",11,0.0020412177533986275,""
"ManifestSection",11,0.0020412177533986275,""
"Pom",11,0.0020412177533986275,""
"Scm",11,0.0020412177533986275,""
"Void",11,0.0020412177533986275,""
"Zip",11,0.0020412177533986275,""
"WeaklyConnectedComponent",7,0.001298956752162763,""
"Exclusion",6,0.0011133915018537968,""
"Analyze",1,0.00018556525030896616,""
"Branch",1,0.00018556525030896616,""
"Repository",1,0.00018556525030896616,""
"Task",1,0.00018556525030896616,""
