"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: domains/overview/queries/overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",519420,27.542798662682642,""
"MODIFIES",519420,27.542798662682642,""
"UPDATES",315032,16.70490729718193,""
"CREATES",137839,7.3090597683291225,""
"DELETES",94459,5.00878907026749,""
"COMMITTED",35146,1.8636540791626122,""
"RENAMES",27910,1.4799574730959002,""
"INVOKES",23108,1.2253263091472613,""
"DEPENDS_ON",21776,1.154695590617568,""
"HAS_PARENT",21377,1.1335381906976374,""
"HAS_COMMIT",17573,0.9318270395813061,""
"HAS_FILE",17486,0.927213771929592,""
"DECLARES",14316,0.7591211459993159,""
"OF_TYPE",13885,0.7362669120005939,""
"OF_RAW_TYPE",13668,0.7247602559037895,""
"HAS",9872,0.5234733133071562,""
"HAS_NEW_NAME",9825,0.5209810882539312,""
"RETURNS",8081,0.42850363095979827,""
"CHANGED_TOGETHER_WITH",8041,0.42638258836130905,""
"READS",6059,0.32128492760616484,""
"HAS_ACTUAL_TYPE_ARGUMENT",5987,0.31746705092888405,""
"OF_GENERIC_TYPE",4623,0.24513949832039938,""
"SIMILAR",3466,0.18378834115909676,""
"CONTAINS",3423,0.18150822036572076,""
"RETURNS_GENERIC",2697,0.1430112972031402,""
"RESOLVES_TO",2687,0.14248103655351788,""
"HAS_FIRST_CHILD",2316,0.12280836645252975,""
"HAS_LAST_CHILD",2316,0.12280836645252975,""
"IN_WEAKLY_CONNECTED_COMPONENT",2316,0.12280836645252975,""
"HAS_ELEMENT",2294,0.12164179302336063,""
"WRITES",2109,0.11183197100534767,""
"REQUIRES",1595,0.08457657361476033,""
"HAS_TEXT",1548,0.08208434856153543,""
"HAS_SIBLING",1526,0.08091777513236631,""
"COPIES",1486,0.07879673253387702,""
"EXTENDS",1383,0.0733350478427671,""
"IN_STRONGLY_CONNECTED_COMPONENT",1312,0.06957019723044862,""
"HAS_UPPER_BOUND",1115,0.05912406243288889,""
"DECLARES_TYPE_PARAMETER",876,0.046450832906915394,""
"IMPLEMENTS",827,0.04385255572376602,""
"THROWS",668,0.035421411394771105,""
"ANNOTATED_BY",630,0.03340642092620628,""
"COPY_OF",468,0.02481619840232466,""
"CATCHES",451,0.023914755297966717,""
"EXTENDS_GENERIC",412,0.021846738764439662,""
"HAS_AUTHOR",314,0.016650184398140908,""
"HAS_LOWER_BOUND",312,0.01654413226821644,""
"IMPLEMENTS_GENERIC",301,0.015960845553631888,""
"HAS_COMMITTER",255,0.013521646565369208,""
"HAS_KEY",248,0.013150464110633583,""
"HAS_VALUE",248,0.013150464110633583,""
"IS",201,0.01065823905740867,""
"DECLARES_DEPENDENCY",182,0.009650743823126258,""
"TO_ARTIFACT",182,0.009650743823126258,""
"HAS_TAG",152,0.008059961874259293,""
"ON_COMMIT",152,0.008059961874259293,""
"HAS_COMPONENT_TYPE",111,0.005885893210807773,""
"HAS_DEFAULT",57,0.0030224857028472345,""
"CONTAINS_VALUE",54,0.002863407507960538,""
"DECLARES_NAMESPACE",44,0.0023331468583382164,""
"REQUIRES_CONCEPT",28,0.0014847298189425012,""
"REQUIRES_TYPE_PARAMETER",26,0.0013786776890180367,""
"HAS_ATTRIBUTE",22,0.0011665734291691082,""
"OF_NAMESPACE",22,0.0011665734291691082,""
"HAS_CONFIGURATION",18,0.0009544691693201793,""
"IS_ARTIFACT",18,0.0009544691693201793,""
"USES_PLUGIN",18,0.0009544691693201793,""
"HAS_EXECUTION",13,0.0006893388445090183,""
"HAS_GOAL",13,0.0006893388445090183,""
"HAS_ROOT_ELEMENT",12,0.0006363127795467863,""
"DESCRIBES",11,0.0005832867145845541,""
"USES_LICENSE",9,0.00047723458466008965,""
"THROWS_GENERIC",5,0.0002651303248111609,""
"EXCLUDES",4,0.00021210425984892877,""
"INCLUDES_CONCEPT",4,0.00021210425984892877,""
"HAS_HEAD",2,0.00010605212992446438,""
"HAS_PROPERTY",2,0.00010605212992446438,""
"HAS_BRANCH",1,5.302606496223219e-05,""
