"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: Overview/Node_label_count.cypher"
"TS",1586,44.776962168266515,""
"Json",1445,40.79616036137775,""
"Type",1073,30.293619424054206,""
"Value",806,22.755505364201017,""
"Key",668,18.85940146809712,""
"Scalar",603,17.02428006775833,""
"NPM",464,13.099943534726144,""
"Dependency",338,9.542631281761716,""
"Primitive",291,8.215697346132128,""
"Declared",289,8.15923207227555,""
"ExternalDeclaration",212,5.9853190287972895,""
"Object",175,4.940711462450593,""
"Literal",156,4.4042913608131,""
"Union",119,3.3596837944664033,""
"ObjectMember",102,2.8797289666854886,""
"File",92,2.5974025974025974,""
"Script",91,2.5691699604743086,""
"Function",85,2.3997741389045735,""
"Property",65,1.8351214003387917,""
"Directory",50,1.4116318464144553,""
"FunctionParameter",40,1.129305477131564,""
"Parameter",33,0.9316770186335404,""
"Local",29,0.818746470920384,""
"Package",29,0.818746470920384,""
"Variable",24,0.6775832862789385,""
"jQAssistant",20,0.564652738565782,""
"Concept",19,0.5364201016374929,""
"Rule",19,0.5364201016374929,""
"Interface",17,0.4799548277809147,""
"Intersection",17,0.4799548277809147,""
"TypeAlias",16,0.4517221908526256,""
"Array",12,0.33879164313946925,""
"ExternalModule",11,0.3105590062111801,""
"NotIdentified",11,0.3105590062111801,""
"EnumMember",8,0.2258610954263128,""
"Call",6,0.16939582156973462,""
"Engine",6,0.16939582156973462,""
"Member",6,0.16939582156973462,""
"Module",6,0.16939582156973462,""
"Project",6,0.16939582156973462,""
"TypeParameterReference",6,0.16939582156973462,""
"Complex",5,0.1411631846414455,""
"TypeParameter",4,0.1129305477131564,""
"Tuple",3,0.08469791078486731,""
"Enum",2,0.0564652738565782,""
"Analyze",1,0.0282326369282891,""
"Class",1,0.0282326369282891,""
"Constructor",1,0.0282326369282891,""
"Method",1,0.0282326369282891,""
"Scan",1,0.0282326369282891,""
"Task",1,0.0282326369282891,""
