"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"react-router-7.13.0/react-router","react-router",0.5265642889440257,0.5265642889440257,364,13,""
"react-router-7.13.0/utils","utils",0.42750353091578214,0.42750353091578214,166,0,""
"react-router-7.13.0/react-router","react-router",0.37143400675298904,0.37143400675298904,110,4,""
"react-router-7.13.0/router","router",0.278330547526744,0.278330547526744,52,1,""
"react-router-7.13.0/history","history",0.21943913073779434,0.21943913073779434,37,0,""
"react-router-7.13.0/routeModules","routeModules",0.20104756668503534,0.20104756668503534,27,6,""
"react-router-7.13.0/data","data",0.18401425859130868,0.18401425859130868,7,0,""
"react-router-7.13.0/entry","entry",0.18325619403720694,0.18325619403720694,11,0,""
"react-router-7.13.0/context","context",0.13695395056104862,0.13695395056104862,25,12,""
"react-router-7.13.0/mode","mode",0.12054150449169312,0.12054150449169312,5,0,""
"react-router-7.13.0/build","build",0.1183892457460864,0.1183892457460864,11,0,""
"react-router-7.13.0/instrumentation","instrumentation",0.10583500811160926,0.10583500811160926,14,0,""
"react-router-7.13.0/dev","dev",0.09788036282218003,0.09788036282218003,4,2,""
"react-router-7.13.0/actions","actions",0.09381919440897706,0.09381919440897706,3,0,""
"react-router-7.13.0/headers","headers",0.09381919440897706,0.09381919440897706,3,1,""
"react-router-7.13.0/dom-export","dom-export",0.08815329956067083,0.08815329956067083,19,0,""
"react-router-7.13.0/links","links",0.0828576064718268,0.0828576064718268,6,0,""
"react-router-7.13.0/cookies","cookies",0.08197127992176717,0.08197127992176717,19,4,""
"react-router-7.13.0/fog-of-war","fog-of-war",0.07467887536771425,0.07467887536771425,3,5,""
"react-router-7.13.0/future","future",0.07467887536771425,0.07467887536771425,3,0,""
"react-router-7.13.0/routes","routes",0.0711705329493276,0.0711705329493276,6,9,""
"react-router-7.13.0/server","server",0.07002593741460736,0.07002593741460736,38,19,""
"react-router-7.13.0/react-router","react-router",0.06895096712882848,0.06895096712882848,9,4,""
"react-router-7.13.0/errors","errors",0.06428232416554355,0.06428232416554355,5,0,""
"react-router-7.13.0/server","server",0.06353729321741969,0.06353729321741969,4,0,""
"react-router-7.13.0/cookieStorage","cookieStorage",0.058616429317237324,0.058616429317237324,2,2,""
"react-router-7.13.0/href","href",0.058616429317237324,0.058616429317237324,2,0,""
"react-router-7.13.0/memoryStorage","memoryStorage",0.058616429317237324,0.058616429317237324,2,1,""
"react-router-7.13.0/route-data","route-data",0.042827271894006966,0.042827271894006966,6,0,""
"react-router-7.13.0/register","register",0.03987864667884243,0.03987864667884243,1,0,""
"react-router-7.13.0/dom","dom",0.03941409688539496,0.03941409688539496,6,0,""
"react-router-7.13.0/errors","errors",0.03941409688539496,0.03941409688539496,1,0,""
"react-router-7.13.0/serializes-to","serializes-to",0.03941409688539496,0.03941409688539496,1,0,""
"react-router-7.13.0/entry","entry",0.03526477848231929,0.03526477848231929,1,0,""
"react-router-7.13.0/routeMatching","routeMatching",0.03526477848231929,0.03526477848231929,2,0,""
"react-router-7.13.0/serverHandoff","serverHandoff",0.03526477848231929,0.03526477848231929,2,0,""
"react-router-7.13.0/single-fetch","single-fetch",0.03526477848231929,0.03526477848231929,5,4,""
"react-router-7.13.0/route-module","route-module",0.032993153753879685,0.032993153753879685,3,0,""
"react-router-7.13.0/errors","errors",0.029536870243433513,0.029536870243433513,2,0,""
"react-router-7.13.0/turbo-stream","turbo-stream",0.029017545683224254,0.029017545683224254,1,0,""
"react-router-7.13.0/warnings","warnings",0.02252785635883348,0.02252785635883348,2,0,""
"react-router-7.13.0/sessions","sessions",0.022398452662422234,0.022398452662422234,3,10,""
"react-router-7.13.0/browser","browser",0.011409508097370036,0.011409508097370036,1,0,""
"react-router-7.13.0/crypto","crypto",0.010849677339160186,0.010849677339160186,2,0,""
"react-router-7.13.0/markup","markup",0.0021599283966318274,0.0021599283966318274,1,0,""
"react-router-7.13.0/vite","vite",4.520166536004406e-09,4.520166536004406e-09,15,5,""
"react-router-7.13.0/config","config",4.417397325178543e-09,4.417397325178543e-09,16,37,""
"react-router-7.13.0/routes","routes",3.946403734183584e-09,3.946403734183584e-09,25,28,""
"react-router-7.13.0/typegen","typegen",2.8989637796767953e-09,2.8989637796767953e-09,4,10,""
"react-router-7.13.0/babel","babel",2.5161136018387433e-09,2.5161136018387433e-09,8,1,""
"react-router-7.13.0/has-dependency","has-dependency",2.4695578866165933e-09,2.4695578866165933e-09,2,1,""
"react-router-7.13.0/load-dotenv","load-dotenv",2.4695578866165933e-09,2.4695578866165933e-09,2,4,""
"react-router-7.13.0/optimize-deps-entries","optimize-deps-entries",2.4695578866165933e-09,2.4695578866165933e-09,2,3,""
"react-router-7.13.0/validate-plugin-order","validate-plugin-order",2.4695578866165933e-09,2.4695578866165933e-09,2,3,""
"react-router-7.13.0/virtual-module","virtual-module",2.4695578866165933e-09,2.4695578866165933e-09,2,0,""
"react-router-7.13.0/warn-on-client-source-maps","warn-on-client-source-maps",2.4695578866165933e-09,2.4695578866165933e-09,2,12,""
"react-router-7.13.0/node-adapter","node-adapter",1.8423664629775384e-09,1.8423664629775384e-09,2,5,""
"react-router-7.13.0/resolve-relative-route-file-path","resolve-relative-route-file-path",1.8423664629775384e-09,1.8423664629775384e-09,2,3,""
"react-router-7.13.0/resolve-file-url","resolve-file-url",1.7850493342389066e-09,1.7850493342389066e-09,2,5,""
"react-router-7.13.0/ssr-externals","ssr-externals",1.710878262063579e-09,1.710878262063579e-09,2,0,""
"react-router-7.13.0/config","config",1.7041197187048797e-09,1.7041197187048797e-09,5,0,""
"react-router-7.13.0/cache","cache",1.651225643954929e-09,1.651225643954929e-09,3,0,""
"react-router-7.13.0/remove-exports","remove-exports",1.651225643954929e-09,1.651225643954929e-09,2,30,""
"react-router-7.13.0/combine-urls","combine-urls",1.5307662620090583e-09,1.5307662620090583e-09,1,0,""
"react-router-7.13.0/manifest","manifest",1.5307662620090583e-09,1.5307662620090583e-09,2,0,""
"react-router-7.13.0/route-chunks","route-chunks",1.5307662620090583e-09,1.5307662620090583e-09,8,310,""
"react-router-7.13.0/styles","styles",1.5307662620090583e-09,1.5307662620090583e-09,3,22,""
"react-router-7.13.0/with-props","with-props",1.5307662620090583e-09,1.5307662620090583e-09,1,29,""
"react-router-7.13.0/virtual-route-config","virtual-route-config",9.387916246075348e-10,9.387916246075348e-10,1,4,""
"react-router-7.13.0/virtual-route-modules","virtual-route-modules",9.387916246075348e-10,9.387916246075348e-10,4,6,""
"react-router-7.13.0/has-rsc-plugin","has-rsc-plugin",7.245780930156207e-10,7.245780930156207e-10,2,3,""
"react-router-7.13.0/profiler","profiler",5.767348124243631e-10,5.767348124243631e-10,5,9,""
"react-router-7.13.0/plugin","plugin",5.494552721852662e-10,5.494552721852662e-10,9,150,""
"react-router-7.13.0/build","build",4.294058930602024e-10,4.294058930602024e-10,1,8,""
"react-router-7.13.0/dev","dev",4.294058930602024e-10,4.294058930602024e-10,1,11,""
"react-router-7.13.0/format","format",4.294058930602024e-10,4.294058930602024e-10,1,0,""
"react-router-7.13.0/useJavascript","useJavascript",4.294058930602024e-10,4.294058930602024e-10,1,6,""
"react-router-7.13.0/context","context",3.5526071533069327e-10,3.5526071533069327e-10,3,0,""
"react-router-7.13.0/params","params",3.4468602874258783e-10,3.4468602874258783e-10,1,0,""
"react-router-7.13.0/route","route",3.4468602874258783e-10,3.4468602874258783e-10,2,0,""
"react-router-7.13.0/detectPackageManager","detectPackageManager",1.7335345669582144e-10,1.7335345669582144e-10,1,1,""
"react-router-7.13.0/vite-node","vite-node",1.7335345669582144e-10,1.7335345669582144e-10,2,13,""
"react-router-7.13.0/routes","routes",1.2107245188705298e-10,1.2107245188705298e-10,9,0,""
"react-router-7.13.0/generate","generate",1.0574686588105424e-11,1.0574686588105424e-11,5,24,""
"react-router-7.13.0/utils","utils",1.7676911044981956e-17,1.7676911044981956e-17,36,29,""
"react-router-7.13.0/prompts-prompt-base","prompts-prompt-base",9.066961765294045e-18,9.066961765294045e-18,8,14,""
"react-router-7.13.0/prompts-select","prompts-select",4.995100693125947e-18,4.995100693125947e-18,3,6,""
"react-router-7.13.0/prompts-confirm","prompts-confirm",2.424996755540365e-18,2.424996755540365e-18,1,5,""
"react-router-7.13.0/prompts-multi-select","prompts-multi-select",2.424996755540365e-18,2.424996755540365e-18,1,5,""
"react-router-7.13.0/prompts-text","prompts-text",2.424996755540365e-18,2.424996755540365e-18,1,8,""
"react-router-7.13.0/copy-template","copy-template",1.890721142377378e-18,1.890721142377378e-18,2,33,""
"react-router-7.13.0/loading-indicator","loading-indicator",1.890721142377378e-18,1.890721142377378e-18,1,12,""
"react-router-7.13.0/prompt","prompt",1.890721142377378e-18,1.890721142377378e-18,1,2,""
"react-router-7.13.0/manifest","manifest",2.447187415663652e-26,2.447187415663652e-26,3,0,""
"react-router-7.13.0/normalizeSlashes","normalizeSlashes",2.447187415663652e-26,2.447187415663652e-26,2,3,""
"react-router-7.13.0/flatRoutes","flatRoutes",1.3742249767362958e-26,1.3742249767362958e-26,1,15,""
"react-router-7.13.0/utils","utils",2.729837011187251e-27,2.729837011187251e-27,46,0,""
"react-router-7.13.0/flatten","flatten",1.3649185055917634e-27,1.3649185055917634e-27,1,0,""
"react-router-7.13.0/unflatten","unflatten",1.3649185055917634e-27,1.3649185055917634e-27,1,0,""
"react-router-7.13.0/fileStorage","fileStorage",4.328445860608477e-30,4.328445860608477e-30,1,9,""
"react-router-7.13.0/server","server",4.328445860608477e-30,4.328445860608477e-30,2,3,""
"react-router-7.13.0/stream","stream",4.328445860608477e-30,4.328445860608477e-30,4,11,""
"react-router-7.13.0/is-react-router-repo","is-react-router-repo",3.905063168314949e-33,3.905063168314949e-33,2,5,""
"react-router-7.13.0/arcTableSessionStorage","arcTableSessionStorage",1.9525315841574744e-33,1.9525315841574744e-33,1,6,""
"react-router-7.13.0/binaryTypes","binaryTypes",1.9525315841574744e-33,1.9525315841574744e-33,1,0,""
"react-router-7.13.0/manifest","manifest",1.9525315841574744e-33,1.9525315841574744e-33,4,0,""
"react-router-7.13.0/normalizeSlashes","normalizeSlashes",1.9525315841574744e-33,1.9525315841574744e-33,1,3,""
"react-router-7.13.0/react-router-architect","react-router-architect",1.9525315841574744e-33,1.9525315841574744e-33,3,0,""
"react-router-7.13.0/server","server",1.9525315841574744e-33,1.9525315841574744e-33,3,22,""
"react-router-7.13.0/worker","worker",1.9525315841574744e-33,1.9525315841574744e-33,5,18,""
"react-router-7.13.0/workersKVStorage","workersKVStorage",1.9525315841574744e-33,1.9525315841574744e-33,1,5,""
