"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"server","@remix-run/router",37,40,6,29,2,483.33333333333337,"StaticHandlerContext,Router,StaticHandlerContext.basename,RouterState.historyAction,FutureConfig.v7_relativeSplatPath,StaticHandlerContext.actionData,StaticHandlerContext.loaderData,Router.future,Router.routes,StaticHandlerContext.errors,UNSAFE_invariant,RouterState.location,UNSAFE_mapRouteProperties,createStaticHandler,StaticHandler,RouteObject,Action.Pop,Action,IDLE_FETCHER,AgnosticDataRouteMatch.route,StaticHandlerContext.location,UNSAFE_convertRoutesToDataRoutes,IDLE_BLOCKER,RevalidationState,StaticHandlerContext.matches,AgnosticDataRouteObject.id,IDLE_NAVIGATION",""
"server","@types/react",3,3,6,29,2,483.33333333333337,"React.JSX.Element,React.ReactNode",""
"react-router-dom","@remix-run/router",141,201,63,117,2,185.7142857142857,"JsonValue,RouterState.fetchers,JsonObject,FormEncType,GetScrollRestorationKeyFunction,To,createPath,useLocation,useResolvedPath,useNavigate,History.listen,UNSAFE_logV6DeprecationWarnings,History.location,History.action,UNSAFE_mapRouteProperties,Router,Router.initialize,createBrowserHistory,RouteObject,createRouter,UNSAFE_RouteContext,UNSAFE_invariant,RouteContextObject.matches,joinPaths,Location.search,RouteObject.index,UNSAFE_NavigationContext,RouteMatch.route,Router.navigate,HTMLFormMethod,UNSAFE_useRouteId,Router.fetch,HTMLFormMethod.toLowerCase,History,FutureConfig,BrowserHistory.location,BrowserHistory.listen,BrowserHistory.action,BrowserHistory,createHashHistory,matchPath,stripBasename,Path.pathname,Location.pathname,NavigateOptions,useHref,UNSAFE_warning,RouterState,FutureConfig.v7_relativeSplatPath,Router.subscribe,Router.basename,Fetcher.data,FutureConfig.v7_partialHydration,Location.key,RouterProps,Router.routes,RouterState.historyAction,RouterState.location,Router.state,Router.window,Router.future,RouterState.initialized,Router.createHref,ViewTransitionOpts.nextLocation,ViewTransitionOpts.currentLocation,Router.encodeLocation,RouterProviderProps,RouterSubscriber,Navigation.location,RouterState.navigation,Navigator.encodeLocation,UNSAFE_DataRouterStateContext,HashHistory.action,HashHistory,HashHistory.listen,HashHistory.location,Router.enableScrollRestoration,Navigation.state,Location.hash,useNavigation,useMatches,IDLE_FETCHER,Router.getFetcher,RouteObject.id,Router.deleteFetcher,useBlocker,BlockerFunction,BlockerBlocked.reset,BlockerBlocked.proceed,Blocker.state",""
"react-router-dom","@types/react",83,128,63,117,2,185.7142857142857,"React.ReactNode,React.CSSProperties,React.ReactElement,React.ReactPortal,React.RefAttributes,React.ForwardRefExoticComponent,React.MouseEvent.preventDefault,React.useCallback,React.MouseEvent,React.useLayoutEffect,React.JSX.Element,React.useEffect,React.useState,React.useContext,React.forwardRef,React.FormEvent.currentTarget,React.FormEvent.preventDefault,React.FormEvent.defaultPrevented,React.ForwardedRef,React.MutableRefObject.current,React.useRef,React.MouseEvent.defaultPrevented,React.useMemo,React.ForwardRefExoticComponent.displayName,React.createContext,React.Context,React.AnchorHTMLAttributes",""
"react-router-native","@types/react-native",11,17,17,24,4,141.1764705882353,"GestureResponderEvent,BackHandlerStatic.removeEventListener,BackHandlerStatic.addEventListener,BackHandler,TouchableHighlightProps,GestureResponderEvent.defaultPrevented,LinkingStatic.removeEventListener,LinkingStatic.addEventListener,LinkingStatic.getInitialURL,Linking",""
"react-router-native","@remix-run/router",9,13,17,24,4,141.1764705882353,"To,useNavigate,MemoryRouterProps,NavigateOptions,Location.search,useLocation",""
"react-router-native","@types/react",9,17,17,24,4,141.1764705882353,"React.useEffect,React.ReactNode,React.JSX.Element,React.useMemo,React.useCallback,React.useRef,React.MutableRefObject.current",""
"react-router-native","@ungap/url-search-params",2,4,17,24,4,141.1764705882353,"url-search-params",""
"react-router","@remix-run/router",8,10,7,9,2,128.57142857142858,"AgnosticPatchRoutesOnNavigationFunctionArgs,UNSAFE_warning,createRouter,DataStrategyFunction,InitialEntry,Router,createMemoryHistory,Router.initialize",""
"react-router","@types/react",1,3,7,9,2,128.57142857142858,"React.createElement",""
