"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel/lib",16,56,1,23,4,2300,"ExportNamedDeclaration.declaration,ClassDeclaration.id,ExportSpecifier.local,FunctionDeclaration.id,VariableDeclaration.declarations,ExportDefaultDeclaration.declaration,ExportNamedDeclaration.specifiers,Expression.type,VariableDeclarator.id,AssignmentExpression.left,MemberExpression.object,ExpressionStatement.expression,ExportSpecifier.exported,ExportDeclaration.type,Identifier.name,LVal.type",""
"remove-exports","@types/babel__traverse",4,24,1,23,4,2300,"NodePath.node,NodePath.parentPath,NodePath.isProgram,NodePath.remove",""
"remove-exports","dist",2,2,1,23,4,2300,"findReferencedIdentifiers,deadCodeElimination",""
"remove-exports","@babel/babel-parser",1,2,1,23,4,2300,"ParseResult",""
"vite","node",84,148,6,129,25,2150,"Connect.IncomingMessage.url,Logger.error,PreviewServer.middlewares,ResolvedBuildEnvironmentOptions.outDir,ResolvedConfig.environments,transformWithEsbuild,ResolvedConfig.base,Logger.info,UserConfig.logLevel,UserConfig.server,Connect.Server.use,PluginOption,createLogger,normalizePath,ResolvedEnvironmentOptions.build,UserConfig.base,isRunnableDevEnvironment,HotBroadcaster.send,ResolvedConfig.root,ViteBuilder.build,ViteDevServer,EnvironmentOptions.resolve,DevEnvironment.moduleGraph,ViteBuilder.environments,ResolvedConfig.logger,ResolvedConfig.command,UserConfig.plugins,ResolvedServerOptions.watch,RunnableDevEnvironment.runner,Environment.config,ResolvedConfig.mode,Environment.name,ViteDevServer.ssrFixStacktrace,EnvironmentOptions.optimizeDeps,Plugin.name,ResolvedServerOptions.middlewareMode,defaultClientConditions,ResolvedConfig,ViteDevServer.ssrLoadModule,DevEnvironment.name,UserConfig.build,ResolvedBuildOptions.assetsDir,ResolvedConfig.configFile,ResolvedConfig.server,PluginContainer.buildStart,UserConfig.environments,PreviewServer,ManifestChunk.assets,ViteDevServer.hot,ManifestChunk.css,ViteDevServer.pluginContainer,ViteDevServer.environments,ViteDevServer.middlewares,ViteDevServer.config,ManifestChunk.file,loadConfigFromFile,DevEnvironment.reloadModule,ConfigEnv.isSsrBuild,HotUpdatePluginContext.environment,ModuleNode.url,Logger.warn,ModuleNode.file,ViteDevServer.transformRequest,ConfigEnv.command,ConfigEnv.mode,EnvironmentOptions,createServer,ResolvedConfig.build,Plugin,UserConfig.root,version,ESBuildOptions,node",""
"vite","@types/process",7,15,6,129,25,2150,"global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.env,global.NodeJS.Process.cwd,global.NodeJS.Process.exit,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT",""
"vite","dist",7,23,6,129,25,2150,"dist,join,relative,resolve,path.join,path.extname,path.normalize",""
"vite","promises",7,14,6,129,25,2150,"readFile,rename,cp,rm,mkdir,readdir",""
"vite","@types/path",6,25,6,129,25,2150,"path.PlatformPath.basename,path.PlatformPath.resolve,path.PlatformPath.posix,path.PlatformPath.relative,path.PlatformPath.join,path.PlatformPath.dirname",""
"vite","fs",5,10,6,129,25,2150,"existsSync,Dirent.isFile,Dirent.parentPath,Dirent.name,Dirent.path",""
"vite","http",5,8,6,129,25,2150,"ServerResponse.end,ServerResponse.setHeader,ServerResponse.statusCode",""
"vite","@types/babel__core",3,3,6,129,25,2150,"transformAsync,BabelFileResult.map,BabelFileResult.code",""
"vite","node:fs",3,8,6,129,25,2150,"existsSync,readdirSync,rmSync",""
"vite","rollup",3,5,6,129,25,2150,"PluginContext.environment,PluginContext.resolve,ResolvedId.id",""
"vite","@types/babel__generator",2,2,6,129,25,2150,"GeneratorResult.code,GeneratorResult",""
"vite","crypto",2,2,6,129,25,2150,"Hash.digest,Hash.update",""
"vite","lexer",2,2,6,129,25,2150,"init",""
"vite","picocolors",2,14,6,129,25,2150,"picocolors",""
