"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel",17,58,1,23,4,2300,"Expression.type,ExportDefaultDeclaration.declaration,VariableDeclaration.declarations,ExportNamedDeclaration.declaration,ExportSpecifier.exported,Identifier.name,ExpressionStatement.expression,ExportDeclaration.type,MemberExpression.object,LVal.type,ExportSpecifier.local,FunctionDeclaration.id,AssignmentExpression.left,ClassDeclaration.id,ParseResult,VariableDeclarator.id,ExportNamedDeclaration.specifiers",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.parentPath,NodePath.isProgram,NodePath.remove,NodePath.node",""
"remove-exports","no namespace",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"vite","no namespace",124,240,6,129,25,2150,"transformWithEsbuild,ResolvedBuildEnvironmentOptions.outDir,createLogger,path.normalize,ResolvedConfig.environments,existsSync,normalizePath,UserConfig.server,resolve,UserConfig.logLevel,path.extname,Connect.IncomingMessage.url,picocolors,PreviewServer.middlewares,dist,relative,PluginOption,ResolvedConfig.base,join,init,UserConfig.base,path.join,Connect.Server.use,Logger.info,Logger.error,ServerResponse.setHeader,ServerResponse.end,readFile,ResolvedEnvironmentOptions.build,ServerResponse.statusCode,ViteBuilder.build,rm,Plugin,PreviewServer,DevEnvironment.name,rmSync,ViteDevServer.hot,ViteBuilder.environments,ResolvedConfig.root,ViteDevServer.transformRequest,ResolvedId.id,Environment.name,EnvironmentOptions.optimizeDeps,rename,ModuleRunner.import,ModuleNode.file,UserConfig.build,ViteDevServer.ssrLoadModule,HotBroadcaster.send,createHash,Dirent.parentPath,cp,mkdir,ViteDevServer.middlewares,RunnableDevEnvironment.runner,UserConfig.plugins,ResolvedConfig.configFile,ResolvedConfig.server,Logger.warn,createServer,ManifestChunk.file,UserConfig.environments,readdir,ResolvedBuildOptions.assetsDir,URL.href,PluginContainer.buildStart,isRunnableDevEnvironment,Hash.digest,PluginContext.environment,ViteDevServer.pluginContainer,ResolvedConfig.mode,ResolvedServerOptions.watch,Dirent.path,Dirent.name,EnvironmentOptions.resolve,ResolvedServerOptions.middlewareMode,ViteDevServer,Dirent.isFile,ManifestChunk.css,DevEnvironment.reloadModule,HotUpdatePluginContext.environment,ModuleNode.url,ConfigEnv.command,ResolvedConfig.build,ConfigEnv.isSsrBuild,readdirSync,defaultClientConditions,DevEnvironment.moduleGraph,Environment.config,loadConfigFromFile,.pathToFileURL,ResolvedConfig.command,ResolvedConfig,ResolvedConfig.logger,EnvironmentOptions,Plugin.name,ManifestChunk.assets,ViteDevServer.ssrFixStacktrace,PluginContext.resolve,ViteDevServer.environments,UserConfig.root,Hash.update,ViteDevServer.config,ConfigEnv.mode,version,ESBuildOptions,node",""
"vite","@types",22,51,6,129,25,2150,"global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.env,pick,transformAsync,BabelFileResult.map,jsesc,global.NodeJS.Require.resolve,path.PlatformPath.resolve,path.PlatformPath.dirname,path.PlatformPath.posix,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NonSharedBuffer.toString,path.PlatformPath.join,GeneratorResult,BabelFileResult.code,path.PlatformPath.relative,global.NodeJS.Process.exit,GeneratorResult.code,path.PlatformPath.basename,global.NodeJS.Process.cwd",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.scope,NodePath.isIdentifier,NodePath.isFunctionDeclaration,NodePath.isExpression,NodePath.get,NodePath.replaceWith,Scope.generateUidIdentifier,NodePath.isExportNamedDeclaration,NodePath.node,NodePath.isExportDefaultDeclaration,NodePath.isVariableDeclaration",""
"with-props","@babel",10,14,1,21,4,2100,"stringLiteral,importDeclaration,ParseResult.program,callExpression,importSpecifier,variableDeclaration,variableDeclarator,Program.body,ParseResult,identifier",""
"cloudflare","no namespace",14,20,1,15,4,1500,"ResolvedServerOptions.middlewareMode,ConfigEnv.mode,Connect.Server.use,UserConfig.root,Plugin,ResolvedConfig.server,ViteDevServer.middlewares,EnvironmentResolveOptions.externalConditions,ViteDevServer.ssrLoadModule,EnvironmentOptions.resolve,ViteDevServer.config,ResolvedConfig.plugins,GetPlatformProxyOptions,Plugin.name",""
"cloudflare","@types",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,4,1500,"ResolvedServerOptions.middlewareMode,ConfigEnv.mode,Connect.Server.use,UserConfig.root,Plugin,ResolvedConfig.server,ViteDevServer.middlewares,EnvironmentResolveOptions.externalConditions,ViteDevServer.ssrLoadModule,EnvironmentOptions.resolve,ViteDevServer.config,ResolvedConfig.plugins,GetPlatformProxyOptions,Plugin.name",""
