"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"react-router-7.13.0/binaryTypes","binaryTypes","embeddingsNode2Vec","-0.70409936,1.5655268,-0.55466294,-0.1221807,1.1395282,0.5320354,0.09702018,0.8069207,-1.5672686,-0.40115318,-0.659479,-0.6652102,-0.42379186,-0.3591297,0.034613546,-1.5607086,-0.27295038,-0.2978125,-1.0305705,0.008671528,0.4504818,-0.107673444,-0.3174322,-0.49511725,0.24949978,-0.18657152,-2.0762992,0.9143951,0.30369952,-0.83922076,-0.5184031,-0.3546917",""
"react-router-7.13.0/react-router-architect","react-router-architect","embeddingsNode2Vec","-0.74614894,1.8493613,-0.6232477,-0.05603854,1.2586688,0.63597596,0.10774518,0.93652505,-1.8721367,-0.544103,-0.7528799,-0.8803386,-0.5781274,-0.38488165,-0.022708017,-1.7870526,-0.3913218,-0.32869843,-1.0514243,0.009538595,0.58652425,-0.075308874,-0.52447885,-0.53430337,0.332913,-0.2352099,-2.3528895,1.0914091,0.36753583,-1.095044,-0.5730494,-0.3212441",""
"react-router-7.13.0/server","server","embeddingsNode2Vec","-0.7785139,1.77834,-0.61098593,0.0075474246,1.2355604,0.6342057,0.040056415,0.967934,-1.879469,-0.429984,-0.64904934,-0.7552809,-0.5845635,-0.3862128,-0.010848196,-1.7579272,-0.35820615,-0.35610372,-0.9907459,0.027191566,0.59546626,-0.15330778,-0.50668687,-0.54272217,0.33587378,-0.14833148,-2.4065025,1.0987294,0.4578539,-1.0469819,-0.5858201,-0.33568075",""
"react-router-7.13.0/arcTableSessionStorage","arcTableSessionStorage","embeddingsNode2Vec","-0.41535488,1.0032936,-0.3786051,-0.16041481,0.75072426,0.29675183,0.05371981,0.51747525,-0.9960104,-0.25097948,-0.4590473,-0.4427377,-0.26026237,-0.2100908,0.030985896,-1.0024816,-0.18279012,-0.17474587,-0.73883325,0.0047056857,0.2717151,-0.08305382,-0.18130454,-0.28873226,0.1557714,-0.123835474,-1.3253274,0.57500434,0.16639768,-0.51561475,-0.31037074,-0.2757309",""
"react-router-7.13.0/cli","cli","embeddingsNode2Vec","0.012867077,0.007001262,-0.015395723,4.3415665e-05,-0.010197028,0.015394251,0.012830468,0.005562703,0.011017005,0.01042788,0.015005672,-0.0025957304,0.0039397166,-0.006147722,-0.011540114,-0.0067859963,-0.007625184,-0.012129946,-0.005088763,0.0009436621,-0.011556773,0.001590931,-0.0055039064,-0.011605591,-0.003951223,0.015134279,-0.0073180064,-0.0020487662,0.010498585,-0.002754187,0.0024485078,0.012904886",""
"react-router-7.13.0/copy-template","copy-template","embeddingsNode2Vec","-0.9656811,0.69864595,0.17305972,-0.3168885,0.25400993,1.4434183,-0.015450144,-0.05941726,-0.854947,0.13438328,-0.20967694,0.28308088,0.1516162,-0.54444796,0.79224443,-0.045646824,-0.30124053,-0.5401711,-1.0079888,0.10058317,0.22657785,0.360307,0.63172245,-0.66125214,0.21911354,-0.49910802,-0.7332763,-0.1397376,0.04761198,-0.32737428,-1.1474847,-0.38558906",""
"react-router-7.13.0/create-react-router","create-react-router","embeddingsNode2Vec","-1.1603863,0.9866552,0.20499578,-0.41165945,0.22376814,1.7580612,-0.029588608,-0.09770393,-1.1481208,0.021026451,-0.3472371,0.19067359,0.23242056,-0.6624844,1.0019131,-0.07695928,-0.5621785,-0.6463987,-1.200979,0.06089163,0.39949283,0.41738304,0.6920275,-0.85049534,0.24158615,-0.6325887,-0.8729946,-0.20385449,0.08511221,-0.39854953,-1.4884533,-0.5261405",""
"react-router-7.13.0/loading-indicator","loading-indicator","embeddingsNode2Vec","-1.1474024,0.803713,0.20392469,-0.30264348,0.25290993,1.4363619,-0.014978429,-0.09760154,-0.95038176,0.10326935,-0.25319114,0.265702,0.17837605,-0.56937736,0.86059606,-0.08704886,-0.33095053,-0.56530154,-1.0642958,0.10429532,0.254397,0.33010918,0.6603993,-0.7796887,0.24426723,-0.46841043,-0.78924626,-0.1265528,0.07079782,-0.278022,-1.2210056,-0.4759146",""
"react-router-7.13.0/prompt","prompt","embeddingsNode2Vec","-1.2163395,0.82500243,0.23674823,-0.33767742,0.28187922,1.6967944,-0.015396676,-0.1051086,-1.0003918,0.14676368,-0.23375131,0.33832887,0.21010722,-0.66943455,0.92655796,-0.035231203,-0.35894224,-0.6514456,-1.1380849,0.13952161,0.32219562,0.43757632,0.74578905,-0.81664693,0.26873472,-0.5770756,-0.8570345,-0.18017574,0.08173508,-0.35395256,-1.3746239,-0.44729444",""
"react-router-7.13.0/prompts-confirm","prompts-confirm","embeddingsNode2Vec","-1.2022587,0.9668837,0.21926303,-0.36573303,0.30182707,1.7574428,-0.042712405,-0.062162593,-1.0535588,0.058912408,-0.24050954,0.30464026,0.21638751,-0.68180805,0.8970958,-0.09622172,-0.3910496,-0.6579481,-1.1266544,0.13958834,0.4052424,0.4664774,0.6798401,-0.7860123,0.33452302,-0.59139633,-0.9176153,-0.11435519,0.02929879,-0.49217796,-1.4364268,-0.45549604",""
"react-router-7.13.0/prompts-multi-select","prompts-multi-select","embeddingsNode2Vec","-1.1653471,0.9885716,0.17129534,-0.37865886,0.25443977,1.7868142,-0.06114183,-0.054245114,-1.1131783,0.03990917,-0.2558021,0.31548876,0.20185798,-0.6890741,0.88980454,-0.08440883,-0.4130729,-0.6431579,-1.1397206,0.13703595,0.41100153,0.46960282,0.6702957,-0.78736806,0.32134286,-0.58395255,-0.91351277,-0.10898086,0.05101329,-0.47737962,-1.4376615,-0.48153445",""
"react-router-7.13.0/prompts-prompt-base","prompts-prompt-base","embeddingsNode2Vec","-1.2047099,0.9002012,0.26224765,-0.27916807,0.2479981,1.9307871,-0.020503152,-0.092548095,-1.143436,0.045064773,-0.2267663,0.22814138,0.21407607,-0.7018337,0.94617903,-0.008074796,-0.485843,-0.72647256,-1.0203062,0.13448203,0.45594507,0.5433897,0.6620165,-0.7970729,0.2675464,-0.6469444,-0.86590165,-0.22505654,0.10085905,-0.54220796,-1.5125035,-0.4086744",""
"react-router-7.13.0/prompts-select","prompts-select","embeddingsNode2Vec","-1.1534628,0.9028871,0.20533027,-0.366707,0.29763156,1.8159837,-0.03512023,-0.055491887,-1.0305002,0.09966004,-0.21424341,0.38049155,0.21840212,-0.7191582,0.8858084,-0.046766493,-0.33387378,-0.6680598,-1.1383419,0.16707274,0.36256468,0.4887806,0.71869093,-0.7759722,0.33106694,-0.6130576,-0.91553104,-0.13365248,0.033324525,-0.48463663,-1.4343054,-0.43681854",""
