"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: Overview/Node_label_combination_count.cypher"
"Git,Change,Update",58384,52.135088314610755,""
"Git,Change,Create",17242,15.396567428071368,""
"Git,Commit",11255,10.05036343828693,""
"Git,Change,Delete",8758,7.820620434697194,""
"File,Git",5891,5.260478988444984,""
"Git,Change,Rename",3354,2.995017234297144,""
"Git,Tag",1732,1.546621899165967,""
"Author,Git,Person",1265,1.1296054864000857,""
"Json,Key",668,0.5965031343203615,""
"Json,Value,Scalar",603,0.53846016466344,""
"Committer,Git,Person",370,0.33039844266247564,""
"NPM,Dependency",338,0.3018234422159913,""
"Type,TS,Primitive",291,0.2598539103102174,""
"Type,TS,Declared",277,0.24735234761488045,""
"TS,ExternalDeclaration",215,0.19198828424981695,""
"Git,Change,Copy",138,0.1232296894254639,""
"Type,TS,Literal",136,0.12144375189755863,""
"Json,Value,Object",133,0.11876484560570072,""
"Type,TS,Union",119,0.1062632829103638,""
"Type,TS,ObjectMember",102,0.09108281392316897,""
"NPM,Script",91,0.08126015751968996,""
"TS,Property",65,0.0580429696569214,""
"TS,Function",47,0.04196953190577394,""
"Git,Branch",43,0.03839765684996339,""
"Type,TS,FunctionParameter",40,0.03571875055810548,""
"Type,Object,TS",39,0.03482578179415284,""
"File,Directory",34,0.030360937974389657,""
"Type,TS,Function",34,0.030360937974389657,""
"TS,Parameter",33,0.02946796921043702,""
"Package,File,Json,NPM",29,0.02589609415462647,""
"TS,Variable",24,0.021431250334863285,""
"Value,TS,Literal",20,0.01785937527905274,""
"jQAssistant,Rule,Concept",19,0.0169664065151001,""
"Type,TS,Intersection",17,0.015180468987194828,""
"TS,Interface",17,0.015180468987194828,""
"File,Directory,Local",16,0.014287500223242192,""
"TS,TypeAlias",16,0.014287500223242192,""
"Value,TS,Declared",13,0.011608593931384279,""
"Json,Value,Array",12,0.010715625167431643,""
"TS,ExternalModule",11,0.009822656403479006,""
"Type,TS,NotIdentified",11,0.009822656403479006,""
"TS,EnumMember",8,0.007143750111621096,""
"NPM,Engine",6,0.005357812583715821,""
"Project,TS",6,0.005357812583715821,""
"File,Local",6,0.005357812583715821,""
"File,TS,Local,Module",6,0.005357812583715821,""
"Type,TS,TypeParameterReference",6,0.005357812583715821,""
"Value,TS,Call",6,0.005357812583715821,""
"Value,TS,Member",6,0.005357812583715821,""
"Repository,NPM",5,0.004464843819763185,""
"Value,TS,Complex",5,0.004464843819763185,""
"TS,TypeParameter",4,0.003571875055810548,""
"Value,TS,Function",4,0.003571875055810548,""
"Type,TS,Tuple",3,0.0026789062918579107,""
"Value,Object,TS",3,0.0026789062918579107,""
"TS,Enum",2,0.001785937527905274,""
"NPM,PublishConfig",1,0.000892968763952637,""
"File,TS,Scan",1,0.000892968763952637,""
"TS,Method",1,0.000892968763952637,""
"TS,Class",1,0.000892968763952637,""
"TS,Constructor",1,0.000892968763952637,""
"Value,TS,ObjectMember",1,0.000892968763952637,""
"Repository,File,Git",1,0.000892968763952637,""
"Analyze,Task,jQAssistant",1,0.000892968763952637,""
