"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: Topological_Sort/Topological_Sort_Query.cypher"
"./vite/rsc/plugin.ts","plugin",0,0,5,1,54,""
"./lib/dom/ssr/links.ts","links",1,0,5,0,9,""
"./defineRoutes.ts","defineRoutes",2,0,5,2,0,""
"./cli.ts","cli",3,0,5,0,27,""
"./cli.ts","cli",4,0,5,0,2,""
"./index.ts","create-react-router",5,0,5,0,28,""
"./tsup.config.rsc.ts","tsup",6,0,5,0,4,""
"./tsup.config.ts","tsup",7,0,5,0,5,""
"./vite/cloudflare-dev-proxy.ts","cloudflare-dev-proxy",8,0,5,1,15,""
"./cli/run.ts","run",9,0,5,0,9,""
"./index.ts","react-router-fs-routes",10,0,5,0,5,""
"./lib/types/route-module-annotations.ts","route-module-annotations",11,0,5,1,0,""
"./flatRoutes.ts","flatRoutes",12,1,5,1,15,""
"./vite/rsc/virtual-route-config.ts","virtual-route-config",13,1,5,1,4,""
"./manifest.ts","manifest",14,1,5,4,0,""
"./normalizeSlashes.ts","normalizeSlashes",15,1,5,1,3,""
"./manifest.ts","manifest",16,2,5,3,0,""
"./normalizeSlashes.ts","normalizeSlashes",17,2,5,2,3,""
"./copy-template.ts","copy-template",18,1,5,2,33,""
"./loading-indicator.ts","loading-indicator",19,1,5,1,12,""
"./prompt.ts","prompt",20,1,5,1,2,""
"./prompts-confirm.ts","prompts-confirm",21,2,5,1,5,""
"./prompts-multi-select.ts","prompts-multi-select",22,2,5,1,5,""
"./prompts-text.ts","prompts-text",23,2,5,1,8,""
"./prompts-select.ts","prompts-select",24,3,5,3,6,""
"./prompts-prompt-base.ts","prompts-prompt-base",25,4,5,8,14,""
"./vite/rsc/virtual-route-modules.ts","virtual-route-modules",26,1,5,4,6,""
"./cli/commands.ts","commands",27,1,5,5,15,""
"./utils.ts","utils",28,5,5,36,29,""
"./cli/useJavascript.ts","useJavascript",29,2,5,1,6,""
"./config/format.ts","format",30,2,5,1,0,""
"./vite/build.ts","build",31,2,5,1,8,""
"./vite/dev.ts","dev",32,2,5,1,11,""
"./vite/has-rsc-plugin.ts","has-rsc-plugin",33,3,5,2,3,""
"./vite/profiler.ts","profiler",34,3,5,5,9,""
"./config.ts","config",128,0,5,5,0,""
