"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: Overview/Node_label_count.cypher"
"Git",50751,93.37638681900977,""
"Change",38167,70.22317896634837,""
"Update",26416,48.60260160806609,""
"Commit",6744,12.40823535905503,""
"Create",5847,10.7578517414583,""
"Delete",4190,7.709149785652518,""
"File",3669,6.75056576695921,""
"Rename",1699,3.1259774429173333,""
"TS",1638,3.013743997350555,""
"Json",1445,2.6586447351474676,""
"Person",1356,2.4948942981729867,""
"Type",1111,2.044120623355596,""
"Author",1000,1.839892550275064,""
"Tag",906,1.666942650549208,""
"Value",806,1.4829533955217016,""
"Key",668,1.2290482235837428,""
"Scalar",603,1.1094552078158637,""
"NPM",470,0.8647494986292801,""
"Committer",356,0.6550017478979228,""
"Dependency",338,0.6218836819929716,""
"Declared",307,0.5648470129344446,""
"Primitive",294,0.5409284097808688,""
"ExternalDeclaration",215,0.3955768983091387,""
"Object",178,0.3275008739489614,""
"Literal",158,0.2907030229434601,""
"Union",121,0.22262699858328272,""
"ObjectMember",112,0.20606796563080715,""
"Script",91,0.1674302220750308,""
"Function",85,0.15639086677338043,""
"Property",65,0.11959301576787915,""
"Directory",50,0.09199462751375319,""
"Parameter",44,0.08095527221210282,""
"FunctionParameter",40,0.07359570201100256,""
"Package",29,0.05335688395797686,""
"Local",28,0.05151699140770179,""
"Variable",24,0.04415742120660153,""
"jQAssistant",20,0.03679785100550128,""
"Concept",19,0.034957958455226215,""
"Rule",19,0.034957958455226215,""
"Interface",17,0.031278173354676087,""
"Intersection",17,0.031278173354676087,""
"TypeAlias",16,0.029438280804401022,""
"Copy",15,0.027598388254125958,""
"Array",12,0.022078710603300765,""
"ExternalModule",11,0.020238818053025704,""
"NotIdentified",11,0.020238818053025704,""
"EnumMember",8,0.014719140402200511,""
"Call",6,0.011039355301650382,""
"Engine",6,0.011039355301650382,""
"Member",6,0.011039355301650382,""
"Module",6,0.011039355301650382,""
"Project",6,0.011039355301650382,""
"Repository",6,0.011039355301650382,""
"TypeParameterReference",6,0.011039355301650382,""
"Complex",5,0.00919946275137532,""
"TypeParameter",4,0.0073595702011002555,""
"Tuple",3,0.005519677650825191,""
"Enum",2,0.0036797851005501278,""
"Analyze",1,0.0018398925502750639,""
"Branch",1,0.0018398925502750639,""
"Class",1,0.0018398925502750639,""
"Constructor",1,0.0018398925502750639,""
"Method",1,0.0018398925502750639,""
"PublishConfig",1,0.0018398925502750639,""
"Scan",1,0.0018398925502750639,""
"Task",1,0.0018398925502750639,""
