"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"react-router-7.11.0/react-router","react-router","centralityCloseness",0.2621315192743764,""
"react-router-7.11.0/utils","utils","centralityCloseness",0.19113756613756613,""
"react-router-7.11.0/react-router","react-router","centralityCloseness",0.17989417989417988,""
"react-router-7.11.0/router","router","centralityCloseness",0.16383219954648523,""
"react-router-7.11.0/history","history","centralityCloseness",0.1555017487220877,""
"react-router-7.11.0/routeModules","routeModules","centralityCloseness",0.1555017487220877,""
"react-router-7.11.0/entry","entry","centralityCloseness",0.15291005291005288,""
"react-router-7.11.0/data","data","centralityCloseness",0.1479774705581157,""
"react-router-7.11.0/context","context","centralityCloseness",0.145628621819098,""
"react-router-7.11.0/register","register","centralityCloseness",0.14486921529175048,""
"react-router-7.11.0/dev","dev","centralityCloseness",0.14297385620915032,""
"react-router-7.11.0/build","build","centralityCloseness",0.14114774114774115,""
"react-router-7.11.0/cookies","cookies","centralityCloseness",0.14114774114774115,""
"react-router-7.11.0/instrumentation","instrumentation","centralityCloseness",0.14114774114774115,""
"react-router-7.11.0/mode","mode","centralityCloseness",0.14114774114774115,""
"react-router-7.11.0/future","future","centralityCloseness",0.14090177133655396,""
"react-router-7.11.0/href","href","centralityCloseness",0.14090177133655396,""
"react-router-7.11.0/dom-export","dom-export","centralityCloseness",0.139009139009139,""
"react-router-7.11.0/links","links","centralityCloseness",0.139009139009139,""
"react-router-7.11.0/server","server","centralityCloseness",0.139009139009139,""
"react-router-7.11.0/serializes-to","serializes-to","centralityCloseness",0.1388888888888889,""
"react-router-7.11.0/cookieStorage","cookieStorage","centralityCloseness",0.1369343757403459,""
"react-router-7.11.0/fog-of-war","fog-of-war","centralityCloseness",0.1369343757403459,""
"react-router-7.11.0/memoryStorage","memoryStorage","centralityCloseness",0.1369343757403459,""
"react-router-7.11.0/react-router","react-router","centralityCloseness",0.1369343757403459,""
"react-router-7.11.0/server","server","centralityCloseness",0.1369343757403459,""
