"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"react-router-7.13.1/react-router","react-router",0.5227348645985,0.5227348645985,365,13,""
"react-router-7.13.1/utils","utils",0.42545768327290306,0.42545768327290306,166,0,""
"react-router-7.13.1/react-router","react-router",0.36965230960139234,0.36965230960139234,112,4,""
"react-router-7.13.1/router","router",0.27733901596412536,0.27733901596412536,52,1,""
"react-router-7.13.1/history","history",0.24595175818051765,0.24595175818051765,38,0,""
"react-router-7.13.1/routeModules","routeModules",0.2017087254371208,0.2017087254371208,27,6,""
"react-router-7.13.1/entry","entry",0.1832994343903441,0.1832994343903441,11,0,""
"react-router-7.13.1/data","data",0.18140478835562535,0.18140478835562535,7,0,""
"react-router-7.13.1/context","context",0.13840337392853566,0.13840337392853566,25,12,""
"react-router-7.13.1/mode","mode",0.11843419848906363,0.11843419848906363,5,0,""
"react-router-7.13.1/build","build",0.11636564565383417,0.11636564565383417,11,0,""
"react-router-7.13.1/instrumentation","instrumentation",0.10439084348757735,0.10439084348757735,14,0,""
"react-router-7.13.1/dev","dev",0.09626249315679825,0.09626249315679825,4,2,""
"react-router-7.13.1/actions","actions",0.09229198809195746,0.09229198809195746,3,0,""
"react-router-7.13.1/headers","headers",0.09229198809195746,0.09229198809195746,3,1,""
"react-router-7.13.1/dom-export","dom-export",0.08715124401985194,0.08715124401985194,19,0,""
"react-router-7.13.1/links","links",0.08231368880299754,0.08231368880299754,6,0,""
"react-router-7.13.1/cookies","cookies",0.08070127699385546,0.08070127699385546,19,4,""
"react-router-7.13.1/fog-of-war","fog-of-war",0.07346791544210615,0.07346791544210615,3,5,""
"react-router-7.13.1/future","future",0.07346791544210615,0.07346791544210615,3,0,""
"react-router-7.13.1/routes","routes",0.0697408250948808,0.0697408250948808,6,9,""
"react-router-7.13.1/server","server",0.06898833499511259,0.06898833499511259,40,19,""
"react-router-7.13.1/react-router","react-router",0.06832468804598142,0.06832468804598142,9,4,""
"react-router-7.13.1/server","server",0.06297106440461901,0.06297106440461901,4,0,""
"react-router-7.13.1/errors","errors",0.06293540238346723,0.06293540238346723,5,0,""
