"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","node",90,152,4,133,25,3325,"DevEnvironment.moduleGraph,ModuleNode.url,EnvironmentOptions.resolve,RunnableDevEnvironment.runner,ViteBuilder.build,ViteDevServer.ssrLoadModule,ConfigEnv.command,ConfigEnv.isSsrBuild,ManifestChunk.css,EnvironmentOptions,createServer,ModuleNode.file,ViteDevServer,Logger.info,ViteDevServer.transformRequest,ResolvedBuildOptions.assetsDir,Logger.warn,ResolvedConfig.command,ResolvedConfig.logger,loadConfigFromFile,isRunnableDevEnvironment,PreviewServer.middlewares,PreviewServer,ConfigEnv.mode,UserConfig.logLevel,DevEnvironment.reloadModule,UserConfig.server,Plugin.name,ResolvedConfig.root,UserConfig.plugins,Connect.IncomingMessage.url,UserConfig.base,ResolvedConfig.server,ViteDevServer.config,PluginContainer.buildStart,HotUpdatePluginContext.environment,createLogger,ViteDevServer.environments,Environment.name,UserConfig.environments,Plugin,DevEnvironment.name,ViteDevServer.ssrFixStacktrace,Environment.config,normalizePath,ResolvedConfig.configFile,defaultClientConditions,ResolvedConfig.build,ResolvedConfig.mode,ViteDevServer.middlewares,Connect.Server.use,ViteDevServer.hot,EnvironmentOptions.optimizeDeps,ResolvedConfig,ViteBuilder.environments,ResolvedServerOptions.middlewareMode,UserConfig.build,ManifestChunk.file,ManifestChunk.assets,Logger.error,ViteDevServer.pluginContainer,HotBroadcaster.send,UserConfig.root,EnvironmentModuleGraph.getModulesByFile,DevEnvironment.pluginContainer,EnvironmentPluginContainer.transform,isCSSRequest,EnvironmentModuleNode.file,EnvironmentModuleNode.id,ResolvedEnvironmentOptions.build,BuildEnvironmentOptions.rollupOptions,PluginOption,ResolvedConfig.environments,ResolvedBuildEnvironmentOptions.outDir,ResolvedConfig.base,node",""
"vite","rollup",8,15,4,133,25,3325,"PluginContext.resolve,ResolvedId.id,PluginContext.environment,RollupLog.code,RollupLog.message,RollupOptions.onwarn,RollupLog.pos,TransformPluginContext.environment",""
"vite","promises",7,15,4,133,25,3325,"rename,cp,readFile,readdir,rm,mkdir",""
"vite","@types/babel__core",6,6,4,133,25,3325,"BabelFileResult.code,BabelFileResult.map,transformAsync",""
"vite","@types/path",6,25,4,133,25,3325,"path.PlatformPath.basename,path.PlatformPath.relative,path.PlatformPath.resolve,path.PlatformPath.join,path.PlatformPath.dirname,path.PlatformPath.posix",""
"vite","dist",6,10,4,133,25,3325,"dist,resolve,path.normalize,relative,join,path.dirname",""
"vite","@types/process",5,9,4,133,25,3325,"global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.env,global.NodeJS.Process.cwd,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.Process.exit",""
"vite","fs",3,6,4,133,25,3325,"Dirent.name,Dirent.isFile,Dirent.path",""
"vite","node:fs",3,8,4,133,25,3325,"readdirSync,existsSync,rmSync",""
"vite","@types/babel__generator",2,2,4,133,25,3325,"GeneratorResult.code,GeneratorResult",""
"vite","@types/globals",2,4,4,133,25,3325,"global.NodeRequire.resolve",""
"vite","crypto",2,2,4,133,25,3325,"Hash.digest,Hash.update",""
"vite","http",2,2,4,133,25,3325,"ServerResponse.setHeader,ServerResponse.end",""
"vite","lexer",2,2,4,133,25,3325,"init",""
"vite","picocolors",2,13,4,133,25,3325,"picocolors",""
"vite","@types/buffer",1,1,4,133,25,3325,"global.Buffer.toString",""
"vite","@types/jsesc",1,2,4,133,25,3325,"jsesc",""
"vite","@types/pick",1,1,4,133,25,3325,"pick",""
"vite","module-runner",1,1,4,133,25,3325,"ModuleRunner.import",""
"vite","node:crypto",1,1,4,133,25,3325,"createHash",""
