"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"react-router-7.13.1/binaryTypes","binaryTypes","embeddingsNode2Vec","-0.12117684,-0.7063733,0.37670615,-0.74650425,-0.56778234,-0.19346486,-0.5339826,-2.73769,0.34398326,0.40129358,-0.77811456,-0.7024586,-0.25574273,1.0805801,0.515719,-0.006403626,0.9956836,0.48411116,0.7110743,0.20959963,-0.83069736,-0.30368298,0.98187894,0.67828083,-1.3221457,0.15550809,0.7298751,-0.1701342,-0.7623462,-0.6034765,-0.17691988,0.48167428",""
"react-router-7.13.1/react-router-architect","react-router-architect","embeddingsNode2Vec","-0.18926705,-0.77273107,0.49325687,-0.8514024,-0.7326681,-0.077831306,-0.5920735,-3.1363804,0.38825643,0.49021193,-0.8818392,-0.78182256,-0.33453774,1.169262,0.54497784,-0.08157653,1.1984707,0.55293643,0.8115585,0.22791289,-0.93328846,-0.36100492,1.2260551,0.85987115,-1.5121455,0.19053757,0.9453173,-0.23494749,-0.9503214,-0.7263111,-0.078984186,0.5597661",""
"react-router-7.13.1/server","server","embeddingsNode2Vec","-0.19284345,-0.7857356,0.4714648,-0.89133394,-0.6850777,-0.04926799,-0.57595754,-3.1813698,0.4554179,0.5645459,-0.9346495,-0.79919857,-0.35150284,1.1921825,0.60172856,-0.027120788,1.2135305,0.5229111,0.7822151,0.24528481,-0.88949215,-0.3538231,1.1752801,0.77058303,-1.4272838,0.1456052,0.9298808,-0.25660503,-0.94012475,-0.74592036,-0.06540047,0.5685038",""
"react-router-7.13.1/arcTableSessionStorage","arcTableSessionStorage","embeddingsNode2Vec","-0.023550566,-0.4197029,0.22195493,-0.5427283,-0.36979204,-0.1077024,-0.36827925,-1.8073133,0.25292727,0.1729479,-0.5419927,-0.48081785,-0.1453427,0.7088461,0.32713595,0.021707715,0.5986879,0.31031328,0.4378812,0.13482736,-0.50686526,-0.17886093,0.5389954,0.4234101,-0.83681244,0.1253618,0.42813796,-0.09955275,-0.46759182,-0.38126883,-0.1477394,0.29677942",""
"react-router-7.13.1/cli","cli","embeddingsNode2Vec","0.013376571,0.011467508,-0.008962307,-0.011674304,0.009230053,0.0007824058,0.003772854,0.011364521,-0.0008034976,0.0028779053,0.007377353,0.0039979573,0.009037231,-0.004606464,0.0009794201,0.002560157,-0.0102241915,-0.004357866,-0.007209451,-0.0036804734,0.0144123975,0.0054947403,-0.008586633,-0.0046344837,0.006764195,0.009818997,-0.0015447721,-0.0154864,-0.009976287,-0.008282625,-0.008541649,0.008289355",""
"react-router-7.13.1/copy-template","copy-template","embeddingsNode2Vec","0.094295576,-0.65322655,-0.30765247,0.19644026,0.04701153,-1.3194649,-0.13520817,-0.8458571,-0.5798276,0.74029887,0.18195924,-0.5894563,0.26271534,0.54115033,0.5076106,0.282157,0.0974213,0.043378066,0.5693161,-0.29326466,-1.245128,-0.2576048,0.98543966,0.53299135,-1.3298997,0.3371972,-0.05560382,-0.101675,0.25977588,0.11331802,-0.58062184,0.2716674",""
"react-router-7.13.1/create-react-router","create-react-router","embeddingsNode2Vec","0.013388814,-0.73549396,-0.39537215,0.33762076,0.105947435,-1.5974139,-0.12872024,-0.79171264,-0.7246918,1.003426,0.28057915,-0.7096841,0.37427825,0.5502879,0.7014371,0.3081667,0.14470723,-0.012739302,0.7379757,-0.4088446,-1.4845114,-0.30266914,1.2874393,0.6374879,-1.6382127,0.44260675,0.036352847,-0.15051277,0.32479712,0.20690522,-0.63472265,0.33308458",""
"react-router-7.13.1/loading-indicator","loading-indicator","embeddingsNode2Vec","0.06674731,-0.70549405,-0.28794563,0.22953537,0.069943815,-1.4134066,-0.1317491,-0.8601052,-0.6029816,0.8404549,0.18830618,-0.63587785,0.283909,0.5658327,0.56782776,0.29085773,0.13314804,0.054066673,0.63177186,-0.3243461,-1.2979423,-0.2355845,1.0684413,0.5677006,-1.3999407,0.39390433,0.00064990995,-0.103198834,0.24369766,0.10305308,-0.5832554,0.2865499",""
"react-router-7.13.1/prompt","prompt","embeddingsNode2Vec","0.0285229,-0.7691372,-0.29538602,0.27078962,0.04613603,-1.4921018,-0.12701693,-0.92131805,-0.6506848,0.88955194,0.21365495,-0.6596336,0.30295348,0.5728627,0.6332108,0.3061375,0.19476105,0.029655008,0.67801034,-0.3417648,-1.4069132,-0.26616028,1.228521,0.6286061,-1.5431024,0.38398066,-0.015453529,-0.13369134,0.27942896,0.0691461,-0.5560985,0.33243552",""
"react-router-7.13.1/prompts-confirm","prompts-confirm","embeddingsNode2Vec","0.09728693,-0.805503,-0.32881418,0.2812178,0.018373575,-1.5623876,-0.124494664,-0.9348635,-0.7403088,0.90958863,0.2959078,-0.7120356,0.4018734,0.59377563,0.69829845,0.3154177,0.19361144,-0.083276816,0.732933,-0.38302696,-1.4556481,-0.3021039,1.3110116,0.6508079,-1.7012906,0.46205747,-0.06421993,-0.17609079,0.263084,0.026135767,-0.55301344,0.36346072",""
