"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: domains/git-history/queries/statistics/List_git_file_directories_with_commit_statistics.cypher"
"react-router-7.16.0","react-router-7.16.0","","","Matt Brophy","github-actions[bot]","Mark Dalgleish",592,1473,4947,"2026-05-26","2026-05-28","2026-05-28",11,12,10,"fff84b5f20f35c347c9d6313dfc603db0eac6e19","react-router-7.16.0/typedoc.mjs",1,1,""
"react-router-7.16.0/.agents/skills",".agents/skills","react-router-7.16.0","react-router-7.16.0","Matt Brophy",,,1,2,8,"2026-05-07","2026-05-07","2026-05-14",25,31,31,"fadd6c490cc84abc560a2413ee6fa0f2617d098d","react-router-7.16.0/.agents/skills/implement-rfc/SKILL.md",3,2,""
"react-router-7.16.0/.agents/skills/fix-bug","fix-bug","react-router-7.16.0/.agents/skills","skills","Matt Brophy",,,1,1,5,"2026-03-18","2026-04-14","2026-04-14",55,81,54,"a842fca719e81505f454a8e6a8c728cdaed22067","react-router-7.16.0/.agents/skills/fix-bug/SKILL.md",4,1,""
"react-router-7.16.0/.agents/skills/implement-rfc","implement-rfc","react-router-7.16.0/.agents/skills","skills","Matt Brophy",,,1,1,3,"2026-05-07","2026-05-07","2026-05-14",25,31,31,"fadd6c490cc84abc560a2413ee6fa0f2617d098d","react-router-7.16.0/.agents/skills/implement-rfc/SKILL.md",4,1,""
"react-router-7.16.0/.github",".github","react-router-7.16.0","react-router-7.16.0","Matt Brophy","Michael Jackson","Michaël De Boey",21,19,216,"2026-05-26","2026-05-27","2026-05-27",12,12,11,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.16.0/.github/workflows/test.yml",2,1,""
"react-router-7.16.0/.github/ISSUE_TEMPLATE","ISSUE_TEMPLATE","react-router-7.16.0/.github",".github","Matt Brophy","Pedro Cattori","Tim Dorr",13,3,50,"2023-01-11","2025-07-16","2025-07-16",327,1243,326,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.16.0/.github/ISSUE_TEMPLATE/documentation_isse.yml",3,1,""
"react-router-7.16.0/.github/workflows","workflows","react-router-7.16.0/.github",".github","Matt Brophy","dependabot[bot]","Michael Jackson",15,14,177,"2026-05-26","2026-05-27","2026-05-27",12,12,11,"ff4c0712f7b24d38f51f7b967d7c31aeac531bed","react-router-7.16.0/.github/workflows/test.yml",3,1,""
"react-router-7.16.0/decisions","decisions","react-router-7.16.0","react-router-7.16.0","Matt Brophy","Pedro Cattori","Michael Jackson",9,20,67,"2026-02-19","2026-05-05","2026-05-05",34,108,33,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.16.0/decisions/template.md",2,1,""
"react-router-7.16.0/docs","docs","react-router-7.16.0","react-router-7.16.0","Matt Brophy","Remix Run Bot","Ryan Florence",121,197,688,"2026-05-07","2026-05-27","2026-05-27",12,31,11,"ff6a4fea561d67b1e61002522096797afb9ff55e","react-router-7.16.0/docs/upgrading/v6.md",2,1,""
"react-router-7.16.0/docs/api","api","react-router-7.16.0/docs","docs","Matt Brophy","Remix Run Bot","Brooks Lybrand",22,109,193,"2026-05-07","2026-05-27","2026-05-27",12,31,11,"fed3b6300c8b8db90d9779a8f9c3304e91d719d3","react-router-7.16.0/docs/api/utils/resolvePath.md",3,1,""
