"sourceLabels","relationshipType","targetLabels","relationshipCount","Source Cypher File: domains/overview/queries/overview/Node_labels_and_their_relationships.cypher"
"Git,Update,Change","UPDATES","Git",59042,""
"Git,Update,Change","MODIFIES","Git",59042,""
"Git,Commit","CONTAINS_CHANGE","Git,Update,Change",59042,""
"TS,Union","CONTAINS","TS,NotIdentified",53911,""
"Git,Change,Create","MODIFIES","Git",17486,""
"Git,Change,Create","CREATES","Git",17486,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Create",17486,""
"Git,Commit","HAS_PARENT","Git,Commit",12005,""
"Repository,Git","HAS_COMMIT","Git,Commit",10918,""
"Committer,Person,Git,Author","COMMITTED","Git,Commit",10918,""
"Git,Change,Delete","DELETES","Git",9154,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Delete",9154,""
"Git,Change,Delete","MODIFIES","Git",9154,""
"TS,Union","CONTAINS","TS,Declared",7882,""
"TS,Union","CONTAINS","TS,Primitive",6533,""
"Repository,Git","HAS_FILE","Git",6407,""
"TS,Declared","HAS_TYPE_ARGUMENT","TS,Union",4163,""
"Git","CHANGED_TOGETHER_WITH","Git",3695,""
"TS,Union","CONTAINS","TS,Literal",3122,""
"Git,Change,Rename","DELETES","Git",2932,""
"Git,Change,Rename","CREATES","Git",2932,""
"Git,Change,Rename","RENAMES","Git",2932,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Rename",2932,""
"Git,Change,Rename","MODIFIES","Git",2932,""
"Json,Value,Object","HAS_KEY","Json,Key",1995,""
"Object,TS","HAS_MEMBER","TS,ObjectMember",1761,""
"Git","HAS_NEW_NAME","Git",1712,""
"Json,Key","HAS_VALUE","Json,Value,Scalar",1601,""
"Repository,Git","HAS_AUTHOR","Author,Person,Git",1309,""
"Repository,Git","HAS_TAG","Git,Tag",1301,""
"Git,Tag","ON_COMMIT","Git,Commit",1301,""
"TS,Declared","REFERENCES","TS,ExternalDeclaration",1232,""
"TS,Function","DEPENDS_ON","TS,ExternalDeclaration",1180,""
"TS,Function","HAS_PARAMETER","TS,Parameter",1095,""
"TS,ExternalModule","EXPORTS","TS,ExternalDeclaration",1016,""
"TS,Union","CONTAINS","Object,TS",915,""
"TS,Function","DEPENDS_ON","TS,Function",815,""
"TS,Declared","REFERENCES","TS,TypeAlias",798,""
"TS,Function","HAS_PARAMETER","TS,FunctionParameter",730,""
"TS,Declared","HAS_TYPE_ARGUMENT","TS,Primitive",641,""
"TS,ObjectMember","OF_TYPE","TS,Primitive",592,""
"TS,Declared","HAS_TYPE_ARGUMENT","TS,Declared",577,""
"TS,Declared","REFERENCES","TS,Interface",573,""
"TS,Parameter","OF_TYPE","TS,Declared",523,""
"TS,ObjectMember","OF_TYPE","TS,Union",520,""
"TS,Interface","DECLARES","TS,Property",504,""
"TS,Function","DEPENDS_ON","TS,ExternalModule",442,""
"Package,Json,NPM","DECLARES_DEV_DEPENDENCY","NPM,Dependency",394,""
"TS,Variable","DEPENDS_ON","TS,ExternalDeclaration",382,""
"TS,Function","DEPENDS_ON","TS,Property",377,""
"Package,Json,NPM","DECLARES_DEPENDENCY","NPM,Dependency",374,""
"TS,Parameter","OF_TYPE","TS,Primitive",373,""
"TS,Function","DEPENDS_ON","TS,Interface",373,""
"TS,FunctionParameter","OF_TYPE","TS,Primitive",363,""
"Repository,Git","HAS_COMMITTER","Committer,Person,Git",361,""
"Json,Key","HAS_VALUE","Json,Value,Object",357,""
"TS,Function","RETURNS","TS,Primitive",345,""
"TS,ObjectMember","OF_TYPE","TS,Declared",336,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",315,""
"TS,Function","DEPENDS_ON","TS,TypeAlias",301,""
"TS,Function","RETURNS","TS,Declared",293,""
"TS,Function","DEPENDS_ON","TS,Variable",287,""
"TS,Property","OF_TYPE","TS,Union",243,""
"Value,TS,Literal","OF_TYPE","TS,Primitive",239,""
"Package,Json,NPM","DECLARES_SCRIPT","NPM,Script",223,""
"TS,Parameter","OF_TYPE","TS,Union",207,""
"TS,Function","RETURNS","TS,Declared",203,""
"TS,Function","RETURNS","TS,Primitive",195,""
"TS,TypeAlias","DEPENDS_ON","TS,TypeAlias",188,""
"Project,TS","USES","TS,ExternalModule",182,""
"TS,FunctionParameter","OF_TYPE","TS,Declared",179,""
"TS,Property","OF_TYPE","TS,Primitive",176,""
"TS,TypeAlias","DEPENDS_ON","TS,ExternalDeclaration",176,""
"Value,Array,TS","CONTAINS","Value,TS,Literal",165,""
"TS,ObjectMember","OF_TYPE","TS,Function",161,""
"TS,Intersection","CONTAINS","Object,TS",154,""
"TS,Variable","DEPENDS_ON","TS,ExternalModule",150,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",150,""
"TS,Function","DEPENDS_ON","TS,Local,Module",147,""
"StronglyConnectedComponent,ModuleMembers","DEPENDS_ON","StronglyConnectedComponent,ModuleMembers",143,""
