"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: domains/overview/queries/overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",88694,19.756270868555113,""
"MODIFIES",88694,19.756270868555113,""
"CONTAINS",73595,16.393022691177684,""
"UPDATES",59042,13.151394058462024,""
"COMMITTED",21836,4.863890800795651,""
"CREATES",20498,4.565856092448674,""
"DELETES",12086,2.692113217549745,""
"HAS_PARENT",12005,2.674070757627394,""
"HAS_COMMIT",10918,2.4319454003978254,""
"DEPENDS_ON",10439,2.325249865795283,""
"HAS_FILE",6407,1.4271363052160528,""
"OF_TYPE",5932,1.3213317562886884,""
"HAS_TYPE_ARGUMENT",5577,1.2422567776166578,""
"CHANGED_TOGETHER_WITH",4237,0.9437765764320925,""
"REFERENCES",3032,0.675367141784778,""
"RENAMES",2932,0.6530924999053328,""
"DECLARES",2322,0.5172171844407172,""
"HAS_KEY",1995,0.4443791054949314,""
"HAS_VALUE",1995,0.4443791054949314,""
"EXPORTS",1908,0.4250001670598141,""
"HAS_MEMBER",1858,0.4138628461200915,""
"HAS_PARAMETER",1825,0.40651221429987455,""
"HAS_NEW_NAME",1712,0.38134186897610156,""
"RETURNS",1377,0.3067218186799602,""
"HAS_AUTHOR",1311,0.29202055503952634,""
"HAS_TAG",1301,0.28979309085158184,""
"ON_COMMIT",1301,0.28979309085158184,""
"DECLARES_DEV_DEPENDENCY",468,0.10424532399580345,""
"DECLARES_DEPENDENCY",416,0.09266251021849196,""
"HAS_COMMITTER",361,0.08041145718479711,""
"INITIALIZED_WITH",275,0.06125526516847426,""
"DECLARES_SCRIPT",241,0.05368188692946289,""
"RESOLVES_TO",235,0.05234540841669618,""
"CONSTRAINED_BY",228,0.050786183485135014,""
"IN_WEAKLY_CONNECTED_COMPONENT",221,0.049226958553573855,""
"SIMILAR",219,0.048781465715984955,""
"USES",182,0.04053984822059023,""
"IS_DESCRIBED_IN_NPM_PACKAGE",155,0.03452569491314003,""
"IN_STRONGLY_CONNECTED_COMPONENT",130,0.028957034443278736,""
"CONTAINS_VALUE",127,0.028288795186895383,""
"HAS",116,0.025838584580156414,""
"HAS_ARGUMENT",102,0.022720134717034088,""
"CALLS",99,0.02205189546065073,""
"MEMBER",96,0.021383656204267375,""
"PARENT",96,0.021383656204267375,""
"COPIES",80,0.017819713503556146,""
"COPY_OF",44,0.009800842426955881,""
"EXTENDS",36,0.008018871076600266,""
"DECLARES_ENGINE",33,0.007350631820216911,""
"REQUIRES_CONCEPT",28,0.006236899726244652,""
"DECLARES_PEER_DEPENDENCY",27,0.006014153307450199,""
"DESCRIBED_BY_GETTER",17,0.003786689119505681,""
"HAS_EXPORT",15,0.0033411962819167775,""
"CONTAINS_PROJECT",11,0.0024502106067389702,""
"HAS_CONFIG",11,0.0024502106067389702,""
"HAS_ROOT",11,0.0024502106067389702,""
"IN_REPOSITORY",11,0.0024502106067389702,""
"HAS_BUG_TRACKER",9,0.0020047177691500666,""
"INCLUDES_CONCEPT",4,0.0008909856751778074,""
"HAS_BINARY",3,0.0006682392563833555,""
"HAS_HEAD",2,0.0004454928375889037,""
"DESCRIBED_BY_SETTER",1,0.00022274641879445185,""
"HAS_BRANCH",1,0.00022274641879445185,""
"IMPLEMENTS",1,0.00022274641879445185,""
