"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"react-router-7.17.0/cli","cli","embeddingsFastRandomProjection","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",""
"react-router-7.17.0/copy-template","copy-template","embeddingsFastRandomProjection","0.018455504,-0.05068849,-0.4357747,-0.22140081,0.29336396,0.24539146,-0.60190314,0.050233625,-0.3905349,0.15769498,0.15509331,0.4293127,0.43464714,-0.15788609,-0.2798608,0.7830861,-0.23744558,-0.24753971,-0.2095014,-0.03812638,-0.06642799,0.36692554,-0.2401616,-0.5834476,0.33262393,0.23058423,0.3694408,0.11123984,-0.035689324,-0.26439,0.06542377,-0.076460615",""
"react-router-7.17.0/create-react-router","create-react-router","embeddingsFastRandomProjection","0.016173985,-0.047362663,-0.41263437,-0.20811407,0.16228354,0.23239043,-0.45364988,0.055907935,-0.39558327,0.14182407,0.042274147,0.27334353,0.28573558,-0.03410323,-0.27950945,0.6234009,-0.111451104,-0.23911463,-0.2126543,-0.035666466,0.053932875,0.22623143,-0.22892067,-0.43747586,0.19706607,0.086104326,0.34799063,0.12145453,-0.02402579,-0.13221529,0.065957814,-0.09611464",""
"react-router-7.17.0/loading-indicator","loading-indicator","embeddingsFastRandomProjection","0.017379899,-0.050014377,-0.42964903,-0.2171399,0.20285816,0.24228768,-0.50624156,0.0552685,-0.39959294,0.1502201,0.07443792,0.32830393,0.33460057,-0.06910582,-0.28294757,0.68427956,-0.14867915,-0.2433219,-0.21269736,-0.037615705,0.02204962,0.2753183,-0.23812307,-0.48886162,0.24012345,0.13213854,0.36329094,0.1173081,-0.028119039,-0.17198177,0.06710544,-0.0884417",""
"react-router-7.17.0/prompt","prompt","embeddingsFastRandomProjection","0.011038899,-0.03028616,-0.47506937,-0.13253035,0.37267804,0.36108562,-0.45026118,-0.0821232,-0.34762996,0.20655982,-0.036598876,0.2279334,0.35524505,-0.18449984,-0.2864312,0.66578025,-0.12499012,-0.058041707,-0.24440551,-0.022778431,-0.022631273,0.39972723,-0.14368388,-0.43922228,0.1819166,0.0019613877,0.3282162,0.0784198,-0.026475377,-0.14117754,0.14626712,-0.052530438",""
"react-router-7.17.0/prompts-confirm","prompts-confirm","embeddingsFastRandomProjection","0.0046775863,-0.014174785,-0.40648162,-0.060959548,0.34731793,0.35364476,-0.29014683,-0.13482876,-0.3331352,0.19289419,-0.12382287,0.0121447295,0.24918853,-0.16685325,-0.30758417,0.48300284,-0.04706101,-0.01826045,-0.28735727,-0.010729675,0.0016492456,0.27533153,-0.06756263,-0.28546926,0.07225259,-0.18593982,0.24486932,0.11817329,-0.0153236445,-0.05284922,0.16216329,-0.10229868",""
"react-router-7.17.0/prompts-multi-select","prompts-multi-select","embeddingsFastRandomProjection","0.006400414,-0.019295601,-0.4198068,-0.082975045,0.32607412,0.34796226,-0.31489003,-0.11249416,-0.3478334,0.19149876,-0.11089207,0.046356525,0.25488573,-0.14717525,-0.30879503,0.5106545,-0.050715983,-0.044142276,-0.28133434,-0.01456552,0.015487745,0.27547783,-0.09189978,-0.30848962,0.08511256,-0.15656799,0.26660398,0.11776061,-0.016570343,-0.058656916,0.15396248,-0.10043065",""
"react-router-7.17.0/prompts-prompt-base","prompts-prompt-base","embeddingsFastRandomProjection","0.0052862936,-0.016629647,-0.41256097,-0.07112742,0.32734483,0.3507817,-0.29195106,-0.12353196,-0.36515144,0.19167514,-0.12604192,-0.0057451576,0.24112545,-0.147701,-0.33217993,0.48592252,-0.039419994,-0.053748935,-0.3082688,-0.012567813,0.018150568,0.24226397,-0.07948652,-0.28666478,0.068382025,-0.20608047,0.2548331,0.14227031,-0.015015543,-0.04538852,0.15880549,-0.12617722",""
"react-router-7.17.0/prompts-select","prompts-select","embeddingsFastRandomProjection","0.0060134255,-0.018140519,-0.417354,-0.07805955,0.3313494,0.34974104,-0.30964142,-0.11774257,-0.34484902,0.19207393,-0.11402798,0.038684487,0.2538898,-0.15184182,-0.3088182,0.5050043,-0.04992631,-0.038143665,-0.28298378,-0.013707324,0.012378201,0.27593094,-0.08645846,-0.30362797,0.082241625,-0.1633968,0.26200032,0.11788848,-0.016294532,-0.057382673,0.15605864,-0.100889",""
"react-router-7.17.0/prompts-text","prompts-text","embeddingsFastRandomProjection","0.0046775863,-0.014174785,-0.40648162,-0.060959548,0.34731793,0.35364476,-0.29014683,-0.13482876,-0.3331352,0.19289419,-0.12382287,0.0121447295,0.24918853,-0.16685325,-0.30758417,0.48300284,-0.04706101,-0.01826045,-0.28735727,-0.010729675,0.0016492456,0.27533153,-0.06756263,-0.28546926,0.07225259,-0.18593982,0.24486932,0.11817329,-0.0153236445,-0.05284922,0.16216329,-0.10229868",""
"react-router-7.17.0/utils","utils","embeddingsFastRandomProjection","0.0083267465,-0.023098767,-0.43968016,-0.10124153,0.36774224,0.35241315,-0.38891464,-0.102521524,-0.32254907,0.1977393,-0.06099321,0.1607242,0.3176548,-0.18563414,-0.27706692,0.5918186,-0.10222013,-0.027420357,-0.24484394,-0.017450944,-0.023655847,0.36714208,-0.1099898,-0.38058785,0.14531723,-0.050130524,0.28899753,0.07981081,-0.02165493,-0.11426763,0.15030669,-0.058531836",""
"react-router-7.17.0/binaryTypes","binaryTypes","embeddingsFastRandomProjection","0.32939813,0.013158053,0.37487894,-0.038419504,0.0035306513,-0.038419504,0.29450926,0.0035306513,0.038419504,0.33292878,-0.038419504,0.038419504,-0.388037,-0.34961748,0.0035306513,-0.311198,-0.34961748,0,0,-0.388037,0,0.33292878,-0.33292878,0.038419504,0,0.038419504,0,0.038419504,-0.33292878,-0.311198,-0.34961748,0.3713483",""
"react-router-7.17.0/react-router-architect","react-router-architect","embeddingsFastRandomProjection","0.32939816,0.013160765,0.37486544,-0.0384059,0.0035306963,-0.0384059,0.2945229,0.0035306963,0.0384059,0.3329288,-0.0384059,0.0384059,-0.3880262,-0.3496203,0.0035306963,-0.31121442,-0.3496203,0,0,-0.3880262,0,0.3329288,-0.3329288,0.0384059,0,0.0384059,0,0.0384059,-0.3329288,-0.31121442,-0.3496203,0.3713347",""
"react-router-7.17.0/server","server","embeddingsFastRandomProjection","0.32939816,0.013160706,0.37486586,-0.038406365,0.0035306516,-0.038406365,0.29452243,0.0035306516,0.038406365,0.3329288,-0.038406365,0.038406365,-0.3880265,-0.3496202,0.0035306516,-0.3112138,-0.3496202,0,0,-0.3880265,0,0.3329288,-0.3329288,0.038406365,0,0.038406365,0,0.038406365,-0.3329288,-0.3112138,-0.3496202,0.37133518",""
"react-router-7.17.0/arcTableSessionStorage","arcTableSessionStorage","embeddingsFastRandomProjection","0.3292553,0.013048202,0.374978,-0.0384059,0.0036583922,-0.0384059,0.2945078,0.0036583922,0.0384059,0.3329137,-0.0384059,0.0384059,-0.3880262,-0.3496203,0.0036583922,-0.31121442,-0.3496203,0,0,-0.3880262,0,0.3329137,-0.3329137,0.0384059,0,0.0384059,0,0.0384059,-0.3329137,-0.31121442,-0.3496203,0.3713196",""
"react-router-7.17.0/react-router-express","react-router-express","embeddingsFastRandomProjection","0.35355338,0,0.30151132,0,0.30151132,0,0,0.30151132,0.35355338,0,0,0.30151132,-0.30151132,0.35355338,0,0,-0.35355338,-0.30151132,0.35355338,-0.30151132,0,0.052042067,0,-0.30151132,0,-0.6550647,0.30151132,0.35355338,0,0,0,0",""
