"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_9_Community_Metrics.cypher"
0,0.00020296532337450146,0.06842052388226084,45,"dom-export,react-router,actions,context,errors,dom,entry,fog-of-war,links","./dom-export.ts,./index-react-server-client.ts,./index-react-server.ts,./index.ts,./lib/actions.ts,./lib/context.ts,./lib/errors.ts,./lib/dom/dom.ts,./lib/dom/ssr/entry.ts",""
1,0,0,1,"tsup","./tsup.config.rsc.ts",""
2,0,0,1,"tsup","./tsup.config.ts",""
3,0.0058823529411764705,0.0015854211629159594,2,"href,register","./lib/href.ts,./lib/types/register.ts",""
4,0.15789473684210525,0.00030055373981165156,2,"route-module,utils","./lib/types/route-module.ts,./lib/types/utils.ts",""
5,0.004219409282700422,0.027989712554027418,4,"flatten,turbo-stream,unflatten,utils","./vendor/turbo-stream-v2/flatten.ts,./vendor/turbo-stream-v2/turbo-stream.ts,./vendor/turbo-stream-v2/unflatten.ts,./vendor/turbo-stream-v2/utils.ts",""
6,0,0.0015198816425228735,3,"defineRoutes,manifest,normalizeSlashes","./defineRoutes.ts,./manifest.ts,./normalizeSlashes.ts",""
7,0,0,1,"cli","./cli.ts",""
8,0,0.0006854585593494422,2,"react-router-express,server","./index.ts,./server.ts",""
9,0,0.003315221937651752,4,"flatRoutes,react-router-fs-routes,manifest,normalizeSlashes","./flatRoutes.ts,./index.ts,./manifest.ts,./normalizeSlashes.ts",""
10,0,0,1,"cli","./cli.ts",""
11,0,0.015199766957919603,10,"copy-template,create-react-router,loading-indicator,prompt,prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select,prompts-text","./copy-template.ts,./index.ts,./loading-indicator.ts,./prompt.ts,./prompts-confirm.ts,./prompts-multi-select.ts,./prompts-prompt-base.ts,./prompts-select.ts,./prompts-text.ts",""
12,0.010847907903475758,0.020540955628141167,40,"config,manifest,routes,detectPackageManager,format,is-react-router-repo,context,generate,typegen","./config.ts,./manifest.ts,./routes.ts,./cli/detectPackageManager.ts,./config/config.ts,./config/format.ts,./config/is-react-router-repo.ts,./config/routes.ts,./typegen/context.ts",""
13,0.28654970760233917,0.0005725281727248392,5,"commands,run,useJavascript,dev,profiler","./cli/commands.ts,./cli/run.ts,./cli/useJavascript.ts,./vite/dev.ts,./vite/profiler.ts",""
14,0,0.00010334849000794557,4,"binaryTypes,react-router-architect,server,arcTableSessionStorage","./binaryTypes.ts,./index.ts,./server.ts,./sessions/arcTableSessionStorage.ts",""
15,0,9.395405563686534e-05,3,"react-router-cloudflare,worker,workersKVStorage","./index.ts,./worker.ts,./sessions/workersKVStorage.ts",""
16,0,0,1,"server","./server.ts",""
17,0,0,1,"stream","./stream.ts",""
18,0,0,1,"fileStorage","./sessions/fileStorage.ts",""
