"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: domains/overview/queries/overview/Node_label_count.cypher"
"Git",110357,52.6889472427787,""
"TS",94676,45.202196228216756,""
"Change",89878,42.91143470995464,""
"Type",88656,42.32800190976367,""
"Update",59539,28.426354738601102,""
"NotIdentified",54186,25.870613511577943,""
"Create",17534,8.371449033182143,""
"Declared",11040,5.270947720219623,""
"Commit",10993,5.248507997135354,""
"Delete",9793,4.675578897111483,""
"Primitive",9732,4.646455001193602,""
"File",6725,3.2107901647171166,""
"Union",5473,2.613034137025543,""
"Literal",3651,1.7431367868226306,""
"Json",3338,1.5936977798997374,""
"Rename",2932,1.399856767724994,""
"Value",2768,1.321556457388398,""
"Object",1891,0.902840773454285,""
"ObjectMember",1877,0.8961566006206731,""
"Person",1682,0.8030556218667939,""
"Key",1563,0.7462401527810933,""
"Scalar",1366,0.652184292193841,""
"Tag",1356,0.6474098830269754,""
"Function",1336,0.6378610646932442,""
"Author",1319,0.6297445691095727,""
"Parameter",1234,0.5891620911912151,""
"ExternalDeclaration",1021,0.48746717593697775,""
"NPM",940,0.4487944616853664,""
"FunctionParameter",732,0.34948675101456195,""
"Dependency",669,0.31940797326330866,""
"Property",590,0.28169014084507044,""
"Committer",361,0.17235617092384817,""
"TypeAlias",341,0.16280735259011697,""
"Variable",276,0.13177369300549055,""
"TypeParameter",229,0.10933396992122224,""
"Local",214,0.10217235617092385,""
"ExternalModule",182,0.08689424683695393,""
"TypeParameterReference",174,0.08307471950346144,""
"Script",166,0.07925519216996896,""
"Module",160,0.07639054666984961,""
"Interface",142,0.06779661016949153,""
"Intersection",133,0.06349964191931248,""
"Method",128,0.06111243733587969,""
"ModuleMembers",105,0.05013129625208881,""
"Call",99,0.047266650751969445,""
"Member",96,0.045834328001909765,""
"StronglyConnectedComponent",90,0.0429696825017904,""
"Complex",84,0.04010503700167104,""
"Copy",80,0.038195273334924805,""
"Array",69,0.03294342325137264,""
"Directory",45,0.0214848412508952,""
"Tuple",45,0.0214848412508952,""
"Package",42,0.02005251850083552,""
"Engine",33,0.015755550250656482,""
"Null",25,0.011936022917164,""
"jQAssistant",20,0.009548818333731201,""
"Concept",19,0.00907137741704464,""
"Rule",19,0.00907137741704464,""
"AccessorProperty",17,0.00811649558367152,""
"Getter",17,0.00811649558367152,""
"WeaklyConnectedComponent",15,0.0071616137502984005,""
"Class",14,0.0066841728336118405,""
"Scan",13,0.0062067319169252805,""
"Constructor",12,0.005729291000238721,""
"Repository",12,0.005729291000238721,""
"Project",11,0.005251850083552161,""
"BugTracker",9,0.004296968250179041,""
"EnumMember",9,0.004296968250179041,""
"NpmNonDevPackage",7,0.0033420864168059203,""
"Export",5,0.0023872045834328003,""
"Binary",3,0.0014323227500596801,""
"Enum",3,0.0014323227500596801,""
"NpmDevPackage",2,0.0009548818333731202,""
"TestEnvironment",2,0.0009548818333731202,""
"TestRelated",2,0.0009548818333731202,""
"Analyze",1,0.0004774409166865601,""
"Branch",1,0.0004774409166865601,""
"Setter",1,0.0004774409166865601,""
"Task",1,0.0004774409166865601,""
